Kinase,Kinase_Pho85_renamed,Kinase_YORF,Mok
yck3,yck3,YER123W,yes
yck1,yck1,YHR135C,yes
yck2,yck2,YNL154C,yes
hrr25,hrr25,YPL204W,yes
cka1,cka1,YIL035C,yes
mrk1,mrk1,YDL079C,yes
rim11,rim11,YHL027W,yes
mck1,mck1,YNL307C,yes
cdc5,cdc5,YCR094W,yes
kin1,kin1,YDR122W,yes
tos3,tos3,YGL179C,yes
cdc7,cdc7,YDL017W,yes
kin3,kin3,YAR018C,yes
atg1,atg1,YGL180W,yes
ark1,ark1,YNL020C,yes
gcn2,gcn2,YDR283C,yes
mps1,mps1,YDL028C,yes
cak1,cak1,YFL029C,yes
prk1,prk1,YIL095W,yes
cdc15,cdc15,YAR019C,yes
akl1,akl1,YBR059C,yes
pho85-pho80,pho85,YPL031C,yes
pho85-pcl2,pho85,YPL031C,yes
cdc28,cdc28,YBR160W,yes
kss1,kss1,YGR040W,yes
hog1,hog1,YLR113W,yes
fus3,fus3,YBL016W,yes
pho85-pcl1,pho85,YPL031C,yes
ste20,ste20,YHL007C,yes
ipl1,ipl1,YPL209C,yes
skm1,skm1,YOL113W,yes
cla4,cla4,YNL298W,yes
rck2,rck2,YLR248W,yes
prr1,prr1,YKL116C,yes
sky1,sky1,YMR216C,yes
ypk1,ypk1,YKL126W,yes
fmp48,fmp48,YGR052W,yes
ynr047w,ynr047w,YNR047W,yes
kcc4,kcc4,YCL024W,yes
snf1,snf1,YDR477W,yes
kin4,kin4,YOR233W,yes
ypl141c,ypl141c,YPL141c,yes
sch9,sch9,YHR205W,yes
tpk2,tpk2,YPL203W,yes
ypk2,ypk2,YMR104C,yes
ykl171w,ykl171w,YKL171W,yes
tpk1,tpk1,YJL164C,yes
pkh2,pkh2,YOL100W,yes
psk2,psk2,YOL045W,yes
rad53,rad53,YPL153C,yes
rim15,rim15,YFL033C,yes
tpk3,tpk3,YKL166C,yes
ksp1,ksp1,YHR082C,yes
gin4,gin4,YDR507C,yes
hsl1,hsl1,YKL101W,yes
ydl025c,ydl025c,YDL025C,yes
vhs1,vhs1,YDR247W,yes
yak1,yak1,YJL141C,yes
slt2,slt2,YHR030C,yes
mek1,mek1,YOR351C,yes
ptk2,ptk2,YJR059W,yes
cmk2,cmk2,YOL016C,yes
cmk1,cmk1,YFR014C,yes
PSK1,PSK1,YAL017W,no
ALK2,ALK2,YBL009W,no
TEL1,TEL1,YBL088C,no
PKC1,PKC1,YBL105C,no
YPK3,YPK3,YBR028C,no
VPS15,VPS15,YBR097W,no
MEC1,MEC1,YBR136W,no
CHK1,CHK1,YBR274W,no
SAT4,SAT4,YCR008W,no
SSK22,SSK22,YCR073C,no
KIN82,KIN82,YCR091W,no
DUN1,DUN1,YDL101C,no
KIN28,KIN28,YDL108W,no
STE7,STE7,YDL159W,no
PRR2,PRR2,YDL214C,no
PKH3,PKH3,YDR466W,no
PKH1,PKH1,YDR490C,no
SPS1,SPS1,YDR523C,no
SAK1,SAK1,YER129W,no
ALK1,ALK1,YGL021W,no
PKP2,PKP2,YGL059W,no
SCY1,SCY1,YGL083W,no
COQ8,COQ8,YGL119W,no
RCK1,RCK1,YGL158W,no
DBF2,DBF2,YGR092W,no
BUB1,BUB1,YGR188C,no
BUD32,BUD32,YGR262C,no
IRE1,IRE1,YHR079C,no
TRA1,TRA1,YHR099W,no
KIC1,KIC1,YHR102W,no
PKP1,PKP1,YIL042C,no
SLN1,SLN1,YIL147C,no
IKS1,IKS1,YJL057C,no
BCK1,BCK1,YJL095W,no
IME2,IME2,YJL106W,no
PBS2,PBS2,YJL128C,no
HAL5,HAL5,YJL165C,no
SWE1,SWE1,YJL187C,no
TOR1,TOR1,YJR066W,no
ELM1,ELM1,YKL048C,no
CTK1,CTK1,YKL139W,no
KDX1,KDX1,YKL161C,no
KKQ8,KKQ8,YKL168C,no
PTK1,PTK1,YKL198C,no
TOR2,TOR2,YKL203C,no
KNS1,KNS1,YLL019C,no
KIN2,KIN2,YLR096W,no
MCP2,MCP2,YLR253W,no
STE11,STE11,YLR362W,no
TDA1,TDA1,YGR205W,no
CBK1,CBK1,YNL161W,no
NPR1,NPR1,YNL183C,no
RIO2,RIO2,YNL207W,no
SSK2,SSK2,YNR031C,no
YGK3,YGK3,YOL128C,no
CKA2,CKA2,YOR061W,no
RIO1,RIO1,YOR119C,no
MKK1,MKK1,YOR231W,no
HRK1,HRK1,YOR267C,no
SKS1,SKS1,YPL026C,no
SSN3,SSN3,YPL042C,no
YPL109C,YPL109C,YPL109C,no
MKK2,MKK2,YPL140C,no
YPL150W,YPL150W,YPL150W,no
SMK1,SMK1,YPR054W,no
ISR1,ISR1,YPR106W,no
SGV1,SGV1,YPR161C,no
