systematic_name_dash_removed,systematic_name
YKL134C,YKL134C
YMR056C,YMR056C
YBR085W,YBR085W
YJR155W,YJR155W
YNL331C,YNL331C
YOL165C,YOL165C
YFL057C,YFL057C
YCR107W,YCR107W
YDL243C,YDL243C
YFL056C,YFL056C
YNL141W,YNL141W
YHR047C,YHR047C
YBL074C,YBL074C
YKL106W,YKL106W
YLR027C,YLR027C
YBR236C,YBR236C
YKL112W,YKL112W
YMR072W,YMR072W
YJR108W,YJR108W
YCR088W,YCR088W
YOR239W,YOR239W
YNR033W,YNR033W
YMR289W,YMR289W
YER045C,YER045C
YGR037C,YGR037C
YNR016C,YNR016C
YLR131C,YLR131C
YLR144C,YLR144C
YJR083C,YJR083C
YBL015W,YBL015W
YDL203C,YDL203C
YPL267W,YPL267W
YDR511W,YDR511W
YLR304C,YLR304C
YJL200C,YJL200C
YKL192C,YKL192C
YAL054C,YAL054C
YLR153C,YLR153C
YFL039C,YFL039C
YDR448W,YDR448W
YMR184W,YMR184W
YKL206C,YKL206C
YAR015W,YAR015W
YNL220W,YNL220W
YLR359W,YLR359W
YLR028C,YLR028C
YMR120C,YMR120C
YOR128C,YOR128C
YGR204W,YGR204W
YMR300C,YMR300C
YGL234W,YGL234W
YGR061C,YGR061C
YDR408C,YDR408C
YCL058WA,YCL058W-A
YOL086C,YOL086C
YMR303C,YMR303C
YMR083W,YMR083W
YGL256W,YGL256W
YBR145W,YBR145W
YMR318C,YMR318C
YCR105W,YCR105W
YMR009W,YMR009W
YDR226W,YDR226W
YER170W,YER170W
YJR105W,YJR105W
YCR011C,YCR011C
YDR216W,YDR216W
YCR010C,YCR010C
YDL239C,YDL239C
YLR227C,YLR227C
YMR064W,YMR064W
YMR282C,YMR282C
YPL005W,YPL005W
YLR040C,YLR040C
YEL052W,YEL052W
YLR397C,YLR397C
YER017C,YER017C
YOR129C,YOR129C
YDR085C,YDR085C
YGL071W,YGL071W
YPL202C,YPL202C
YNR044W,YNR044W
