Protein1,Protein2,Interaction,Directed
YCR066W,YBR088C,ubiquitination,1
YJL030W,YOR370C,prenylation_both,0
YJL030W,YPR176C,prenylation_both,0
YOR370C,YPR176C,prenylation_both,0
YBL016W,YLR452C,kinase_substrate,1
YBL016W,YDL159W,kinase_substrate_both,0
YBL105C,YOL100W,kinase_substrate_both,0
YBR160W,YJL187C,kinase_substrate_both,0
YDL235C,YIL147C,kinase_substrate_both,0
YDL235C,YHR206W,kinase_substrate,1
YDR490C,YJL164C,kinase_substrate_both,0
YDR490C,YPL203W,kinase_substrate,1
YDR490C,YKL166C,kinase_substrate,1
YHR205W,YGR262C,kinase_substrate,1
YIL147C,YHR206W,kinase_substrate_both,0
YJL106W,YLR079W,kinase_substrate,1
YJL164C,YDR001C,kinase_substrate,1
YKL126W,YNR047W,kinase_substrate_both,0
YCL061C,YPL153C,ppi_corrected,0
YPL153C,YGL113W,kinase_substrate,1
YIL095W,YNL271C,kinase_substrate,1
YDR477W,YPL133C,kinase_substrate,0
YPL256C,YLR079W,ubiquitination,1
YJL187C,YDR054C,kinase_substrate,1
YDR054C,YJL187C,ubiquitination,1
YKL166C,YPL203W,kinase_substrate_both,0
YBR081C,YBR010W,acetylation,1
YBR081C,YNL031C,acetylation,1
YBR111WA,YBR010W,acetylation,1
YBR198C,YNL031C,acetylation,1
YCL010C,YBR010W,acetylation,1
YCL010C,YNL031C,acetylation,1
YDL182W,YBR009C,acetylation,1
YDL182W,YNL030W,acetylation,1
YDR176W,YBR010W,acetylation,1
YDR176W,YNL031C,acetylation,1
YDR448W,YBR010W,acetylation,1
YFL024C,YBR009C,acetylation,1
YFL024C,YNL030W,acetylation,1
YFR027W,YDL003W,acetylation,1
YFR027W,YIL026C,acetylation,1
YFR027W,YJL019W,acetylation,1
YFR027W,YJL074C,acetylation,1
YFR027W,YMR076C,acetylation,1
YGL066W,YBR010W,acetylation,1
YGL066W,YNL031C,acetylation,1
YGL112C,YBR010W,acetylation,1
YGR252W,YBL002W,acetylation,1
YGR252W,YBL003C,acetylation,1
YGR252W,YBR009C,acetylation,1
YGR252W,YBR010W,acetylation,1
YGR252W,YDR207C,acetylation,1
YGR252W,YDR224C,acetylation,1
YGR252W,YDR225W,acetylation,1
YGR252W,YNL030W,acetylation,1
YGR252W,YNL031C,acetylation,1
YGR252W,YOL012C,acetylation,1
