Protein,Total
YPL031C,419
YBR160W,304
YHR135C,304
YJL164C,298
YNL154C,237
YLL039C,212
YJR059W,212
YHR082C,209
YGL180W,202
YFR014C,180
YDR477W,160
YNL307C,158
YBR010W,155
YDL140C,154
YDR510W,150
YJL187C,142
YGL158W,136
YNL031C,131
YPL204W,126
YJL095W,123
YOR244W,118
YER133W,116
YBL016W,115
YPL153C,113
YNL255C,112
YLL036C,112
YNL030W,108
YBR009C,107
YER125W,105
YGL120C,102
YGR040W,101
YKL166C,100
YHL007C,98
YER012W,97
YNL207W,97
YMR001C,97
YPL141C,95
YGL059W,93
YGR092W,93
YHR200W,91
YKL101W,90
YLR096W,90
YDR432W,89
YFR028C,89
YJL092W,87
YNL124W,86
YPL203W,85
YHR079C,85
YPL082C,84
YGL179C,83
YBR059C,82
YMR047C,82
YIL095W,79
YJL106W,79
YGR103W,79
YBL045C,78
YPL209C,77
YDR381W,76
YFL039C,76
YER148W,76
YKL009W,75
YKL145W,73
YIL035C,73
YOR061W,73
YDR224C,72
YKL117W,69
YPL093W,68
YOL016C,65
YER110C,64
YKL014C,64
YOL051W,64
YLR026C,64
YMR216C,63
YLR113W,62
YGR218W,62
YBR109C,62
YDL028C,62
YPL248C,61
YAL005C,61
YOR351C,61
YIL021W,61
YJL057C,61
YGL207W,60
YPR016C,59
YDL147W,59
YDR247W,58
YPR119W,57
YER172C,57
YOL012C,57
YKL171W,57
YOR267C,56
YHR099W,56
YDR356W,56
YLR166C,56
YGR104C,56
YDL042C,55
YOL113W,55
YHR030C,55
YKR081C,55
YDR225W,55
YDR328C,54
YPL042C,54
YFL023W,54
YER165W,53
YGL111W,53
YDR388W,53
YFR004W,53
YJR002W,53
YPL240C,52
YOR063W,52
YMR308C,52
YBR200W,52
YDR507C,51
YLR293C,51
YDL126C,51
YDR333C,50
YOR310C,50
YPL026C,50
YER022W,50
YNL189W,50
YHR197W,50
YGR252W,50
YJL010C,50
YLR347C,50
YDR087C,50
YDL108W,50
YHR165C,50
YBL007C,49
YEL009C,49
YDR099W,49
YDR101C,49
YER036C,49
YOL018C,48
YGL048C,48
YGR052W,47
YOL100W,47
YER177W,47
YNL272C,47
YHL004W,47
YBL002W,47
YPR019W,47
YLR009W,46
YJR066W,46
YDL014W,45
YPR080W,45
YAL032C,45
YPL150W,45
YDL116W,45
YHR027C,45
YNL298W,44
YIL019W,44
YDR227W,44
YOR117W,44
YPL213W,43
YOR151C,43
YDR448W,43
YJL076W,43
YKL139W,43
YAR019C,42
YHR066W,42
YBR088C,42
YGL122C,42
YCL024W,42
YOR290C,42
