#Node1	Node2
YCR066W	YBR088C
YJL030W	YOR370C
YJL030W	YPR176C
YOR370C	YPR176C
YBL016W	YLR452C
YBL016W	YDL159W
YBL105C	YOL100W
YBR160W	YJL187C
YDL235C	YIL147C
YDL235C	YHR206W
YDR490C	YJL164C
YDR490C	YPL203W
YDR490C	YKL166C
YHR205W	YGR262C
YIL147C	YHR206W
YJL106W	YLR079W
YJL164C	YDR001C
YKL126W	YNR047W
YCL061C	YPL153C
YPL153C	YGL113W
YIL095W	YNL271C
YDR477W	YPL133C
YPL256C	YLR079W
YJL187C	YDR054C
YDR054C	YJL187C
YKL166C	YPL203W
YBR081C	YBR010W
YBR081C	YNL031C
YBR111WA	YBR010W
YBR198C	YNL031C
YCL010C	YBR010W
YCL010C	YNL031C
YDL182W	YBR009C
YDL182W	YNL030W
YDR176W	YBR010W
YDR176W	YNL031C
YDR448W	YBR010W
YFL024C	YBR009C
YFL024C	YNL030W
YFR027W	YDL003W
YFR027W	YIL026C
YFR027W	YJL019W
YFR027W	YJL074C
YFR027W	YMR076C
YGL066W	YBR010W
YGL066W	YNL031C
YGL112C	YBR010W
YGR252W	YBL002W
YGR252W	YBL003C
YGR252W	YBR009C
YGR252W	YBR010W
YGR252W	YDR207C
YGR252W	YDR224C
YGR252W	YDR225W
YGR252W	YNL030W
YGR252W	YNL031C
YGR252W	YOL012C
YGR252W	YOR290C
YHR099W	YBR010W
YHR099W	YNL031C
YLL002W	YBR010W
YLL002W	YNL031C
YMR069W	YBR009C
YMR236W	YBR010W
YMR236W	YNL031C
YOR244W	YBL003C
YOR244W	YBL047C
YOR244W	YBR009C
YOR244W	YBR010W
YOR244W	YBR035C
YOR244W	YBR148W
YOR244W	YCL040W
YOR244W	YCL054W
YOR244W	YDL031W
YOR244W	YDL070W
YOR244W	YDL225W
YOR244W	YDR054C
YOR244W	YDR224C
YOR244W	YDR225W
YOR244W	YDR273W
YOR244W	YDR328C
YOR244W	YDR346C
YOR244W	YDR530C
YOR244W	YER023W
YOR244W	YER030W
YOR244W	YER134C
YOR244W	YER174C
YOR244W	YGL099W
YOR244W	YGL110C
YOR244W	YGL207W
YOR244W	YGL208W
YOR244W	YGL213C
YOR244W	YGR001C
YOR244W	YGR017W
YOR244W	YGR106C
YOR244W	YGR180C
YOR244W	YHL013C
YOR244W	YHL014C
YOR244W	YHL033C
YOR244W	YHR107C
YOR244W	YIL078W
YOR244W	YIL142W
YOR244W	YIL154C
YOR244W	YJL115W
YOR244W	YKL160W
YOR244W	YKL181W
YOR244W	YKL191W
YOR244W	YKL206C
YOR244W	YKR048C
YOR244W	YKR084C
YOR244W	YKR097W
YOR244W	YLL022C
YOR244W	YLL026W
YOR244W	YLL036C
YOR244W	YLR192C
YOR244W	YLR195C
YOR244W	YLR257W
YOR244W	YLR258W
YOR244W	YLR265C
YOR244W	YLR285W
YOR244W	YLR314C
YOR244W	YLR330W
YOR244W	YLR345W
YOR244W	YLR397C
YOR244W	YML062C
YOR244W	YML074C
YOR244W	YML093W
YOR244W	YMR028W
YOR244W	YMR140W
YOR244W	YMR196W
YOR244W	YMR304W
YOR244W	YNL030W
YOR244W	YNL031C
YOR244W	YNL094W
YOR244W	YNL166C
YOR244W	YNL215W
YOR244W	YNL225C
YOR244W	YNL246W
YOR244W	YNL308C
YOR244W	YNR007C
YOR244W	YNR033W
YOR244W	YNR034W
YOR244W	YNR038W
YOR244W	YOL012C
YOR244W	YOL077C
YOR244W	YOR083W
YOR244W	YOR117W
YOR244W	YOR239W
YOR244W	YOR281C
YOR244W	YOR335C
YOR244W	YOR354C
YOR244W	YPL004C
YOR244W	YPL106C
YOR244W	YPL110C
YOR244W	YPL139C
YOR244W	YPL190C
YOR244W	YPL222W
YOR244W	YPL260W
YOR244W	YPR049C
YOR244W	YPR083W
YOR244W	YPR089W
YOR244W	YPR135W
YOR244W	YPR152C
YOR244W	YPR160W
YOR244W	YPR167C
YPL047W	YNL031C
YPL086C	YOL012C
YPR051W	YLR306W
YDL042C	YBR009C
YDL042C	YBR010W
YDL042C	YKR097W
YDL042C	YNL030W
YDL042C	YNL031C
YDR227W	YBR009C
YDR227W	YNL030W
YLR442C	YBR009C
YLR442C	YNL030W
YNL021W	YOL012C
YNL330C	YDR207C
YNL330C	YGL208W
YOL004W	YBR010W
YOL004W	YNL031C
YOR025W	YBR009C
YOR025W	YBR010W
YOR025W	YNL030W
YOR025W	YNL031C
YPL015C	YBR010W
