#tail	head	edge_flux
YLR113W	YBR182C	8.27109e-03
YLR113W	YDL140C	8.27109e-03
YLR113W	YAR010C	8.27109e-03
YLR113W	YDR168W	8.27109e-03
YLR113W	YNL330C	8.27109e-03
YLR113W	YJL072C	8.27109e-03
YLR113W	YLR055C	8.27109e-03
YLR113W	YLR248W	8.27109e-03
YLR113W	YLL043W	8.27109e-03
YLR113W	YGR218W	8.27109e-03
YLR113W	YHR205W	8.27109e-03
YLR113W	YOR198C	8.27109e-03
YLR113W	YOL148C	8.27109e-03
YLR113W	YPR115W	8.27109e-03
YLR113W	YPR175W	8.27109e-03
YLR113W	YOL123W	8.27109e-03
YLR113W	YMR172W	8.27109e-03
YLR113W	YOR061W	8.27109e-03
YLR113W	Induced_.....sP....._pde2_Induced_Defective	8.27109e-03
YLR113W	YJR132W	8.27109e-03
YLR113W	YCL061C	8.27109e-03
YLR113W	YDL159W	8.27109e-03
YLR113W	YLR103C	8.27109e-03
YLR113W	YML127W	8.27109e-03
YLR113W	YLR138W	8.27109e-03
YLR113W	YOR208W	8.27109e-03
YLR113W	YKL101W	8.27109e-03
YLR113W	YGL158W	8.27109e-03
YLR113W	YDR303C	8.27109e-03
YLR113W	YCL032W	8.27109e-03
YLR113W	YPR019W	8.27109e-03
YLR113W	YER075C	8.27109e-03
YLR113W	YER118C	8.27109e-03
YLR113W	YMR037C	8.27109e-03
YLR113W	YIR006C	8.27109e-03
YLR113W	Repressed_..R..s......_pde2_Repressed_Amplified	8.27109e-03
YLR113W	YOL067C	8.27109e-03
YLR113W	YOR039W	8.27109e-03
YLR113W	YDR392W	8.27109e-03
YLR113W	YIL126W	8.27109e-03
YLR113W	YGR063C	8.27109e-03
YLR113W	YGR159C	8.27109e-03
YLR113W	YER151C	8.27109e-03
YLR113W	YBL103C	8.27109e-03
YLR113W	YJL093C	8.27109e-03
YLR113W	YMR276W	8.27109e-03
YLR113W	YNL167C	8.27109e-03
YLR113W	YOL072W	8.27109e-03
YLR113W	YDL017W	8.27109e-03
YLR113W	YKL081W	8.27109e-03
YLR113W	YDR448W	8.27109e-03
YLR113W	YLR079W	8.27109e-03
YLR113W	YIL035C	8.27109e-03
YLR113W	YBR279W	8.27109e-03
YLR113W	YGR097W	8.27109e-03
YLR113W	Repressed_.....sP....._No_Phenotype_Exists	8.27109e-03
YLR113W	YER022W	8.27109e-03
YLR113W	YPL254W	8.27109e-03
YLR113W	YDL108W	8.27109e-03
YLR113W	YNL236W	8.27109e-03
YLR113W	YGL043W	8.27109e-03
YLR138W	YML132W	2.37477e-03
YLR138W	YDR099W	2.37477e-03
YAR010C	YOL082W	2.08495e-03
YAR010C	YLR113W	2.08495e-03
YNL167C	YBR182C	1.53933e-03
YNL167C	YCR084C	1.53933e-03
YNL167C	YBR112C	1.53933e-03
YOL067C	YOL108C	1.44126e-03
YOL067C	YBL103C	1.44126e-03
YOL067C	YLR113W	1.44126e-03
YKL081W	YLR113W	1.40735e-03
YKL081W	YAL003W	1.40735e-03
YKL081W	YFL023W	1.40735e-03
YML132W	YLR138W	1.18858e-03
YOR208W	YDR216W	1.07579e-03
YOR208W	YER118C	1.07579e-03
YOR208W	YBR160W	1.07579e-03
YOR208W	YOL041C	1.07579e-03
YER075C	YBR160W	1.03418e-03
YER075C	YLR113W	1.03418e-03
YER075C	YBL016W	1.03418e-03
YER075C	YHR030C	1.03418e-03
YBR182C	Repressed_..RR.s......_No_Phenotype_Exists	7.18520e-04
YBR182C	YER062C	7.18520e-04
YBR182C	YIL053W	7.18520e-04
YBR182C	YKL062W	7.18520e-04
