#tail	head	edge_flux
YOR360C	YPL203W	7.28573e-02
YOR360C	YJL164C	7.28573e-02
YOR360C	YIL006W	7.28573e-02
YOR360C	YJL005W	7.28573e-02
YOR360C	YNL141W	7.28573e-02
YOR360C	YLR209C	7.28573e-02
YOR360C	YKL166C	7.28573e-02
YIL006W	YOR360C	1.07473e-02
YIL006W	YNL141W	1.07473e-02
YIL006W	YLR209C	1.07473e-02
YIL006W	YDR454C	1.07473e-02
YNL141W	YOR155C	7.51670e-03
YNL141W	YIL006W	7.51670e-03
YNL141W	YBR280C	7.51670e-03
YNL141W	YOR360C	7.51670e-03
YNL141W	YDR399W	7.51670e-03
YNL141W	YLR209C	7.51670e-03
YLR209C	YLR245C	3.76292e-03
YLR209C	YLR432W	3.76292e-03
YLR209C	YIL006W	3.76292e-03
YLR209C	YHR216W	3.76292e-03
YLR209C	YML056C	3.76292e-03
YLR209C	YOR360C	3.76292e-03
YLR209C	YNL141W	3.76292e-03
YLR209C	YOR155C	3.76292e-03
YLR209C	YDR454C	3.76292e-03
YLR209C	YDR399W	3.76292e-03
YLR209C	YJR057W	3.76292e-03
YLR209C	YJR133W	3.76292e-03
YLR209C	YOR074C	3.76292e-03
YJL005W	YHR005C	2.70940e-03
YJL005W	YMR116C	2.70940e-03
YJL005W	Repressed_R.R..s......_No_Phenotype_Exists	2.70940e-03
YJL005W	YJR086W	2.70940e-03
YJL005W	YDR247W	2.70940e-03
YJL005W	YER020W	2.70940e-03
YJL005W	YLR310C	2.70940e-03
YJL005W	YNL138W	2.70940e-03
YJL005W	YOR360C	2.70940e-03
YJL005W	YMR186W	2.70940e-03
YJL005W	YNL098C	2.70940e-03
YJL005W	YOR057W	2.70940e-03
YJL005W	YGL248W	2.70940e-03
YJL005W	YBR140C	2.70940e-03
YOR155C	YNL141W	1.88248e-03
YOR155C	YLR209C	1.88248e-03
YOR155C	YPL204W	1.88248e-03
YDR454C	YGR209C	1.83744e-03
YDR454C	YKL067W	1.83744e-03
YDR454C	YLR209C	1.83744e-03
YDR454C	YIL006W	1.83744e-03
YGL248W	YJL005W	1.35810e-03
YLR245C	YGL224C	1.00862e-03
YLR245C	YLR209C	1.00862e-03
YBR280C	YDR328C	9.46604e-04
YBR280C	YNL141W	9.46604e-04
YBR280C	YOL133W	9.46604e-04
YBR280C	YDL132W	9.46604e-04
YFR017C	YPR184W	5.15665e-04
YJR133W	YDL238C	4.25674e-04
YJR133W	YHR216W	4.25674e-04
YJR133W	YML056C	4.25674e-04
YJR133W	YMR217W	4.25674e-04
YJR133W	YLR209C	4.25674e-04
YJR133W	YLR432W	4.25674e-04
YPL203W	YLR231C	4.22810e-04
YPL203W	YGL070C	4.22810e-04
YPL203W	YMR037C	4.22810e-04
YPL203W	YDR404C	4.22810e-04
YPL203W	YKL038W	4.22810e-04
YPL203W	YIL033C	4.22810e-04
YPL203W	YGL180W	4.22810e-04
YPL203W	YMR184W	4.22810e-04
YPL203W	YDL065C	4.22810e-04
YPL203W	YJL140W	4.22810e-04
YPL203W	YPL077C	4.22810e-04
YPL203W	YKL121W	4.22810e-04
YPL203W	YPL247C	4.22810e-04
YPL203W	Repressed_..RK.s......_No_Phenotype_Exists	4.22810e-04
YPL203W	Repressed_...R.s......_No_Phenotype_Exists	4.22810e-04
YPL203W	YNL178W	4.22810e-04
YPL203W	YER139C	4.22810e-04
YPL203W	YOR140W	4.22810e-04
YPL203W	YPR072W	4.22810e-04
YPL203W	YOL005C	4.22810e-04
YPL203W	YBR059C	4.22810e-04
YPL203W	YAL038W	4.22810e-04
YPL203W	YJL146W	4.22810e-04
YPL203W	Repressed_.....sP....._hog1_Repressed_Defective	4.22810e-04
YPL203W	YPR133C	4.22810e-04
YPL203W	YHR143WA	4.22810e-04
YPL203W	YKL194C	4.22810e-04
YPL203W	YHL024W	4.22810e-04
YPL203W	YLR310C	4.22810e-04
YPL203W	YOR347C	4.22810e-04
YPL203W	YMR081C	4.22810e-04
YPL203W	YGR186W	4.22810e-04
YPL203W	YGR116W	4.22810e-04
YPL203W	YER165W	4.22810e-04
YPL203W	YOR250C	4.22810e-04
YPL203W	YBR154C	4.22810e-04
YPL203W	YIL016W	4.22810e-04
YPL203W	YPR187W	4.22810e-04
YPL203W	YKL064W	4.22810e-04
YPL203W	Repressed_.....sP....._No_Phenotype_Exists	4.22810e-04
YPL203W	YDR169C	4.22810e-04
YPL203W	YJR001W	4.22810e-04
YPL203W	Repressed_.....tP....._No_Phenotype_Exists	4.22810e-04
YPL203W	YGL116W	4.22810e-04
YPL203W	YOR224C	4.22810e-04
YPL203W	YMR140W	4.22810e-04
YPL203W	YDR001C	4.22810e-04
YPL203W	YDR172W	4.22810e-04
YPL203W	YIL021W	4.22810e-04
YPL203W	YOL016C	4.22810e-04
YPL203W	Induced_..S..s......_No_Phenotype_Exists	4.22810e-04
YPL203W	YOR028C	4.22810e-04
YPL203W	YPR185W	4.22810e-04
YPL203W	YFR017C	4.22810e-04
YPL203W	YGR249W	4.22810e-04
YPL203W	YOR210W	4.22810e-04
YPL203W	YIL107C	4.22810e-04
YPL203W	YKL062W	4.22810e-04
YPL203W	YMR120C	4.22810e-04
YPL203W	YKL166C	4.22810e-04
YPL203W	YER054C	4.22810e-04
YPL203W	YER109C	4.22810e-04
YPL203W	YGL197W	4.22810e-04
YPL203W	YNL263C	4.22810e-04
YPL203W	YIL038C	4.22810e-04
YPL203W	YOR113W	4.22810e-04
YPL203W	YER132C	4.22810e-04
YPL203W	YML010W	4.22810e-04
YPL203W	YBR225W	4.22810e-04
YPL203W	Repressed_..RR.s......_No_Phenotype_Exists	4.22810e-04
YPL203W	Repressed_..RK.s......_cdc14_Repressed_Defective	4.22810e-04
YPL203W	YKR097W	4.22810e-04
YPL203W	YJR072C	4.22810e-04
YPL203W	YFR014C	4.22810e-04
YPL203W	YHR082C	4.22810e-04
YPL203W	Repressed_..R..s......_No_Phenotype_Exists	4.22810e-04
YPL203W	YBR207W	4.22810e-04
YPL203W	YKL093W	4.22810e-04
YPL203W	Repressed_..R..s......_pde2_Repressed_Amplified	4.22810e-04
YPL203W	YKL079W	4.22810e-04
YPL203W	YJL141C	4.22810e-04
YPL203W	YAL056W	4.22810e-04
YPL203W	YPL129W	4.22810e-04
YPL203W	YOL147C	4.22810e-04
YPL203W	YML118W	4.22810e-04
YPL203W	YOR151C	4.22810e-04
YPL203W	YDL140C	4.22810e-04
YPL203W	YGR005C	4.22810e-04
YKL166C	YLR410W	3.76452e-04
YKL166C	YHR168W	3.76452e-04
YKL166C	YKL038W	3.76452e-04
YKL166C	YIL033C	3.76452e-04
YKL166C	YGL180W	3.76452e-04
YKL166C	YMR184W	3.76452e-04
YKL166C	YDR068W	3.76452e-04
YKL166C	YJR014W	3.76452e-04
YKL166C	YDR158W	3.76452e-04
YKL166C	YIL002C	3.76452e-04
YKL166C	YNL178W	3.76452e-04
YKL166C	YPL232W	3.76452e-04
YKL166C	YPL166W	3.76452e-04
YKL166C	YHR182W	3.76452e-04
YKL166C	YNL245C	3.76452e-04
YKL166C	YHR185C	3.76452e-04
YKL166C	YDL081C	3.76452e-04
YKL166C	YBR298CA	3.76452e-04
YKL166C	YEL065W	3.76452e-04
YKL166C	YER133W	3.76452e-04
YKL166C	YBR059C	3.76452e-04
YKL166C	YPL146C	3.76452e-04
YKL166C	YOL016C	3.76452e-04
YKL166C	YDR023W	3.76452e-04
YKL166C	YER168C	3.76452e-04
YKL166C	YNL280C	3.76452e-04
YKL166C	YPR185W	3.76452e-04
YKL166C	YOL052C	3.76452e-04
YKL166C	YOR028C	3.76452e-04
YKL166C	YOR266W	3.76452e-04
YKL166C	YOR002W	3.76452e-04
YKL166C	YGR285C	3.76452e-04
YKL166C	YMR081C	3.76452e-04
YKL166C	YOR163W	3.76452e-04
YKL166C	YLR044C	3.76452e-04
YKL166C	YDR443C	3.76452e-04
YKL166C	YDR382W	3.76452e-04
YKL166C	YAR018C	3.76452e-04
YKL166C	YHR028C	3.76452e-04
YKL166C	YOR187W	3.76452e-04
YKL166C	YPL240C	3.76452e-04
YKL166C	YHR157W	3.76452e-04
YKL166C	YNR006W	3.76452e-04
YKL166C	YPL203W	3.76452e-04
YKL166C	YOR068C	3.76452e-04
YKL166C	YKL064W	3.76452e-04
YKL166C	YNL227C	3.76452e-04
YKL166C	YJR001W	3.76452e-04
YKL166C	YAR014C	3.76452e-04
YKL166C	Induced_..K..s......_No_Phenotype_Exists	3.76452e-04
YKL166C	YPL056C	3.76452e-04
YKL166C	YJL141C	3.76452e-04
YKL166C	YNL117W	3.76452e-04
YKL166C	YDR172W	3.76452e-04
YKL166C	YDR425W	3.76452e-04
YKL166C	YGL075C	3.76452e-04
YKL166C	YML013W	3.76452e-04
YKL166C	YGL184C	3.76452e-04
YKL166C	Induced_..S..s......_No_Phenotype_Exists	3.76452e-04
YKL166C	YKL114C	3.76452e-04
YKL166C	YIL172C	3.76452e-04
YKL166C	YKL157W	3.76452e-04
YKL166C	YFR017C	3.76452e-04
YKL166C	YBR031W	3.76452e-04
YKL166C	YJL070C	3.76452e-04
YKL166C	YDL165W	3.76452e-04
YKL166C	YKR072C	3.76452e-04
YKL166C	YMR120C	3.76452e-04
YKL166C	YMR223W	3.76452e-04
YKL166C	YKL023W	3.76452e-04
YKL166C	YER054C	3.76452e-04
YKL166C	YDR237W	3.76452e-04
YKL166C	YPR160W	3.76452e-04
YKL166C	YNL263C	3.76452e-04
YKL166C	YOR134W	3.76452e-04
YKL166C	YOR334W	3.76452e-04
YKL166C	YKL171W	3.76452e-04
YKL166C	YHL020C	3.76452e-04
YKL166C	YLR003C	3.76452e-04
YKL166C	YLR443W	3.76452e-04
YKL166C	Induced_..K..s......_cdc14_Induced_Defective	3.76452e-04
YKL166C	YDR379W	3.76452e-04
YKL166C	Repressed_..RR.s......_No_Phenotype_Exists	3.76452e-04
YKL166C	YLR043C	3.76452e-04
YKL166C	YHR158C	3.76452e-04
YKL166C	YDL179W	3.76452e-04
YKL166C	YAR019C	3.76452e-04
YKL166C	YOL121C	3.76452e-04
YKL166C	YFR014C	3.76452e-04
YKL166C	YHR082C	3.76452e-04
YKL166C	YLR113W	3.76452e-04
YKL166C	YGR200C	3.76452e-04
YKL166C	YKL093W	3.76452e-04
YKL166C	YBR142W	3.76452e-04
YKL166C	YAL056W	3.76452e-04
YKL166C	YPL138C	3.76452e-04
YKL166C	YLR440C	3.76452e-04
YKL166C	YDR285W	3.76452e-04
YHR216W	YDR381W	3.67159e-04
YHR216W	YGR262C	3.67159e-04
YHR216W	YJR133W	3.67159e-04
YHR216W	YMR217W	3.67159e-04
YHR216W	YLR209C	3.67159e-04
YHR216W	YLL036C	3.67159e-04
YIL107C	YJL155C	3.49713e-04
YOR074C	YMR113W	3.04942e-04
YOR074C	YLR058C	3.04942e-04
YOR074C	YEL048C	3.04942e-04
YOR074C	YOR236W	3.04942e-04
YOR074C	YJR057W	3.04942e-04
YOR074C	YLR209C	3.04942e-04
YOR074C	YGL244W	3.04942e-04
YJR057W	YKL067W	2.98123e-04
YJR057W	YJL076W	2.98123e-04
YJR057W	YDL042C	2.98123e-04
YJR057W	YOR074C	2.98123e-04
YJR057W	YLR209C	2.98123e-04
YJR057W	YFR028C	2.98123e-04
YJR057W	YMR270C	2.98123e-04
YML056C	YDR381W	2.93778e-04
YML056C	YGR262C	2.93778e-04
YML056C	YLL036C	2.93778e-04
YML056C	YLR432W	2.93778e-04
YML056C	YMR217W	2.93778e-04
YML056C	YLR209C	2.93778e-04
YML056C	YJR133W	2.93778e-04
YML056C	YNL124W	2.93778e-04
YLR432W	YLR166C	2.92713e-04
