Protein	NodeFreq	Prize
YER033C	0.001102	
Induced_..S..s......_hog1_Induced_Defective	0.109091	
YPL269W	0.000275	
YBR279W	0.002204	
YDR162C	0.001653	
YIL156W	0.001928	
Induced_..K..s......_cdc14_Induced_Defective	0.142424	
YDR432W	0.032231	
YDL149W	0.030854	
YBL085W	0.001653	
YMR125W	0.000275	
YPL115C	0.034711	
Repressed_..RS.s......_cdc14_Repressed_Defective	0.104683	
Induced_.....tP....._hog1_Induced_Defective	0.155647	
YDR475C	0.000275	
YAL041W	0.134986	
Induced_.....tP....._cdc14_Induced_Defective	0.044077	
YGL180W	0.000275	
YCR009C	0.000275	
Induced_..R..s......_hog1_Induced_Defective	0.155647	
YDR170C	0.001377	
Induced_.....sP....._hog1_Induced_Defective	0.155372	
Repressed_R.R..s......_hog1_Repressed_Amplified	0.155647	
YBR200W	0.020386	
YNL243W	0.002479	
YKR059W	0.009091	
YBR160W	0.068044	
Repressed_..R..t......_cdc14_Repressed_Amplified	0.041322	
YOR061W	0.023967	
YMR219W	0.000275	
YGR108W	0.007713	
YOR361C	0.056474	
YLR113W	0.155647	
YOR119C	0.050689	
YLR229C	0.080992	
YER025W	0.003306	
YNL079C	0.003030	
YGR287C	0.001102	
YMR055C	0.000275	
YMR031C	0.000551	
YBR097W	0.002479	
YGR130C	0.000275	
Induced_..R..s......_cdc14_Induced_Defective	0.142424	
YHR107C	0.032231	
YLR215C	0.000275	
YIL095W	0.048209	
YLR109W	0.002755	
YIL006W	0.003030	
YOR127W	0.046281	
YFL039C	0.002204	
YLL013C	0.045730	
YKL103C	0.001928	
YMR109W	0.000551	
YNL084C	0.016529	
Repressed_.....tP....._cdc14_Repressed_Defective	0.142424	
YHR028C	0.000551	
YKR030W	0.001102	
YPL049C	0.000275	
YLR310C	0.000551	
YNR064C	0.011019	
Repressed_..R..s......_pde2_Repressed_Amplified	0.184848	
YPL178W	0.114050	
YDL117W	0.024793	
YDR071C	0.000275	
YPR041W	0.003306	
Repressed_..RK.s......_pde2_Repressed_Amplified	0.119008	
YBL007C	0.009642	
YLR178C	0.002479	
YDL159W	0.002204	
YER133W	0.030303	
YDR160W	0.001102	
YDL161W	0.053444	
YBR122C	0.000551	
YPR181C	0.106887	
