Forest name	Forest size
cdc14_prizes_beta0.1_omega0.01_mu0.00_seed8_optimalForest.sif	29
hog1_prizes_beta0.5_omega0.01_mu0.00_seed10_optimalForest.sif	22
pde2_prizes_beta0.5_omega0.01_mu0.00_seed2_optimalForest.sif	17
pde2_prizes_beta0.5_omega0.01_mu0.00_seed7_optimalForest.sif	17
pde2_prizes_beta1.5_omega0.01_mu0.00_seed3_optimalForest.sif	17
pde2_prizes_beta0.5_omega0.01_mu0.00_seed4_optimalForest.sif	17
pde2_prizes_beta0.5_omega0.01_mu0.00_seed6_optimalForest.sif	17
pde2_prizes_beta0.5_omega0.01_mu0.00_seed9_optimalForest.sif	17
pde2_prizes_beta1.5_omega0.01_mu0.00_seed5_optimalForest.sif	17
cdc14_prizes_beta1.5_omega0.01_mu0.00_seed9_optimalForest.sif	29
cdc14_prizes_beta1.5_omega0.01_mu0.00_seed7_optimalForest.sif	29
cdc14_prizes_beta1.0_omega0.01_mu0.00_seed9_optimalForest.sif	29
cdc14_prizes_beta1.5_omega0.01_mu0.00_seed5_optimalForest.sif	29
cdc14_prizes_beta1.0_omega0.01_mu0.00_seed1_optimalForest.sif	29
cdc14_prizes_beta1.0_omega0.01_mu0.00_seed6_optimalForest.sif	29
cdc14_prizes_beta1.5_omega0.01_mu0.00_seed8_optimalForest.sif	29
pde2_prizes_beta0.5_omega0.01_mu0.00_seed10_optimalForest.sif	17
cdc14_prizes_beta1.0_omega0.01_mu0.00_seed10_optimalForest.sif	29
cdc14_prizes_beta1.5_omega0.01_mu0.00_seed10_optimalForest.sif	29
cdc14_prizes_beta0.5_omega0.01_mu0.00_seed1_optimalForest.sif	29
cdc14_prizes_beta1.0_omega0.01_mu0.00_seed4_optimalForest.sif	29
hog1_prizes_beta1.5_omega0.01_mu0.00_seed4_optimalForest.sif	22
hog1_prizes_beta1.0_omega0.01_mu0.00_seed1_optimalForest.sif	22
cdc14_prizes_beta1.0_omega0.01_mu0.00_seed2_optimalForest.sif	29
cdc14_prizes_beta1.0_omega0.01_mu0.00_seed7_optimalForest.sif	29
pde2_prizes_beta0.5_omega0.01_mu0.00_seed3_optimalForest.sif	17
cdc14_prizes_beta1.0_omega0.01_mu0.00_seed3_optimalForest.sif	29
cdc14_prizes_beta1.5_omega0.01_mu0.00_seed6_optimalForest.sif	29
hog1_prizes_beta1.0_omega0.01_mu0.00_seed2_optimalForest.sif	22
cdc14_prizes_beta1.0_omega0.01_mu0.00_seed8_optimalForest.sif	29
hog1_prizes_beta1.5_omega0.01_mu0.00_seed7_optimalForest.sif	22
hog1_prizes_beta1.5_omega0.01_mu0.00_seed3_optimalForest.sif	22
hog1_prizes_beta1.5_omega0.01_mu0.00_seed10_optimalForest.sif	22
pde2_prizes_beta1.5_omega0.01_mu0.00_seed1_optimalForest.sif	17
hog1_prizes_beta1.5_omega0.01_mu0.00_seed2_optimalForest.sif	22
hog1_prizes_beta1.0_omega0.01_mu0.00_seed4_optimalForest.sif	22
hog1_prizes_beta0.5_omega0.01_mu0.00_seed9_optimalForest.sif	22
hog1_prizes_beta1.5_omega0.01_mu0.00_seed8_optimalForest.sif	22
hog1_prizes_beta1.0_omega0.01_mu0.00_seed9_optimalForest.sif	22
pde2_prizes_beta0.5_omega0.01_mu0.00_seed1_optimalForest.sif	17
cdc14_prizes_beta0.1_omega0.01_mu0.00_seed3_optimalForest.sif	29
cdc14_prizes_beta0.1_omega0.01_mu0.00_seed6_optimalForest.sif	29
cdc14_prizes_beta0.1_omega0.01_mu0.00_seed7_optimalForest.sif	29
hog1_prizes_beta0.5_omega0.01_mu0.00_seed8_optimalForest.sif	22
hog1_prizes_beta1.0_omega0.01_mu0.00_seed7_optimalForest.sif	22
pde2_prizes_beta0.1_omega0.01_mu0.00_seed10_optimalForest.sif	17
hog1_prizes_beta1.0_omega0.01_mu0.00_seed3_optimalForest.sif	23
hog1_prizes_beta1.5_omega0.01_mu0.00_seed5_optimalForest.sif	22
pde2_prizes_beta0.5_omega0.01_mu0.00_seed8_optimalForest.sif	17
cdc14_prizes_beta0.1_omega0.01_mu0.00_seed4_optimalForest.sif	29
cdc14_prizes_beta0.1_omega0.01_mu0.00_seed9_optimalForest.sif	29
hog1_prizes_beta1.5_omega0.01_mu0.00_seed6_optimalForest.sif	22
hog1_prizes_beta0.1_omega0.01_mu0.00_seed3_optimalForest.sif	22
hog1_prizes_beta0.1_omega0.01_mu0.00_seed4_optimalForest.sif	22
pde2_prizes_beta0.1_omega0.01_mu0.00_seed3_optimalForest.sif	17
cdc14_prizes_beta0.1_omega0.01_mu0.00_seed10_optimalForest.sif	29
cdc14_prizes_beta0.1_omega0.01_mu0.00_seed1_optimalForest.sif	29
hog1_prizes_beta0.1_omega0.01_mu0.00_seed5_optimalForest.sif	22
pde2_prizes_beta1.0_omega0.01_mu0.00_seed6_optimalForest.sif	17
hog1_prizes_beta0.1_omega0.01_mu0.00_seed7_optimalForest.sif	22
cdc14_prizes_beta0.1_omega0.01_mu0.00_seed5_optimalForest.sif	29
hog1_prizes_beta0.1_omega0.01_mu0.00_seed10_optimalForest.sif	22
pde2_prizes_beta1.0_omega0.01_mu0.00_seed3_optimalForest.sif	17
cdc14_prizes_beta0.1_omega0.01_mu0.00_seed2_optimalForest.sif	29
hog1_prizes_beta0.1_omega0.01_mu0.00_seed9_optimalForest.sif	22
hog1_prizes_beta0.1_omega0.01_mu0.00_seed8_optimalForest.sif	22
cdc14_prizes_beta0.5_omega0.01_mu0.00_seed9_optimalForest.sif	29
hog1_prizes_beta0.1_omega0.01_mu0.00_seed1_optimalForest.sif	22
hog1_prizes_beta0.1_omega0.01_mu0.00_seed2_optimalForest.sif	22
pde2_prizes_beta1.0_omega0.01_mu0.00_seed1_optimalForest.sif	18
hog1_prizes_beta0.1_omega0.01_mu0.00_seed6_optimalForest.sif	22
pde2_prizes_beta1.0_omega0.01_mu0.00_seed5_optimalForest.sif	17
pde2_prizes_beta1.0_omega0.01_mu0.00_seed7_optimalForest.sif	17
cdc14_prizes_beta0.5_omega0.01_mu0.00_seed6_optimalForest.sif	29
hog1_prizes_beta0.5_omega0.01_mu0.00_seed2_optimalForest.sif	22
cdc14_prizes_beta0.5_omega0.01_mu0.00_seed2_optimalForest.sif	29
pde2_prizes_beta1.5_omega0.01_mu0.00_seed2_optimalForest.sif	17
cdc14_prizes_beta0.5_omega0.01_mu0.00_seed4_optimalForest.sif	29
pde2_prizes_beta0.1_omega0.01_mu0.00_seed1_optimalForest.sif	18
cdc14_prizes_beta0.5_omega0.01_mu0.00_seed5_optimalForest.sif	29
cdc14_prizes_beta0.5_omega0.01_mu0.00_seed3_optimalForest.sif	29
pde2_prizes_beta1.0_omega0.01_mu0.00_seed4_optimalForest.sif	18
pde2_prizes_beta1.0_omega0.01_mu0.00_seed2_optimalForest.sif	18
pde2_prizes_beta0.1_omega0.01_mu0.00_seed9_optimalForest.sif	17
cdc14_prizes_beta0.5_omega0.01_mu0.00_seed8_optimalForest.sif	29
pde2_prizes_beta0.1_omega0.01_mu0.00_seed5_optimalForest.sif	17
cdc14_prizes_beta0.5_omega0.01_mu0.00_seed10_optimalForest.sif	29
pde2_prizes_beta0.1_omega0.01_mu0.00_seed2_optimalForest.sif	18
cdc14_prizes_beta0.5_omega0.01_mu0.00_seed7_optimalForest.sif	29
hog1_prizes_beta0.5_omega0.01_mu0.00_seed1_optimalForest.sif	22
cdc14_prizes_beta2.5_omega0.01_mu0.00_seed2_optimalForest.sif	29
hog1_prizes_beta0.5_omega0.01_mu0.00_seed5_optimalForest.sif	22
cdc14_prizes_beta2.5_omega0.01_mu0.00_seed3_optimalForest.sif	29
hog1_prizes_beta0.5_omega0.01_mu0.00_seed3_optimalForest.sif	22
pde2_prizes_beta0.1_omega0.01_mu0.00_seed8_optimalForest.sif	17
cdc14_prizes_beta2.5_omega0.01_mu0.00_seed4_optimalForest.sif	29
hog1_prizes_beta0.5_omega0.01_mu0.00_seed4_optimalForest.sif	22
hog1_prizes_beta2.0_omega0.01_mu0.00_seed8_optimalForest.sif	22
pde2_prizes_beta0.1_omega0.01_mu0.00_seed4_optimalForest.sif	17
hog1_prizes_beta2.0_omega0.01_mu0.00_seed9_optimalForest.sif	22
hog1_prizes_beta2.0_omega0.01_mu0.00_seed7_optimalForest.sif	22
pde2_prizes_beta0.1_omega0.01_mu0.00_seed6_optimalForest.sif	17
pde2_prizes_beta1.5_omega0.01_mu0.00_seed6_optimalForest.sif	17
pde2_prizes_beta0.1_omega0.01_mu0.00_seed7_optimalForest.sif	18
hog1_prizes_beta2.0_omega0.01_mu0.00_seed10_optimalForest.sif	22
cdc14_prizes_beta2.0_omega0.01_mu0.00_seed1_optimalForest.sif	29
pde2_prizes_beta2.0_omega0.01_mu0.00_seed1_optimalForest.sif	17
pde2_prizes_beta2.0_omega0.01_mu0.00_seed3_optimalForest.sif	17
hog1_prizes_beta2.0_omega0.01_mu0.00_seed3_optimalForest.sif	22
cdc14_prizes_beta2.0_omega0.01_mu0.00_seed7_optimalForest.sif	29
hog1_prizes_beta2.0_omega0.01_mu0.00_seed4_optimalForest.sif	22
hog1_prizes_beta2.0_omega0.01_mu0.00_seed6_optimalForest.sif	22
pde2_prizes_beta1.5_omega0.01_mu0.00_seed7_optimalForest.sif	17
pde2_prizes_beta2.0_omega0.01_mu0.00_seed2_optimalForest.sif	17
cdc14_prizes_beta2.0_omega0.01_mu0.00_seed5_optimalForest.sif	29
cdc14_prizes_beta2.0_omega0.01_mu0.00_seed3_optimalForest.sif	29
cdc14_prizes_beta2.0_omega0.01_mu0.00_seed6_optimalForest.sif	29
cdc14_prizes_beta1.0_omega0.01_mu0.00_seed5_optimalForest.sif	29
hog1_prizes_beta2.0_omega0.01_mu0.00_seed5_optimalForest.sif	22
cdc14_prizes_beta2.0_omega0.01_mu0.00_seed2_optimalForest.sif	29
cdc14_prizes_beta1.5_omega0.01_mu0.00_seed2_optimalForest.sif	29
pde2_prizes_beta1.0_omega0.01_mu0.00_seed8_optimalForest.sif	17
pde2_prizes_beta1.5_omega0.01_mu0.00_seed8_optimalForest.sif	18
cdc14_prizes_beta2.5_omega0.01_mu0.00_seed1_optimalForest.sif	29
hog1_prizes_beta2.0_omega0.01_mu0.00_seed1_optimalForest.sif	22
hog1_prizes_beta0.5_omega0.01_mu0.00_seed7_optimalForest.sif	22
hog1_prizes_beta2.5_omega0.01_mu0.00_seed2_optimalForest.sif	22
pde2_prizes_beta0.5_omega0.01_mu0.00_seed5_optimalForest.sif	17
hog1_prizes_beta0.5_omega0.01_mu0.00_seed6_optimalForest.sif	22
pde2_prizes_beta2.0_omega0.01_mu0.00_seed4_optimalForest.sif	17
hog1_prizes_beta2.5_omega0.01_mu0.00_seed3_optimalForest.sif	22
pde2_prizes_beta2.0_omega0.01_mu0.00_seed5_optimalForest.sif	17
cdc14_prizes_beta1.5_omega0.01_mu0.00_seed4_optimalForest.sif	29
hog1_prizes_beta1.0_omega0.01_mu0.00_seed10_optimalForest.sif	22
pde2_prizes_beta1.5_omega0.01_mu0.00_seed10_optimalForest.sif	17
hog1_prizes_beta2.0_omega0.01_mu0.00_seed2_optimalForest.sif	22
pde2_prizes_beta2.0_omega0.01_mu0.00_seed7_optimalForest.sif	17
cdc14_prizes_beta1.5_omega0.01_mu0.00_seed1_optimalForest.sif	29
hog1_prizes_beta1.0_omega0.01_mu0.00_seed8_optimalForest.sif	22
hog1_prizes_beta1.0_omega0.01_mu0.00_seed5_optimalForest.sif	22
cdc14_prizes_beta2.0_omega0.01_mu0.00_seed8_optimalForest.sif	29
pde2_prizes_beta2.0_omega0.01_mu0.00_seed10_optimalForest.sif	17
pde2_prizes_beta2.0_omega0.01_mu0.00_seed6_optimalForest.sif	17
pde2_prizes_beta2.0_omega0.01_mu0.00_seed8_optimalForest.sif	17
pde2_prizes_beta1.5_omega0.01_mu0.00_seed4_optimalForest.sif	17
hog1_prizes_beta1.0_omega0.01_mu0.00_seed6_optimalForest.sif	22
hog1_prizes_beta3.0_omega0.01_mu0.00_seed5_optimalForest.sif	22
pde2_prizes_beta2.0_omega0.01_mu0.00_seed9_optimalForest.sif	18
cdc14_prizes_beta3.5_omega0.01_mu0.00_seed1_optimalForest.sif	29
pde2_prizes_beta1.0_omega0.01_mu0.00_seed9_optimalForest.sif	18
cdc14_prizes_beta3.5_omega0.01_mu0.00_seed2_optimalForest.sif	29
cdc14_prizes_beta3.5_omega0.01_mu0.00_seed4_optimalForest.sif	29
hog1_prizes_beta3.0_omega0.01_mu0.00_seed4_optimalForest.sif	22
pde2_prizes_beta1.5_omega0.01_mu0.00_seed9_optimalForest.sif	17
pde2_prizes_beta3.0_omega0.01_mu0.00_seed10_optimalForest.sif	18
hog1_prizes_beta3.5_omega0.01_mu0.00_seed2_optimalForest.sif	22
hog1_prizes_beta3.5_omega0.01_mu0.00_seed5_optimalForest.sif	22
cdc14_prizes_beta1.5_omega0.01_mu0.00_seed3_optimalForest.sif	29
cdc14_prizes_beta3.5_omega0.01_mu0.00_seed8_optimalForest.sif	29
pde2_prizes_beta1.0_omega0.01_mu0.00_seed10_optimalForest.sif	18
hog1_prizes_beta3.0_omega0.01_mu0.00_seed9_optimalForest.sif	22
cdc14_prizes_beta2.0_omega0.01_mu0.00_seed9_optimalForest.sif	29
cdc14_prizes_beta3.5_omega0.01_mu0.00_seed10_optimalForest.sif	29
hog1_prizes_beta3.5_omega0.01_mu0.00_seed1_optimalForest.sif	22
cdc14_prizes_beta3.5_omega0.01_mu0.00_seed5_optimalForest.sif	29
cdc14_prizes_beta3.5_omega0.01_mu0.00_seed9_optimalForest.sif	29
hog1_prizes_beta3.5_omega0.01_mu0.00_seed3_optimalForest.sif	22
hog1_prizes_beta3.5_omega0.01_mu0.00_seed7_optimalForest.sif	22
hog1_prizes_beta3.5_omega0.01_mu0.00_seed4_optimalForest.sif	22
hog1_prizes_beta2.5_omega0.01_mu0.00_seed7_optimalForest.sif	22
hog1_prizes_beta1.5_omega0.01_mu0.00_seed9_optimalForest.sif	22
hog1_prizes_beta1.5_omega0.01_mu0.00_seed1_optimalForest.sif	22
hog1_prizes_beta2.5_omega0.01_mu0.00_seed4_optimalForest.sif	22
cdc14_prizes_beta2.0_omega0.01_mu0.00_seed10_optimalForest.sif	29
cdc14_prizes_beta3.0_omega0.01_mu0.00_seed6_optimalForest.sif	29
hog1_prizes_beta3.5_omega0.01_mu0.00_seed8_optimalForest.sif	22
hog1_prizes_beta3.5_omega0.01_mu0.00_seed10_optimalForest.sif	22
cdc14_prizes_beta3.0_omega0.01_mu0.00_seed4_optimalForest.sif	29
hog1_prizes_beta2.5_omega0.01_mu0.00_seed5_optimalForest.sif	22
hog1_prizes_beta3.5_omega0.01_mu0.00_seed6_optimalForest.sif	22
cdc14_prizes_beta3.0_omega0.01_mu0.00_seed8_optimalForest.sif	29
hog1_prizes_beta2.5_omega0.01_mu0.00_seed6_optimalForest.sif	22
hog1_prizes_beta2.5_omega0.01_mu0.00_seed8_optimalForest.sif	22
hog1_prizes_beta2.5_omega0.01_mu0.00_seed10_optimalForest.sif	22
cdc14_prizes_beta3.0_omega0.01_mu0.00_seed9_optimalForest.sif	29
cdc14_prizes_beta2.5_omega0.01_mu0.00_seed6_optimalForest.sif	29
pde2_prizes_beta3.5_omega0.01_mu0.00_seed4_optimalForest.sif	17
pde2_prizes_beta2.5_omega0.01_mu0.00_seed2_optimalForest.sif	17
hog1_prizes_beta2.5_omega0.01_mu0.00_seed9_optimalForest.sif	22
pde2_prizes_beta2.5_omega0.01_mu0.00_seed1_optimalForest.sif	17
cdc14_prizes_beta2.5_omega0.01_mu0.00_seed5_optimalForest.sif	29
cdc14_prizes_beta2.5_omega0.01_mu0.00_seed7_optimalForest.sif	29
cdc14_prizes_beta3.0_omega0.01_mu0.00_seed10_optimalForest.sif	29
pde2_prizes_beta2.5_omega0.01_mu0.00_seed3_optimalForest.sif	17
cdc14_prizes_beta2.5_omega0.01_mu0.00_seed10_optimalForest.sif	29
hog1_prizes_beta3.5_omega0.01_mu0.00_seed9_optimalForest.sif	22
hog1_prizes_beta4.0_omega0.01_mu0.00_seed2_optimalForest.sif	22
pde2_prizes_beta2.5_omega0.01_mu0.00_seed4_optimalForest.sif	17
hog1_prizes_beta4.0_omega0.01_mu0.00_seed8_optimalForest.sif	22
cdc14_prizes_beta3.0_omega0.01_mu0.00_seed2_optimalForest.sif	29
pde2_prizes_beta2.5_omega0.01_mu0.00_seed8_optimalForest.sif	17
hog1_prizes_beta3.0_omega0.01_mu0.00_seed10_optimalForest.sif	22
hog1_prizes_beta4.0_omega0.01_mu0.00_seed6_optimalForest.sif	22
cdc14_prizes_beta3.5_omega0.01_mu0.00_seed3_optimalForest.sif	29
hog1_prizes_beta4.0_omega0.01_mu0.00_seed7_optimalForest.sif	22
pde2_prizes_beta2.5_omega0.01_mu0.00_seed5_optimalForest.sif	17
cdc14_prizes_beta3.0_omega0.01_mu0.00_seed1_optimalForest.sif	29
pde2_prizes_beta2.5_omega0.01_mu0.00_seed7_optimalForest.sif	17
pde2_prizes_beta2.5_omega0.01_mu0.00_seed6_optimalForest.sif	17
pde2_prizes_beta3.5_omega0.01_mu0.00_seed1_optimalForest.sif	17
pde2_prizes_beta3.0_omega0.01_mu0.00_seed2_optimalForest.sif	17
hog1_prizes_beta4.0_omega0.01_mu0.00_seed4_optimalForest.sif	22
pde2_prizes_beta2.5_omega0.01_mu0.00_seed9_optimalForest.sif	17
pde2_prizes_beta4.0_omega0.01_mu0.00_seed8_optimalForest.sif	18
pde2_prizes_beta2.5_omega0.01_mu0.00_seed10_optimalForest.sif	18
cdc14_prizes_beta3.5_omega0.01_mu0.00_seed6_optimalForest.sif	29
cdc14_prizes_beta3.5_omega0.01_mu0.00_seed7_optimalForest.sif	29
pde2_prizes_beta4.0_omega0.01_mu0.00_seed10_optimalForest.sif	17
cdc14_prizes_beta3.0_omega0.01_mu0.00_seed3_optimalForest.sif	29
cdc14_prizes_beta4.5_omega0.01_mu0.00_seed3_optimalForest.sif	29
pde2_prizes_beta3.5_omega0.01_mu0.00_seed6_optimalForest.sif	17
pde2_prizes_beta3.5_omega0.01_mu0.00_seed3_optimalForest.sif	17
cdc14_prizes_beta4.5_omega0.01_mu0.00_seed6_optimalForest.sif	29
cdc14_prizes_beta4.5_omega0.01_mu0.00_seed9_optimalForest.sif	29
cdc14_prizes_beta4.5_omega0.01_mu0.00_seed5_optimalForest.sif	29
cdc14_prizes_beta3.0_omega0.01_mu0.00_seed5_optimalForest.sif	29
cdc14_prizes_beta4.0_omega0.01_mu0.00_seed9_optimalForest.sif	29
cdc14_prizes_beta4.0_omega0.01_mu0.00_seed2_optimalForest.sif	29
cdc14_prizes_beta4.0_omega0.01_mu0.00_seed3_optimalForest.sif	29
cdc14_prizes_beta4.5_omega0.01_mu0.00_seed10_optimalForest.sif	29
cdc14_prizes_beta3.0_omega0.01_mu0.00_seed7_optimalForest.sif	29
cdc14_prizes_beta4.0_omega0.01_mu0.00_seed1_optimalForest.sif	29
cdc14_prizes_beta2.0_omega0.01_mu0.00_seed4_optimalForest.sif	29
pde2_prizes_beta3.0_omega0.01_mu0.00_seed9_optimalForest.sif	17
pde2_prizes_beta4.0_omega0.01_mu0.00_seed9_optimalForest.sif	17
cdc14_prizes_beta4.0_omega0.01_mu0.00_seed6_optimalForest.sif	29
pde2_prizes_beta3.0_omega0.01_mu0.00_seed6_optimalForest.sif	17
cdc14_prizes_beta4.0_omega0.01_mu0.00_seed5_optimalForest.sif	29
cdc14_prizes_beta2.5_omega0.01_mu0.00_seed9_optimalForest.sif	29
hog1_prizes_beta4.0_omega0.01_mu0.00_seed5_optimalForest.sif	22
hog1_prizes_beta3.0_omega0.01_mu0.00_seed8_optimalForest.sif	22
cdc14_prizes_beta4.0_omega0.01_mu0.00_seed7_optimalForest.sif	29
cdc14_prizes_beta4.0_omega0.01_mu0.00_seed4_optimalForest.sif	29
hog1_prizes_beta4.0_omega0.01_mu0.00_seed3_optimalForest.sif	22
cdc14_prizes_beta4.0_omega0.01_mu0.00_seed10_optimalForest.sif	29
pde2_prizes_beta3.0_omega0.01_mu0.00_seed7_optimalForest.sif	17
cdc14_prizes_beta4.0_omega0.01_mu0.00_seed8_optimalForest.sif	29
pde2_prizes_beta3.5_omega0.01_mu0.00_seed7_optimalForest.sif	17
hog1_prizes_beta4.0_omega0.01_mu0.00_seed1_optimalForest.sif	22
cdc14_prizes_beta4.5_omega0.01_mu0.00_seed2_optimalForest.sif	29
pde2_prizes_beta3.0_omega0.01_mu0.00_seed5_optimalForest.sif	17
pde2_prizes_beta3.5_omega0.01_mu0.00_seed5_optimalForest.sif	17
cdc14_prizes_beta2.5_omega0.01_mu0.00_seed8_optimalForest.sif	29
hog1_prizes_beta2.5_omega0.01_mu0.00_seed1_optimalForest.sif	22
pde2_prizes_beta3.5_omega0.01_mu0.00_seed10_optimalForest.sif	17
hog1_prizes_beta0.1_omega0.01_mu0.01_seed3_optimalForest.sif	0
hog1_prizes_beta0.1_omega0.01_mu0.01_seed2_optimalForest.sif	0
