YDR135C	YFR019W
YGR162W	YJR059W
YBR059C	YNL243W
YOL139C	YOR204W
YIR006C	YJR065C
Induced_..K..s......_cdc14_Induced_Amplified	YFR014C
YER025W	YOR361C
Repressed_..RR.s......_cdc14_Repressed_Defective	YDL203C
Induced_.....tP....._hog1_Induced_Defective	YGR162W
Induced_..R..s......_hog1_Induced_Defective	YLR248W
Repressed_R.....s......_cdc14_Repressed_Defective	YHL009C
YLR096W	YNL054W
YEL022W	YKR030W
YGR108W	YHR135C
YLR096W	YMR196W
YLR096W	YMR124W
Induced_..R..s......_cdc14_Induced_Defective	YGR162W
Induced_.....tP....._pde2_Induced_Defective	YBL007C
YFR014C	YNL272C
YHL007C	YPL201C
YDR264C	YHR135C
YFR021W	YNL242W
YDL161W	YIR006C
Repressed_R.R..s......_cdc14_Repressed_Defective	YER133W
Repressed_.....sP....._hog1_Repressed_Defective	YPR181C
YDR490C	YJL164C
YDR160W	YHR135C
Induced_..S..s......_pde2_Induced_Defective	YBR059C
Repressed_R.R..s......_pde2_Repressed_Amplified	YNL243W
YBL085W	YDR162C
Repressed_R.....s......_cdc14_Repressed_Defective	YFR028C
YFR014C	YNR064C
YJR090C	YPL256C
YNL154C	YOR153W
YBL007C	YLR248W
YBR109C	YNL079C
YHR087W	YOL139C
Induced_..R..s......_cdc14_Induced_Defective	YDR432W
YLR178C	YNL251C
YAL035W	YER025W
YDL060W	YKL054C
YGR063C	YLR113W
YIL095W	YNL243W
Repressed_.....tP....._pde2_Repressed_Amplified	YBR108W
YCL043C	YMR291W
YDR229W	YPR119W
YDL140C	YLR113W
YFR014C	YPL203W
YGL019W	YOR061W
YJL005W	YJR086W
YER151C	YPR181C
Induced_..S..s......_hog1_Induced_Defective	YCR002C
YBR109C	YJR065C
YBR160W	YCL063W
Induced_..K..s......_hog1_Induced_Defective	YKL054C
Repressed_R.R..s......_hog1_Repressed_Amplified	YGR162W
YCR002C	YLR229C
YER036C	YJR059W
Repressed_R.....s......_cdc14_Repressed_Defective	YOR153W
YBR097W	YHR005C
YJL005W	YOR360C
Repressed_R.R..s......_pde2_Repressed_Amplified	YBR160W
YML028W	YNL079C
Repressed_..R..t......_cdc14_Repressed_Amplified	YHR135C
YGR241C	YNL020C
YOR115C	YPR181C
YMR031C	YNL154C
Induced_.....sP....._hog1_Induced_Defective	YOR151C
YBL085W	YFR028C
YLR096W	YNR064C
YMR260C	YOR361C
YOR127W	YPL256C
YBR059C	YGL207W
YFR014C	YGL207W
Repressed_..RK.s......_cdc14_Repressed_Defective	YMR291W
YLR096W	YOR184W
YDR388W	YIR003W
YAL035W	YDL220C
