A	interaction	B
YDR135C	pp	YFR019W
YGR162W	pp	YJR059W
YBR059C	pp	YNL243W
YOL139C	pp	YOR204W
YIR006C	pp	YJR065C
Induced_..K..s......_cdc14_Induced_Amplified	pp	YFR014C
YER025W	pp	YOR361C
Repressed_..RR.s......_cdc14_Repressed_Defective	pp	YDL203C
Induced_.....tP....._hog1_Induced_Defective	pp	YGR162W
Induced_..R..s......_hog1_Induced_Defective	pp	YLR248W
Repressed_R.....s......_cdc14_Repressed_Defective	pp	YHL009C
YLR096W	pp	YNL054W
YEL022W	pp	YKR030W
YGR108W	pp	YHR135C
YLR096W	pp	YMR196W
YLR096W	pp	YMR124W
Induced_..R..s......_cdc14_Induced_Defective	pp	YGR162W
Induced_.....tP....._pde2_Induced_Defective	pp	YBL007C
YFR014C	pp	YNL272C
YHL007C	pp	YPL201C
YDR264C	pp	YHR135C
YFR021W	pp	YNL242W
YDL161W	pp	YIR006C
Repressed_R.R..s......_cdc14_Repressed_Defective	pp	YER133W
Repressed_.....sP....._hog1_Repressed_Defective	pp	YPR181C
YDR490C	pp	YJL164C
YDR160W	pp	YHR135C
Induced_..S..s......_pde2_Induced_Defective	pp	YBR059C
Repressed_R.R..s......_pde2_Repressed_Amplified	pp	YNL243W
YBL085W	pp	YDR162C
Repressed_R.....s......_cdc14_Repressed_Defective	pp	YFR028C
YFR014C	pp	YNR064C
YJR090C	pp	YPL256C
YNL154C	pp	YOR153W
YBL007C	pp	YLR248W
YBR109C	pp	YNL079C
YHR087W	pp	YOL139C
Induced_..R..s......_cdc14_Induced_Defective	pp	YDR432W
YLR178C	pp	YNL251C
YAL035W	pp	YER025W
YDL060W	pp	YKL054C
YGR063C	pp	YLR113W
YIL095W	pp	YNL243W
Repressed_.....tP....._pde2_Repressed_Amplified	pp	YBR108W
YCL043C	pp	YMR291W
YDR229W	pp	YPR119W
YDL140C	pp	YLR113W
YFR014C	pp	YPL203W
YGL019W	pp	YOR061W
YJL005W	pp	YJR086W
YER151C	pp	YPR181C
Induced_..S..s......_hog1_Induced_Defective	pp	YCR002C
YBR109C	pp	YJR065C
YBR160W	pp	YCL063W
Induced_..K..s......_hog1_Induced_Defective	pp	YKL054C
Repressed_R.R..s......_hog1_Repressed_Amplified	pp	YGR162W
YCR002C	pp	YLR229C
YER036C	pp	YJR059W
Repressed_R.....s......_cdc14_Repressed_Defective	pp	YOR153W
YBR097W	pp	YHR005C
YJL005W	pp	YOR360C
Repressed_R.R..s......_pde2_Repressed_Amplified	pp	YBR160W
YML028W	pp	YNL079C
Repressed_..R..t......_cdc14_Repressed_Amplified	pp	YHR135C
YGR241C	pp	YNL020C
YOR115C	pp	YPR181C
YMR031C	pp	YNL154C
Induced_.....sP....._hog1_Induced_Defective	pp	YOR151C
YBL085W	pp	YFR028C
YLR096W	pp	YNR064C
YMR260C	pp	YOR361C
YOR127W	pp	YPL256C
YBR059C	pp	YGL207W
YFR014C	pp	YGL207W
Repressed_..RK.s......_cdc14_Repressed_Defective	pp	YMR291W
YLR096W	pp	YOR184W
YDR388W	pp	YIR003W
YAL035W	pp	YDL220C
YNL078W	pp	YOL070C
YDR454C	pp	YIL006W
YBR160W	pp	YKL129C
Repressed_R.....s......_cdc14_Repressed_Defective	pp	YLR229C
YJL187C	pp	YLR067C
Induced_.....s..S..._hog1_Induced_Defective	pp	YLR248W
Repressed_.....tP....._pde2_Repressed_Amplified	pp	YGL207W
YAL035W	pp	YOR361C
Repressed_..R..s......_cdc14_Repressed_Defective	pp	YHR135C
Repressed_..RS.s......_hog1_Repressed_Defective	pp	YAL041W
YNL152W	pp	YPR119W
Repressed_..RS.s......_cdc14_Repressed_Defective	pp	YLR096W
YDR096W	pp	YER033C
Repressed_..RK.s......_pde2_Repressed_Amplified	pp	YJL164C
YGL137W	pp	YOR119C
YHL007C	pp	YIL156W
YDR490C	pp	YJR059W
YBR109C	pp	YFR014C
YLR386W	pp	YNL054W
YGR130C	pp	YPL153C
YGL180W	pp	YPL203W
YDR211W	pp	YJR090C
YER151C	pp	YML010W
YGR162W	pp	YOR361C
Repressed_.....sP....._hog1_Repressed_Defective	pp	YPL153C
YGR130C	pp	YJL164C
YDL161W	pp	YPL115C
Repressed_R.....s......_cdc14_Repressed_Defective	pp	YOR093C
YDL149W	pp	YFR028C
YPL120W	pp	YPL153C
YDR454C	pp	YGR209C
YHR031C	pp	YLR248W
YNL020C	pp	YNL084C
YFR014C	pp	YOR184W
YDL117W	pp	YJL164C
YDL117W	pp	YER118C
YDL159W	pp	YGR287C
YDL149W	pp	YFR021W
Induced_.....tP....._hog1_Induced_Defective	pp	YPL242C
Repressed_..R..s......_cdc14_Repressed_Defective	pp	YPR119W
Repressed_..RK.s......_cdc14_Repressed_Defective	pp	YHR030C
Repressed_R.R..s......_cdc14_Repressed_Defective	pp	YDR388W
YDL203C	pp	YLR096W
YDR162C	pp	YHL007C
YGL180W	pp	YGL207W
Induced_.....tP....._hog1_Induced_Defective	pp	YJR059W
YGR209C	pp	YML028W
YER151C	pp	YLR113W
YAL023C	pp	YML029W
YJL128C	pp	YJR059W
YFR021W	pp	YHR135C
YCR088W	pp	YNL138W
YHR135C	pp	YIR003W
Induced_..S..s......_hog1_Induced_Defective	pp	YJR065C
YIL021W	pp	YPL203W
YOR360C	pp	YPL203W
YBR109C	pp	YOR039W
YBR279W	pp	YNL251C
Induced_..K..s......_hog1_Induced_Defective	pp	YOR109W
YFR021W	pp	YFR029W
Induced_..S..s......_pde2_Induced_Defective	pp	YPL153C
YLR386W	pp	YNL325C
Repressed_..R..s......_hog1_Repressed_Defective	pp	YBR200W
YPL049C	pp	YPL256C
YGL210W	pp	YMR291W
YGR241C	pp	YNL084C
Repressed_.....sP....._hog1_Repressed_Defective	pp	YJL128C
YHR030C	pp	YPR088C
YDL140C	pp	YJL164C
YDR085C	pp	YHR107C
YFL023W	pp	YMR260C
YLR113W	pp	YLR248W
YGR068C	pp	YGR080W
YJL005W	pp	YLR310C
Repressed_..RR.s......_cdc14_Repressed_Defective	pp	YFL023W
Induced_.....sP....._hog1_Induced_Defective	pp	YER151C
YDR160W	pp	YFR029W
YER008C	pp	YJL085W
YDR480W	pp	YNL154C
YLL039C	pp	YNL154C
YJL187C	pp	YLR096W
YDR085C	pp	YPL242C
YAL041W	pp	YPR129W
YHR028C	pp	YKL166C
YFL023W	pp	YHR135C
Induced_.....s..S..._cdc14_Induced_Amplified	pp	YNL154C
YBL056W	pp	YDR071C
YDL159W	pp	YDR206W
YGL207W	pp	YJL164C
Induced_..K..s......_hog1_Induced_Defective	pp	YMR219W
YKR059W	pp	YPR042C
YDR211W	pp	YPR041W
YAL023C	pp	YNL074C
YDR379W	pp	YGR152C
YGL137W	pp	YMR291W
YEL022W	pp	YJR031C
YJL187C	pp	YPR119W
YKL101W	pp	YOL139C
Repressed_..RK.s......_cdc14_Repressed_Defective	pp	YHL007C
Induced_.....sP....._hog1_Induced_Defective	pp	YFR021W
YBR160W	pp	YDL056W
YJL157C	pp	YLR229C
YDR099W	pp	YPL153C
YGR209C	pp	YLR109W
Induced_..K..s......_hog1_Induced_Defective	pp	YOL070C
Repressed_.....sP....._hog1_Repressed_Defective	pp	YER033C
YFR019W	pp	YFR021W
Repressed_.....sP....._hog1_Repressed_Defective	pp	YNL161W
YER025W	pp	YLR215C
Repressed_..RK.s......_cdc14_Repressed_Defective	pp	YGR052W
Induced_.....sP....._hog1_Induced_Defective	pp	YJL128C
Repressed_.....sP....._hog1_Repressed_Defective	pp	YJL020C
YNL251C	pp	YPL178W
YGR162W	pp	YJL124C
Induced_..R..s......_cdc14_Induced_Defective	pp	YJL124C
YLR229C	pp	YPL242C
YGR080W	pp	YNL138W
Induced_.....tP....._cdc14_Induced_Defective	pp	YBR160W
Repressed_R.....s......_cdc14_Repressed_Defective	pp	YER008C
YDR028C	pp	YLR377C
YFR021W	pp	YLR386W
YHL007C	pp	YOL139C
Induced_..R..s......_hog1_Induced_Amplified	pp	YDR432W
Repressed_.....tP....._cdc14_Repressed_Amplified	pp	YPR041W
Repressed_..RR.s......_hog1_Repressed_Defective	pp	YJL164C
YEL022W	pp	YOR115C
Repressed_..RS.s......_hog1_Repressed_Defective	pp	YDR379W
YJL128C	pp	YLR248W
YGL019W	pp	YGR068C
YDR480W	pp	YPL256C
YML010W	pp	YNL251C
Repressed_..RR.s......_cdc14_Repressed_Defective	pp	YGR287C
Induced_..K..s......_cdc14_Induced_Defective	pp	YJL187C
Repressed_.....tP....._cdc14_Repressed_Defective	pp	YHL007C
YFR028C	pp	YLR096W
YLR178C	pp	YLR216C
YDR471W	pp	YMR031C
Repressed_R.....s......_pde2_Repressed_Amplified	pp	YBR109C
YDR096W	pp	YDR475C
YLR248W	pp	YPL153C
YLR096W	pp	YOR093C
YFR028C	pp	YPL269W
YFR014C	pp	YKL166C
YBR108W	pp	YPL153C
Induced_.....s..S..._cdc14_Induced_Defective	pp	YNL154C
YGL019W	pp	YOR039W
Induced_..K..s......_hog1_Induced_Defective	pp	YHR031C
YNL272C	pp	YPL153C
YGL197W	pp	YLR310C
YFR028C	pp	YOR119C
Repressed_.....tP....._cdc14_Repressed_Amplified	pp	YMR260C
YGR152C	pp	YOR127W
Induced_..S..s......_hog1_Induced_Defective	pp	YDR135C
YGL019W	pp	YGL207W
YCL063W	pp	YFR021W
YGL206C	pp	YGR241C
YDR388W	pp	YLR337C
YAL041W	pp	YER118C
Induced_..S..s......_hog1_Induced_Defective	pp	YHR107C
Induced_..S..s......_hog1_Induced_Defective	pp	YPL153C
Repressed_..RS.s......_hog1_Repressed_Defective	pp	YFR028C
Induced_.....tP....._hog1_Induced_Defective	pp	YDL060W
Repressed_R.....s......_cdc14_Repressed_Defective	pp	YPR042C
YGR238C	pp	YLR096W
Repressed_..RR.s......_cdc14_Repressed_Defective	pp	YKL101W
YFR019W	pp	YOR109W
YAR015W	pp	YLR096W
Repressed_..RR.s......_cdc14_Repressed_Defective	pp	YLR371W
YBL007C	pp	YBR160W
YBR122C	pp	YHL007C
YDR264C	pp	YJR086W
Induced_..K..s......_hog1_Induced_Defective	pp	YJL020C
YIR006C	pp	YLR113W
Repressed_.....sP....._hog1_Repressed_Defective	pp	YJR059W
Induced_..R..s......_cdc14_Induced_Defective	pp	YLL013C
YGR238C	pp	YML064C
YDR471W	pp	YFR014C
YFL026W	pp	YGL206C
YFR014C	pp	YJL124C
YLR377C	pp	YMR186W
YAR014C	pp	YJL187C
Repressed_.....tP....._cdc14_Repressed_Defective	pp	YBR160W
Repressed_R.R..s......_pde2_Repressed_Amplified	pp	YBR059C
YDR096W	pp	YNL078W
YDR432W	pp	YGR162W
YHL007C	pp	YLR229C
YCR002C	pp	YPL153C
YFR028C	pp	YGR052W
Induced_..S..s......_hog1_Induced_Defective	pp	YNL078W
YDR099W	pp	YNL020C
YDR388W	pp	YNL154C
YER118C	pp	YJL128C
YCR088W	pp	YNL020C
YBR160W	pp	YPL153C
YKL166C	pp	YOR360C
Induced_.....sP....._hog1_Induced_Defective	pp	YDL117W
YOL139C	pp	YOR361C
Induced_.....tP....._hog1_Induced_Defective	pp	YDR170C
YDL101C	pp	YFR028C
YBR160W	pp	YGR108W
YFR021W	pp	YLL039C
YJL020C	pp	YMR109W
YDR229W	pp	YDR388W
Induced_..K..s......_hog1_Induced_Defective	pp	YLR345W
YGR162W	pp	YHR087W
YJL164C	pp	YOR360C
YGL207W	pp	YIL021W
YJL164C	pp	YKL042W
Induced_.....tP....._pde2_Induced_Defective	pp	YIL095W
Induced_.....tP....._pde2_Induced_Defective	pp	YGR241C
YDR264C	pp	YNL154C
YBR133C	pp	YJL187C
Induced_.....s..S..._hog1_Induced_Defective	pp	YEL022W
Induced_..K..s......_hog1_Induced_Defective	pp	YDL117W
Induced_.....sP....._pde2_Induced_Defective	pp	YPL153C
YDL060W	pp	YML010W
YDR206W	pp	YHL007C
YJL164C	pp	YLR216C
YFR028C	pp	YMR055C
Induced_.....tP....._pde2_Induced_Defective	pp	YDL161W
YER133W	pp	YLR096W
Induced_.....tP....._pde2_Induced_Defective	pp	YFL023W
Induced_..K..s......_hog1_Induced_Defective	pp	YJR059W
YFR021W	pp	YJL187C
YLR229C	pp	YPL115C
YGL207W	pp	YJL187C
Repressed_...R.s......_pde2_Repressed_Amplified	pp	YGL019W
YBR109C	pp	YIL021W
YLR206W	pp	YNL020C
Induced_..K..s......_cdc14_Induced_Defective	pp	YJL020C
YJL164C	pp	YML010W
Repressed_.....tP....._cdc14_Repressed_Defective	pp	YPL256C
YBR160W	pp	YDL220C
YER133W	pp	YFL023W
YCR009C	pp	YDR388W
YBL056W	pp	YCR009C
Induced_..S..s......_hog1_Induced_Defective	pp	YFL039C
Induced_..R..s......_cdc14_Induced_Defective	pp	YOL139C
YKR059W	pp	YLL013C
Repressed_..RR.s......_cdc14_Repressed_Defective	pp	YAR015W
YAL041W	pp	YDR309C
Repressed_R.....s......_pde2_Repressed_Amplified	pp	YIL095W
YDL149W	pp	YKL103C
Repressed_..R..s......_pde2_Repressed_Amplified	pp	YJL164C
YGR162W	pp	YPL178W
Induced_..R..s......_cdc14_Induced_Defective	pp	YIL095W
