Forest name	Forest size	Steiner nodes	Prizes in forest	Total prizes
cdc14_prizes_beta0.1_omega0.01_mu0.00_seed8_optimalForest.sif	29	13	16	24
cdc14_prizes_beta1.5_omega0.01_mu0.00_seed9_optimalForest.sif	29	13	16	24
cdc14_prizes_beta1.5_omega0.01_mu0.00_seed7_optimalForest.sif	29	13	16	24
cdc14_prizes_beta1.0_omega0.01_mu0.00_seed9_optimalForest.sif	29	13	16	24
cdc14_prizes_beta1.5_omega0.01_mu0.00_seed5_optimalForest.sif	29	13	16	24
cdc14_prizes_beta1.0_omega0.01_mu0.00_seed1_optimalForest.sif	29	13	16	24
cdc14_prizes_beta1.0_omega0.01_mu0.00_seed6_optimalForest.sif	29	13	16	24
cdc14_prizes_beta1.5_omega0.01_mu0.00_seed8_optimalForest.sif	29	13	16	24
cdc14_prizes_beta1.0_omega0.01_mu0.00_seed10_optimalForest.sif	29	13	16	24
cdc14_prizes_beta1.5_omega0.01_mu0.00_seed10_optimalForest.sif	29	13	16	24
cdc14_prizes_beta0.5_omega0.01_mu0.00_seed1_optimalForest.sif	29	13	16	24
cdc14_prizes_beta1.0_omega0.01_mu0.00_seed4_optimalForest.sif	29	13	16	24
cdc14_prizes_beta1.0_omega0.01_mu0.00_seed2_optimalForest.sif	29	13	16	24
cdc14_prizes_beta1.0_omega0.01_mu0.00_seed7_optimalForest.sif	29	13	16	24
cdc14_prizes_beta1.0_omega0.01_mu0.00_seed3_optimalForest.sif	29	13	16	24
cdc14_prizes_beta1.5_omega0.01_mu0.00_seed6_optimalForest.sif	29	13	16	24
cdc14_prizes_beta1.0_omega0.01_mu0.00_seed8_optimalForest.sif	29	13	16	24
cdc14_prizes_beta0.1_omega0.01_mu0.00_seed3_optimalForest.sif	29	13	16	24
cdc14_prizes_beta0.1_omega0.01_mu0.00_seed6_optimalForest.sif	29	13	16	24
cdc14_prizes_beta0.1_omega0.01_mu0.00_seed7_optimalForest.sif	29	13	16	24
cdc14_prizes_beta0.1_omega0.01_mu0.00_seed4_optimalForest.sif	29	13	16	24
cdc14_prizes_beta0.1_omega0.01_mu0.00_seed9_optimalForest.sif	29	13	16	24
cdc14_prizes_beta0.1_omega0.01_mu0.00_seed10_optimalForest.sif	29	13	16	24
cdc14_prizes_beta0.1_omega0.01_mu0.00_seed1_optimalForest.sif	29	13	16	24
cdc14_prizes_beta0.1_omega0.01_mu0.00_seed5_optimalForest.sif	29	13	16	24
cdc14_prizes_beta0.1_omega0.01_mu0.00_seed2_optimalForest.sif	29	13	16	24
cdc14_prizes_beta0.5_omega0.01_mu0.00_seed9_optimalForest.sif	29	13	16	24
cdc14_prizes_beta0.5_omega0.01_mu0.00_seed6_optimalForest.sif	29	13	16	24
cdc14_prizes_beta0.5_omega0.01_mu0.00_seed2_optimalForest.sif	29	13	16	24
cdc14_prizes_beta0.5_omega0.01_mu0.00_seed4_optimalForest.sif	29	13	16	24
cdc14_prizes_beta0.5_omega0.01_mu0.00_seed5_optimalForest.sif	29	13	16	24
cdc14_prizes_beta0.5_omega0.01_mu0.00_seed3_optimalForest.sif	29	13	16	24
cdc14_prizes_beta0.5_omega0.01_mu0.00_seed8_optimalForest.sif	29	13	16	24
cdc14_prizes_beta0.5_omega0.01_mu0.00_seed10_optimalForest.sif	29	13	16	24
cdc14_prizes_beta0.5_omega0.01_mu0.00_seed7_optimalForest.sif	29	13	16	24
cdc14_prizes_beta2.5_omega0.01_mu0.00_seed2_optimalForest.sif	29	13	16	24
cdc14_prizes_beta2.5_omega0.01_mu0.00_seed3_optimalForest.sif	29	13	16	24
cdc14_prizes_beta2.5_omega0.01_mu0.00_seed4_optimalForest.sif	29	13	16	24
cdc14_prizes_beta2.0_omega0.01_mu0.00_seed1_optimalForest.sif	29	13	16	24
cdc14_prizes_beta2.0_omega0.01_mu0.00_seed7_optimalForest.sif	29	13	16	24
cdc14_prizes_beta2.0_omega0.01_mu0.00_seed5_optimalForest.sif	29	13	16	24
cdc14_prizes_beta2.0_omega0.01_mu0.00_seed3_optimalForest.sif	29	13	16	24
cdc14_prizes_beta2.0_omega0.01_mu0.00_seed6_optimalForest.sif	29	13	16	24
cdc14_prizes_beta1.0_omega0.01_mu0.00_seed5_optimalForest.sif	29	13	16	24
cdc14_prizes_beta2.0_omega0.01_mu0.00_seed2_optimalForest.sif	29	13	16	24
cdc14_prizes_beta1.5_omega0.01_mu0.00_seed2_optimalForest.sif	29	13	16	24
cdc14_prizes_beta2.5_omega0.01_mu0.00_seed1_optimalForest.sif	29	13	16	24
cdc14_prizes_beta1.5_omega0.01_mu0.00_seed4_optimalForest.sif	29	13	16	24
cdc14_prizes_beta1.5_omega0.01_mu0.00_seed1_optimalForest.sif	29	13	16	24
cdc14_prizes_beta2.0_omega0.01_mu0.00_seed8_optimalForest.sif	29	13	16	24
cdc14_prizes_beta3.5_omega0.01_mu0.00_seed1_optimalForest.sif	29	13	16	24
