sif_style	Annotation	count	etype	matchType	filenames
YBL007C (u) YGL206C		1.0	ppi		phospho_v4_bgnet_fix
YGL206C (u) YBL007C		1.0	ppi		phospho_v4_bgnet_fix
YJL074C (u) YPL204W		1.0	ppi		phospho_v4_bgnet_fix
YPL204W (u) YJL074C		1.0	ppi		phospho_v4_bgnet_fix
YEL009C (u) YHR143WA		1.0	ppi		phospho_v4_bgnet_fix
YHR143WA (u) YEL009C		1.0	ppi		phospho_v4_bgnet_fix
HOG1RD35 (d) YBL103C		1.0		Constituent	NaCl_module_edges
YDR517W (u) YNL049C		1.0	ppi		phospho_v4_bgnet_fix
YNL049C (u) YDR517W		1.0	ppi		phospho_v4_bgnet_fix
YML016C (u) YPL074W		1.0	ppi		phospho_v4_bgnet_fix
YPL074W (u) YML016C		1.0	ppi		phospho_v4_bgnet_fix
YHR082C (d) YDL149W		1.0	kinase_substrate		phospho_v4_bgnet_fix
YPL026C (d) YDR183W		1.0	kinase_substrate		phospho_v4_bgnet_fix
TLCAAG2 (u) YGR047C		1.0	ppi		phospho_v4_bgnet_fix
YGR047C (u) TLCAAG2		1.0	ppi		phospho_v4_bgnet_fix
YDR495C (u) YPL045W		1.0	ppi		phospho_v4_bgnet_fix
YPL045W (u) YDR495C		1.0	ppi		phospho_v4_bgnet_fix
YDL100C (u) YNL256W		1.0	metabolic_pathway		phospho_v4_bgnet_fix
YNL256W (u) YDL100C		1.0	metabolic_pathway		phospho_v4_bgnet_fix
YFL034CB (u) YLR131C		1.0	ppi		phospho_v4_bgnet_fix
YLR131C (u) YFL034CB		1.0	ppi		phospho_v4_bgnet_fix
YNL112W (u) YPL093W		1.0	ppi		phospho_v4_bgnet_fix
YPL093W (u) YNL112W		1.0	ppi		phospho_v4_bgnet_fix
YIL091C (u) YLR409C		1.0	ppi		phospho_v4_bgnet_fix
YLR409C (u) YIL091C		1.0	ppi		phospho_v4_bgnet_fix
YMR260C (u) YPR041W		1.0	ppi		phospho_v4_bgnet_fix
YPR041W (u) YMR260C		1.0	ppi		phospho_v4_bgnet_fix
YGL059W (d) YPL240C		1.0	kinase_substrate		phospho_v4_bgnet_fix
YBR010W (u) YER177W		1.0	ppi		phospho_v4_bgnet_fix
YER177W (u) YBR010W		1.0	ppi		phospho_v4_bgnet_fix
YIL036W (u) YPL153C		1.0	ppi		phospho_v4_bgnet_fix
YPL153C (u) YIL036W		1.0	ppi		phospho_v4_bgnet_fix
YOR270C (u) YPL234C		1.0	ppi		phospho_v4_bgnet_fix
YPL234C (u) YOR270C		1.0	ppi		phospho_v4_bgnet_fix
YJL006C (u) YKR018C		1.0	ppi		phospho_v4_bgnet_fix
YKR018C (u) YJL006C		1.0	ppi		phospho_v4_bgnet_fix
YDR227W (u) YLR442C		1.0	ppi		phospho_v4_bgnet_fix
YLR442C (u) YDR227W		1.0	ppi		phospho_v4_bgnet_fix
YGL180W (d) YGR038CA		1.0	kinase_substrate		phospho_v4_bgnet_fix
YGL120C (u) YPL217C		1.0	ppi		phospho_v4_bgnet_fix
YPL217C (u) YGL120C		1.0	ppi		phospho_v4_bgnet_fix
YDR318W (u) YKL089W		1.0	ppi		phospho_v4_bgnet_fix
YKL089W (u) YDR318W		1.0	ppi		phospho_v4_bgnet_fix
YDL116W (u) YPL169C		1.0	ppi		phospho_v4_bgnet_fix
YPL169C (u) YDL116W		1.0	ppi		phospho_v4_bgnet_fix
YJL106W (d) YLR221C		1.0	kinase_substrate		phospho_v4_bgnet_fix
YER123W (d) YMR036C		1.0	kinase_substrate		phospho_v4_bgnet_fix
YBL103C (u) YIR023W		1.0	ppi		phospho_v4_bgnet_fix
YIR023W (u) YBL103C		1.0	ppi		phospho_v4_bgnet_fix
YGL158W (d) YNL117W		1.0	kinase_substrate		phospho_v4_bgnet_fix
YCR088W (u) YNL094W		1.0	ppi		phospho_v4_bgnet_fix
YNL094W (u) YCR088W		1.0	ppi		phospho_v4_bgnet_fix
YDR303C (u) YLR357W		1.0	ppi		phospho_v4_bgnet_fix
YLR357W (u) YDR303C		1.0	ppi		phospho_v4_bgnet_fix
YLR071C (u) YOL051W		1.0	ppi		phospho_v4_bgnet_fix
YOL051W (u) YLR071C		1.0	ppi		phospho_v4_bgnet_fix
YGL137W (u) YOR119C		1.0	ppi		phospho_v4_bgnet_fix
YOR119C (u) YGL137W		1.0	ppi		phospho_v4_bgnet_fix
YDR247W (u) YML045WA		1.0	ppi		phospho_v4_bgnet_fix
YML045WA (u) YDR247W		1.0	ppi		phospho_v4_bgnet_fix
YDR101C (u) YPL131W		1.0	ppi		phospho_v4_bgnet_fix
YPL131W (u) YDR101C		1.0	ppi		phospho_v4_bgnet_fix
YGR007W (u) YHR123W		1.0	metabolic_pathway		phospho_v4_bgnet_fix
YHR123W (u) YGR007W		1.0	metabolic_pathway		phospho_v4_bgnet_fix
YBR160W (d) YOL058W		1.0	kinase_substrate		phospho_v4_bgnet_fix
YHR187W (u) YPL086C		1.0	ppi		phospho_v4_bgnet_fix
YPL086C (u) YHR187W		1.0	ppi		phospho_v4_bgnet_fix
YJR002W (u) YOR078W		1.0	ppi		phospho_v4_bgnet_fix
YOR078W (u) YJR002W		1.0	ppi		phospho_v4_bgnet_fix
YBR093C (d) YBR256C		1.0	metabolic_pathway		phospho_v4_bgnet_fix
YDR075W (u) YNL201C		1.0	ppi		phospho_v4_bgnet_fix
YNL201C (u) YDR075W		1.0	ppi		phospho_v4_bgnet_fix
YGL122C (u) YMR129W		1.0	ppi		phospho_v4_bgnet_fix
YMR129W (u) YGL122C		1.0	ppi		phospho_v4_bgnet_fix
YER111C (u) YLR182W		1.0	ppi		phospho_v4_bgnet_fix
YLR182W (u) YER111C		1.0	ppi		phospho_v4_bgnet_fix
YKL171W (d) YNL022C		1.0	kinase_substrate		phospho_v4_bgnet_fix
YCR020WB (u) YNL030W		1.0	ppi		phospho_v4_bgnet_fix
YNL030W (u) YCR020WB		1.0	ppi		phospho_v4_bgnet_fix
YGR253C (u) YPL144W		1.0	ppi		phospho_v4_bgnet_fix
YPL144W (u) YGR253C		1.0	ppi		phospho_v4_bgnet_fix
YAL005C (u) YLR310C		1.0	ppi		phospho_v4_bgnet_fix
YLR310C (u) YAL005C		1.0	ppi		phospho_v4_bgnet_fix
YBR177C (u) YLR026C		1.0	ppi		phospho_v4_bgnet_fix
YLR026C (u) YBR177C		1.0	ppi		phospho_v4_bgnet_fix
YDR075W (u) YPR040W		1.0	ppi		phospho_v4_bgnet_fix
YPR040W (u) YDR075W		1.0	ppi		phospho_v4_bgnet_fix
YHR082C (d) YKL146W		1.0	kinase_substrate		phospho_v4_bgnet_fix
YDR386W (u) YGL163C		1.0	ppi		phospho_v4_bgnet_fix
YGL163C (u) YDR386W		1.0	ppi		phospho_v4_bgnet_fix
HOG1ID25 (d) YNL267W		1.0		Constituent	NaCl_module_edges
YLR347C (u) YPR093C		1.0	ppi		phospho_v4_bgnet_fix
YPR093C (u) YLR347C		1.0	ppi		phospho_v4_bgnet_fix
TYGUAJ2 (u) YBR123C		1.0	ppi		phospho_v4_bgnet_fix
YBR123C (u) TYGUAJ2		1.0	ppi		phospho_v4_bgnet_fix
YDR224C (u) YOL012C		1.0	ppi		phospho_v4_bgnet_fix
YOL012C (u) YDR224C		1.0	ppi		phospho_v4_bgnet_fix
YGR252W (d) YOL012C		1.0	acetylation		phospho_v4_bgnet_fix
YDR301W (u) YOR250C		1.0	ppi		phospho_v4_bgnet_fix
YOR250C (u) YDR301W		1.0	ppi		phospho_v4_bgnet_fix
YJR005W (u) YJR058C		1.0	ppi		phospho_v4_bgnet_fix
YJR058C (u) YJR005W		1.0	ppi		phospho_v4_bgnet_fix
YBL056W (u) YCR009C		1.0	ppi		phospho_v4_bgnet_fix
YCR009C (u) YBL056W		1.0	ppi		phospho_v4_bgnet_fix
YDR162C (d) NPR69	Yes	1.0		Shared_Interaction	NaCl_module_edges
YDR388W (u) YIL106W		1.0	ppi		phospho_v4_bgnet_fix
YIL106W (u) YDR388W		1.0	ppi		phospho_v4_bgnet_fix
YIL106W (u) YJR089W		1.0	ppi		phospho_v4_bgnet_fix
