NODE	ntype
HOG1ID31	module
HOG1RD34	module
NPR70	module
HOG1ID32	module
HOG1RD35	module
NPR71	module
HOG1RD36	module
NPR72	module
HOG1RD37	module
NPR73	module
NPR74	module
NPR75	module
PDE2RD49	module
HOG1RD33	module
NPR76	module
YOR360C	source
YFR028C	source
HOG1RD38	module
HOG1RA39	module
HOG1RD40	module
CDC14RD17	module
CDC14RD19	module
CDC14RD13	module
CDC14RD15	module
PDE2RA59	module
PDE2RA55	module
PDE2RA57	module
PDE2RA58	module
CDC14RA22	module
PDE2RA52	module
PDE2RA51	module
NPI65	module
PDE2RA54	module
NPI64	module
PDE2RA53	module
HOG1IA30	module
NPI63	module
CDC14IA1	module
NPI62	module
NPI61	module
PDE2RA50	module
NPI60	module
CDC14IA4	module
NPR69	module
NPR68	module
CDC14IA6	module
NPR67	module
CDC14IA8	module
NPR66	module
CDC14IA10	module
CDC14RA16	module
HOG1IA26	module
CDC14RA18	module
CDC14RA12	module
PDE2ID42	module
PDE2ID43	module
CDC14RA14	module
PDE2ID41	module
PDE2ID46	module
PDE2ID47	module
PDE2ID44	module
PDE2IA45	module
CDC14RD20	module
CDC14RD21	module
CDC14ID9	module
CDC14RD23	module
CDC14ID7	module
CDC14RD24	module
CDC14ID5	module
CDC14ID3	module
CDC14ID2	module
HOG1ID25	module
CDC14ID11	module
PDE2RD56	module
PDE2RA48	module
HOG1ID27	module
YLR113W	source
HOG1ID29	module
HOG1ID28	module
