edge	sources	pmids
YCR066W (d) YBR088C	parkerjl2009|parkerjl2012:haracskal2006|zhuangz2008	19851286|23034805:18385374|16611731
YJL030W (u) YOR370C	jiangy1994	8183917
YOR370C (u) YJL030W	jiangy1994	8183917
YJL030W (u) YPR176C	jiangy1994	8183917
YPR176C (u) YJL030W	jiangy1994	8183917
YOR370C (u) YPR176C	jiangy1994	8183917
YPR176C (u) YOR370C	jiangy1994	8183917
YBL016W (d) YLR452C	parnellsc2005	1592443
YBL016W (u) YDL159W	zhouz1993|erredeb1993|maleris2004|neimanam1994|goodm2009	8455599|19303851|8159759|15456892|8384702
YDL159W (u) YBL016W	zhouz1993|erredeb1993|maleris2004|neimanam1994|goodm2009	8455599|19303851|8159759|15456892|8384702
YBL105C (u) YOL100W	inagakim1999	10567559
YOL100W (u) YBL105C	inagakim1999	10567559
YBR160W (u) YJL187C	mcmillanjn2002|ubersaxja2003|asanos2005|huf2008|harveysl2005|ptacekj2005|huf2008	18558651|18558651|15920482|12388757|14574415|16319894|16096060
YJL187C (u) YBR160W	mcmillanjn2002|ubersaxja2003|asanos2005|huf2008|harveysl2005|ptacekj2005|huf2008	18558651|18558651|15920482|12388757|14574415|16319894|16096060
YDL235C (u) YIL147C	janiakspensf1999|aultad2002|kasererao2009|tanh2007	19618914|17559414|12455952|9882653
YIL147C (u) YDL235C	janiakspensf1999|aultad2002|kasererao2009|tanh2007	19618914|17559414|12455952|9882653
YDL235C (d) YHR206W	lis1998	9843501
YDR490C (u) YJL164C	voordeckersk2011|haesendonckxs2012	21531713|22957732
YJL164C (u) YDR490C	voordeckersk2011|haesendonckxs2012	21531713|22957732
YDR490C (d) YPL203W	haesendonckxs2012	22957732
YDR490C (d) YKL166C	haesendonckxs2012	22957732
YHR205W (d) YGR262C	peggionc2008	19021767
YIL147C (u) YHR206W	aultad2002|janiakspensf2000|lis1998	11073911|12455952|9843501 
YHR206W (u) YIL147C	aultad2002|janiakspensf2000|lis1998	11073911|12455952|9843501 
YJL106W (d) YLR079W	sedgwickc2006|sawarynskike2007	16776651|17137646
YJL164C (d) YDR001C	schepersw2012|galellof2010|ptacekj2005|veisovad2012	23155055|16319894|20639203|22320399
YKL126W (u) YNR047W	roelantsfm2010	19966303
YNR047W (u) YKL126W	roelantsfm2010	19966303
YCL061C (u) YPL153C	chensh2009	19457865
YPL153C (u) YCL061C	chensh2009	19457865
YPL153C (d) YGL113W	zegermanp2010|lopezmosquedaj2010	20865002|20835227
YIL095W (d) YNL271C	wangj2009	19220811
YDR477W (u) YPL133C	ptacekj2005|soontorngunn2007	16319894|17875938
YPL133C (u) YDR477W	ptacekj2005|soontorngunn2007	16319894|17875938
YPL256C (d) YLR079W	vermar1997	None
YJL187C (d) YDR054C	ptacekj2005	16319894
YDR054C (d) YJL187C	kaiserp1998	9716410
YKL166C (u) YPL203W	ptacekj2005|ptacekj2005|panx2002	16319894|16319894|12024012
YPL203W (u) YKL166C	ptacekj2005|ptacekj2005|panx2002	16319894|16319894|12024012
YBR081C (d) YBR010W	bianc2011	21685874
YBR081C (d) YNL031C	bianc2011	21685874
YBR111WA (d) YBR010W	bianc2011	21685874
YBR198C (d) YNL031C	bianc2011	21685874
YCL010C (d) YBR010W	bianc2011	21685874
YCL010C (d) YNL031C	bianc2011	21685874
YDL182W (d) YBR009C	scottem2010	20810648
YDL182W (d) YNL030W	scottem2010	20810648
YDR176W (d) YBR010W	bianc2011	21685874
YDR176W (d) YNL031C	bianc2011	21685874
YDR448W (d) YBR010W	bianc2011	21685874
YFL024C (d) YBR009C	utleyrt2005	16135807
YFL024C (d) YNL030W	utleyrt2005	16135807
YFR027W (d) YDL003W	lus2010|ghoshs2012|ivanovd2002	22593213|11864574|20703090
YFR027W (d) YIL026C	ivanovd2002	11864574
YFR027W (d) YJL019W	ghoshs2012	22593213
YFR027W (d) YJL074C	rowlandbd2009|unale2008	18653894|19328069
YFR027W (d) YMR076C	ivanovd2002	11864574
YGL066W (d) YBR010W	bianc2011	21685874
YGL066W (d) YNL031C	bianc2011	21685874
YGL112C (d) YBR010W	bianc2011	21685874
YGR252W (d) YBL002W	syntichakip1998	9733731
YGR252W (d) YBL003C	syntichakip1998	9733731
YGR252W (d) YBR009C	lis2009|chatterjeen2011|syntichakip1998|kuomh1996	8805705|19218239|9733731|21749977
YGR252W (d) YBR010W	chimentif2009|aliteratureinsmw2007|lis2009|bianc2011|chatterjeen2011|kuomh1996|syntichakip1998|clarkeas1999	9733731|19218239|17107956|21685874|8805705|10082517|21749977|19099397
YGR252W (d) YDR207C	mallorymj2012	22438583
YGR252W (d) YDR224C	syntichakip1998	9733731
YGR252W (d) YDR225W	syntichakip1998	9733731
YGR252W (d) YNL030W	lis2009|syntichakip1998|chatterjeen2011	9733731|19218239|21749977
YGR252W (d) YNL031C	chimentif2009|aliteratureinsmw2007|lis2009|bianc2011|chatterjeen2011|syntichakip1998|clarkeas1999	9733731|19218239|17107956|21685874|10082517|21749977|19099397
YGR252W (d) YOL012C	keoghmc2006	16543219
YGR252W (d) YOR290C	kimjh2010	21159817
YHR099W (d) YBR010W	bianc2011	21685874
YHR099W (d) YNL031C	bianc2011	21685874
YLL002W (d) YBR010W	fillinghamj2008|driscollr2007|hanj2007|parkyj2008|tangy2011	21256037|18458063|17272722|17272723|19172749
YLL002W (d) YNL031C	fillinghamj2008|driscollr2007|hanj2007|parkyj2008|tangy2011	21256037|18458063|17272722|17272723|19172749
YMR069W (d) YBR009C	songok2003	12915400
YMR236W (d) YBR010W	bianc2011	21685874
YMR236W (d) YNL031C	bianc2011	21685874
YOR244W (d) YBL003C	clarkeas1999	10082517
YOR244W (d) YBL047C	linyy2009	19303850
YOR244W (d) YBR009C	utleyrt2005|scottem2010|yic2012|clarkeas1999	10082517|22539722|16135807|20810648
YOR244W (d) YBR010W	scottem2010|clarkeas1999	10082517|20810648
YOR244W (d) YBR035C	linyy2009	19303850
YOR244W (d) YBR148W	linyy2009	19303850
YOR244W (d) YCL040W	linyy2009	19303850
YOR244W (d) YCL054W	linyy2009	19303850
YOR244W (d) YDL031W	linyy2009	19303850
YOR244W (d) YDL070W	linyy2009	19303850
YOR244W (d) YDL225W	mitchelll2011	21984913
YOR244W (d) YDR054C	linyy2009	19303850
YOR244W (d) YDR224C	scottem2010	20810648
YOR244W (d) YDR225W	scottem2010|clarkeas1999	10082517|20810648
YOR244W (d) YDR273W	linyy2009	19303850
YOR244W (d) YDR328C	linyy2009	19303850
YOR244W (d) YDR346C	linyy2009	19303850
YOR244W (d) YDR530C	linyy2009	19303850
YOR244W (d) YER023W	linyy2009	19303850
YOR244W (d) YER030W	linyy2009	19303850
YOR244W (d) YER134C	linyy2009	19303850
YOR244W (d) YER174C	linyy2009	19303850
YOR244W (d) YGL099W	linyy2009	19303850
YOR244W (d) YGL110C	linyy2009	19303850
YOR244W (d) YGL207W	linyy2009	19303850
YOR244W (d) YGL208W	linyy2009	19303850
YOR244W (d) YGL213C	linyy2009	19303850
YOR244W (d) YGR001C	linyy2009	19303850
YOR244W (d) YGR017W	linyy2009	19303850
YOR244W (d) YGR106C	linyy2009	19303850
YOR244W (d) YGR180C	linyy2009	19303850
YOR244W (d) YHL013C	linyy2009	19303850
YOR244W (d) YHL014C	linyy2009	19303850
YOR244W (d) YHL033C	linyy2009	19303850
YOR244W (d) YHR107C	mitchelll2011	21984913
YOR244W (d) YIL078W	linyy2009	19303850
YOR244W (d) YIL142W	linyy2009	19303850
YOR244W (d) YIL154C	linyy2009	19303850
YOR244W (d) YJL115W	linyy2009	19303850
YOR244W (d) YKL160W	linyy2009	19303850
YOR244W (d) YKL181W	linyy2009	19303850
YOR244W (d) YKL191W	linyy2009	19303850
YOR244W (d) YKL206C	linyy2009	19303850
YOR244W (d) YKR048C	linyy2009	19303850
YOR244W (d) YKR084C	linyy2009	19303850
YOR244W (d) YKR097W	linyy2009	19303850
YOR244W (d) YLL022C	linyy2009	19303850
YOR244W (d) YLL026W	linyy2009	19303850
YOR244W (d) YLL036C	linyy2009	19303850
YOR244W (d) YLR192C	linyy2009	19303850
YOR244W (d) YLR195C	linyy2009	19303850
YOR244W (d) YLR257W	linyy2009	19303850
YOR244W (d) YLR258W	linyy2009	19303850
YOR244W (d) YLR265C	linyy2009	19303850
YOR244W (d) YLR285W	linyy2009	19303850
YOR244W (d) YLR314C	mitchelll2011	21984913
YOR244W (d) YLR330W	linyy2009	19303850
YOR244W (d) YLR345W	linyy2009	19303850
YOR244W (d) YLR397C	linyy2009	19303850
YOR244W (d) YML062C	linyy2009	19303850
YOR244W (d) YML074C	linyy2009	19303850
YOR244W (d) YML093W	linyy2009	19303850
YOR244W (d) YMR028W	linyy2009	19303850
YOR244W (d) YMR140W	linyy2009	19303850
YOR244W (d) YMR196W	linyy2009	19303850
YOR244W (d) YMR304W	linyy2009	19303850
YOR244W (d) YNL030W	utleyrt2005|scottem2010|yic2012|clarkeas1999	10082517|22539722|16135807|20810648
YOR244W (d) YNL031C	scottem2010|clarkeas1999	10082517|20810648
YOR244W (d) YNL094W	linyy2009	19303850
YOR244W (d) YNL166C	linyy2009	19303850
YOR244W (d) YNL215W	linyy2009	19303850
YOR244W (d) YNL225C	linyy2009	19303850
YOR244W (d) YNL246W	linyy2009	19303850
YOR244W (d) YNL308C	linyy2009	19303850
YOR244W (d) YNR007C	linyy2009|yic2012	22539722|19303850
YOR244W (d) YNR033W	linyy2009	19303850
YOR244W (d) YNR034W	linyy2009	19303850
YOR244W (d) YNR038W	linyy2009	19303850
YOR244W (d) YOL012C	keoghmc2006	16543219
YOR244W (d) YOL077C	linyy2009	19303850
YOR244W (d) YOR083W	linyy2009	19303850
YOR244W (d) YOR117W	linyy2009	19303850
YOR244W (d) YOR239W	linyy2009	19303850
YOR244W (d) YOR281C	linyy2009	19303850
YOR244W (d) YOR335C	linyy2009	19303850
YOR244W (d) YOR354C	linyy2009	19303850
YOR244W (d) YPL004C	linyy2009	19303850
YOR244W (d) YPL106C	linyy2009	19303850
YOR244W (d) YPL110C	linyy2009	19303850
YOR244W (d) YPL139C	linyy2009	19303850
