matchType=CatSet(Constituent|motif_match|motif_unmatched|Output|Shared_Interaction|unknown_recognition_motif)	Interactor_A	Interactor_B	Dir	Sign	Annotation=CatSet(Kinase|Phosphatase|Yes)
Constituent	cdc14ia1	YMR031C	1	0		
Constituent	cdc14ia1	YHR131C	1	0		
Constituent	cdc14id2	YBL061C	1	0		
Constituent	cdc14id2	YHR158C	1	0		
Constituent	cdc14id2	YNL180C	1	0		
Constituent	cdc14id2	YNL267W	1	0		
Constituent	hog1id25	YBR080C	1	0		
Constituent	hog1id25	YDR407C	1	0		
Constituent	hog1id25	YER105C	1	0		
Constituent	hog1id25	YGL099W	1	0		
Constituent	hog1id25	YJR076C	1	0		
Constituent	hog1id25	YLR206W	1	0		
Constituent	hog1id25	YLR260W	1	0		
Constituent	hog1id25	YHR131C	1	0		
Constituent	hog1id25	YHR158C	1	0		
Constituent	hog1id25	YNL180C	1	0		
Constituent	hog1id25	YNL267W	1	0		
Constituent	npi60	YBL047C	1	0		
Constituent	npi60	YDL146W	1	0		
Constituent	npi60	YDL225W	1	0		
Constituent	npi60	YDR093W	1	0		
Constituent	npi60	YDR490C	1	0	Kinase	
Constituent	npi60	YER087CB	1	0		
Constituent	npi60	YER166W	1	0		
Constituent	npi60	YFL009W	1	0		
Constituent	npi60	YGL181W	1	0		
Constituent	npi60	YGR038W	1	0		
Constituent	npi60	YGR097W	1	0		
Constituent	npi60	YIR006C	1	0	Yes	
Constituent	npi60	YLL040C	1	0		
Constituent	npi60	YLR410W	1	0		
Constituent	npi60	YNL118C	1	0		
Constituent	npi60	YNL166C	1	0		
Constituent	npi60	YOL093W	1	0		
Constituent	npi60	YPL032C	1	0		
Constituent	pde2id41	YER087CB	1	0		
Constituent	pde2id41	YGL181W	1	0		
Constituent	pde2id41	YIL036W	1	0		
Constituent	pde2id41	YMR031C	1	0		
Constituent	cdc14id3	YBR059C	1	0	Kinase	
Constituent	cdc14id3	YBR140C	1	0		
Constituent	cdc14id3	YML059C	1	0		
Constituent	cdc14id3	YLR006C	1	0		
Constituent	hog1ia26	YDL195W	1	0		
Constituent	hog1ia26	YDR033W	1	0		
Constituent	hog1ia26	YJL095W	1	0	Kinase	
Constituent	hog1ia26	YNL278W	1	0		
Constituent	hog1id27	YBL004W	1	0		
Constituent	hog1id27	YBR059C	1	0	Kinase	
Constituent	hog1id27	YDL117W	1	0		
Constituent	hog1id27	YDL224C	1	0		
Constituent	hog1id27	YDR003W	1	0		
Constituent	hog1id27	YDR227W	1	0		
Constituent	hog1id27	YER083C	1	0		
Constituent	hog1id27	YGL208W	1	0		
Constituent	hog1id27	YGR094W	1	0		
Constituent	hog1id27	YGR097W	1	0		
Constituent	hog1id27	YGR253C	1	0		
Constituent	hog1id27	YHR007C	1	0		
Constituent	hog1id27	YIL115C	1	0		
Constituent	hog1id27	YLR248W	1	0	Kinase	
Constituent	hog1id27	YLR357W	1	0		
Constituent	hog1id27	YML059C	1	0		
Constituent	hog1id27	YML081W	1	0		
Constituent	hog1id27	YMR205C	1	0		
Constituent	hog1id27	YNL321W	1	0		
Constituent	hog1id27	YOR151C	1	0		
Constituent	hog1id27	YLR006C	1	0		
Constituent	hog1id27	YLR257W	1	0		
Constituent	npi61	YAR002W	1	0		
Constituent	npi61	YBR059C	1	0	Kinase	
Constituent	npi61	YBR112C	1	0		
Constituent	npi61	YBR198C	1	0		
Constituent	npi61	YCL032W	1	0		
Constituent	npi61	YCR034W	1	0		
