etype=CatSet(acetylation|deacetylation|demethylation|deubiquitination|given_gasch|given_gaschphos|glycosylation|kinase_substrate|metabolic_pathway|methylation|modification|neddrub1ylation|phosphatase_substrate|phosphorylation_and_dephosphorylation|ppi|prenylation|proteolyticprocessing|sumoylation|ubiquitination)	GENEA	GENEB	dir	sign	source	pmid
ubiquitination	YCR066W	YBR088C	1	0	parkerjl2009|parkerjl2012:haracskal2006|zhuangz2008	19851286|23034805:18385374|16611731
prenylation_both	YJL030W	YOR370C	0	0	jiangy1994	8183917
prenylation_both	YJL030W	YPR176C	0	0	jiangy1994	8183917
prenylation_both	YOR370C	YPR176C	0	0	jiangy1994	8183917
kinase_substrate	YBL016W	YLR452C	1	0	parnellsc2005	1592443
kinase_substrate_both	YBL016W	YDL159W	0	0	zhouz1993|erredeb1993|maleris2004|neimanam1994|goodm2009	8455599|19303851|8159759|15456892|8384702
kinase_substrate_both	YBL105C	YOL100W	0	0	inagakim1999	10567559
kinase_substrate_both	YBR160W	YJL187C	0	0	mcmillanjn2002|ubersaxja2003|asanos2005|huf2008|harveysl2005|ptacekj2005|huf2008	18558651|18558651|15920482|12388757|14574415|16319894|16096060
kinase_substrate_both	YDL235C	YIL147C	0	0	janiakspensf1999|aultad2002|kasererao2009|tanh2007	19618914|17559414|12455952|9882653
kinase_substrate	YDL235C	YHR206W	1	0	lis1998	9843501
kinase_substrate_both	YDR490C	YJL164C	0	0	voordeckersk2011|haesendonckxs2012	21531713|22957732
kinase_substrate	YDR490C	YPL203W	1	0	haesendonckxs2012	22957732
kinase_substrate	YDR490C	YKL166C	1	0	haesendonckxs2012	22957732
kinase_substrate	YHR205W	YGR262C	1	0	peggionc2008	19021767
kinase_substrate_both	YIL147C	YHR206W	0	0	aultad2002|janiakspensf2000|lis1998	11073911|12455952|9843501 
kinase_substrate	YJL106W	YLR079W	1	0	sedgwickc2006|sawarynskike2007	16776651|17137646
kinase_substrate	YJL164C	YDR001C	1	0	schepersw2012|galellof2010|ptacekj2005|veisovad2012	23155055|16319894|20639203|22320399
kinase_substrate_both	YKL126W	YNR047W	0	0	roelantsfm2010	19966303
ppi_corrected	YCL061C	YPL153C	0	0	chensh2009	19457865
kinase_substrate	YPL153C	YGL113W	1	0	zegermanp2010|lopezmosquedaj2010	20865002|20835227
kinase_substrate	YIL095W	YNL271C	1	0	wangj2009	19220811
kinase_substrate	YDR477W	YPL133C	0	0	ptacekj2005|soontorngunn2007	16319894|17875938
ubiquitination	YPL256C	YLR079W	1	0	vermar1997
kinase_substrate	YJL187C	YDR054C	1	0	ptacekj2005	16319894
ubiquitination	YDR054C	YJL187C	1	0	kaiserp1998	9716410
kinase_substrate_both	YKL166C	YPL203W	0	0	ptacekj2005|ptacekj2005|panx2002	16319894|16319894|12024012
acetylation	YBR081C	YBR010W	1	0	bianc2011	21685874
acetylation	YBR081C	YNL031C	1	0	bianc2011	21685874
acetylation	YBR111WA	YBR010W	1	0	bianc2011	21685874
acetylation	YBR198C	YNL031C	1	0	bianc2011	21685874
acetylation	YCL010C	YBR010W	1	0	bianc2011	21685874
acetylation	YCL010C	YNL031C	1	0	bianc2011	21685874
acetylation	YDL182W	YBR009C	1	0	scottem2010	20810648
acetylation	YDL182W	YNL030W	1	0	scottem2010	20810648
acetylation	YDR176W	YBR010W	1	0	bianc2011	21685874
acetylation	YDR176W	YNL031C	1	0	bianc2011	21685874
acetylation	YDR448W	YBR010W	1	0	bianc2011	21685874
acetylation	YFL024C	YBR009C	1	0	utleyrt2005	16135807
acetylation	YFL024C	YNL030W	1	0	utleyrt2005	16135807
acetylation	YFR027W	YDL003W	1	0	lus2010|ghoshs2012|ivanovd2002	22593213|11864574|20703090
acetylation	YFR027W	YIL026C	1	0	ivanovd2002	11864574
acetylation	YFR027W	YJL019W	1	0	ghoshs2012	22593213
acetylation	YFR027W	YJL074C	1	0	rowlandbd2009|unale2008	18653894|19328069
acetylation	YFR027W	YMR076C	1	0	ivanovd2002	11864574
acetylation	YGL066W	YBR010W	1	0	bianc2011	21685874
