#item	conf(x) (out of 1000 total sols)
edge21761	0.790000
edge15696	0.871000
edge9507	0.947000
edge14511	0.049000
edge5613	0.910000
edge15457	0.889000
edge20991	0.901000
edge11317	0.921000
edge14118	0.005000
edge21155	0.917000
edge11310	0.150000
edge10211	0.858000
edge16089	0.050000
edge18961	0.005000
edge11259	0.904000
edge9265	0.933000
edge27500	0.945000
edge3845	0.899000
edge19231	0.888000
edge16913	0.923000
edge22691	0.947000
edge7672	0.942000
edge2865	0.820000
edge8954	0.913000
edge2583	0.952000
edge18844	0.846000
edge21195	0.903000
edge21210	0.781000
edge21217	0.913000
edge20541	1.000000
edge4622	0.951000
edge7088	0.005000
edge19900	0.952000
edge3694	0.900000
edge26338	0.914000
edge27446	0.953000
edge6842	0.915000
edge3983	0.906000
edge16554	0.905000
edge22313	0.913000
edge22316	0.913000
edge19032	0.911000
edge14283	0.898000
edge20955	0.949000
edge18630	0.946000
edge21810	0.817000
edge14284	0.942000
edge18523	0.912000
edge4900	0.960000
edge17140	0.921000
edge9460	0.910000
edge9466	0.909000
edge3168	0.902000
edge22730	0.837000
edge13252	0.944000
edge14489	0.951000
edge13012	0.946000
edge1944	0.945000
edge1128	0.961000
edge7158	0.904000
edge10681	0.918000
edge8923	0.900000
edge26149	0.897000
edge17415	0.953000
edge7016	0.960000
edge3028	0.945000
edge21101	0.870000
edge1294	0.952000
edge10042	0.905000
edge10044	0.900000
edge27224	0.953000
edge23575	0.048000
edge26387	0.966000
edge6837	0.911000
edge25465	0.910000
edge24560	0.823000
edge6016	0.898000
edge18393	0.953000
edge1752	0.950000
edge6395	0.370000
edge27167	0.001000
edge5475	0.897000
edge22782	0.909000
edge5572	0.901000
edge17244	0.910000
edge26959	0.814000
edge10952	0.949000
edge16178	0.089000
edge11172	0.951000
edge26121	0.950000
edge21077	0.005000
edge10611	0.907000
edge7659	0.911000
edge11070	0.947000
edge4872	0.049000
edge26002	0.903000
edge13313	0.884000
edge5879	0.947000
edge23852	0.950000
edge17922	0.946000
edge13070	0.957000
edge20741	0.620000
edge20732	0.916000
edge3502	0.001000
edge13076	0.899000
edge19762	0.916000
edge23664	0.955000
edge13487	0.914000
edge13489	0.909000
edge9266	0.906000
edge9307	0.951000
edge24082	0.154000
edge10502	0.910000
edge8787	0.902000
edge7799	0.919000
edge2045	0.951000
edge14865	0.923000
edge9433	0.955000
edge14730	0.950000
edge19864	0.949000
edge3656	0.910000
edge9437	0.789000
edge3792	0.961000
edge3793	0.894000
edge3659	0.907000
edge9533	0.902000
edge14817	0.077000
edge5282	0.909000
edge7375	0.959000
edge14169	0.950000
edge19208	0.956000
edge25948	0.906000
edge5626	0.913000
edge22279	0.909000
edge22217	0.911000
edge5259	1.000000
edge21668	0.954000
edge2157	0.621000
edge5395	0.957000
edge24702	0.906000
edge18647	0.920000
edge17065	0.945000
edge12688	0.899000
edge17060	0.893000
edge17061	0.856000
edge6271	0.906000
edge16869	0.963000
edge2937	0.907000
edge12683	0.907000
edge12682	0.811000
edge3476	0.942000
edge7059	0.955000
edge8969	0.911000
edge102	0.950000
edge11086	0.907000
edge3577	0.909000
edge26639	0.914000
edge7056	0.917000
edge18897	0.902000
edge2554	0.915000
edge18892	0.959000
