#item	conf(sigma) (out of 1000 total sols)
p488	0.903000
p489	0.929000
p480	0.911000
p481	0.896000
p482	0.907000
p483	0.896000
p484	0.089000
p485	0.808000
p486	0.893000
p487	0.916000
p475	0.904000
p474	0.897000
p477	0.897000
p476	0.911000
p471	0.916000
p470	0.911000
p378	0.911000
p379	0.897000
p376	0.804000
p377	0.896000
p374	0.909000
p807	0.897000
p372	0.899000
p478	0.896000
p370	0.897000
p371	0.901000
p708	0.905000
p578	0.152000
p579	0.909000
p574	0.102000
p575	0.914000
p576	0.907000
p577	0.914000
p570	0.650000
p571	0.956000
p572	0.916000
p573	0.907000
p394	0.905000
p395	0.914000
p396	0.905000
p397	0.901000
p259	0.902000
p391	0.912000
p392	0.909000
p393	0.895000
p255	0.857000
p257	0.005000
p256	0.912000
p251	0.946000
p399	0.909000
p253	0.900000
p252	0.946000
p703	0.898000
p718	0.003000
p651	0.902000
p653	0.870000
p652	0.899000
p655	0.907000
p323	0.905000
p657	0.920000
p656	0.904000
p659	0.905000
p658	0.904000
p289	0.899000
p706	0.005000
p663	0.913000
p896	0.914000
p895	0.904000
p894	0.907000
p893	0.888000
p892	0.959000
p891	0.915000
p890	0.890000
p710	0.899000
p711	0.890000
p712	0.925000
p704	0.906000
p714	0.899000
p715	0.831000
p716	0.866000
p717	0.831000
p548	0.905000
p36	0.914000
p282	0.907000
p283	0.919000
p156	0.815000
p157	0.899000
p154	0.904000
p155	0.915000
p620	0.916000
p153	0.903000
p622	0.908000
p151	0.894000
p628	0.905000
p629	0.899000
p158	0.899000
p159	0.902000
p808	0.905000
p809	0.894000
p928	0.889000
p473	0.904000
p218	0.905000
p472	0.913000
p804	0.905000
p39	0.903000
p805	0.903000
p806	0.895000
p830	0.915000
p375	0.893000
p800	0.902000
p801	0.572000
p840	0.903000
p841	0.904000
p842	0.906000
p843	0.890000
p844	0.890000
p802	0.902000
p49	0.892000
p48	0.950000
p47	0.903000
p46	0.911000
p45	0.784000
p44	0.905000
p43	0.005000
p42	0.918000
p41	0.902000
p40	0.910000
p439	0.811000
p438	0.891000
p532	0.904000
p533	0.910000
p534	0.915000
p535	0.915000
p536	0.899000
p537	0.900000
p538	0.895000
p430	0.898000
p925	0.905000
p924	0.814000
p435	0.896000
p434	0.910000
p437	0.898000
p838	0.908000
p676	0.898000
p101	0.906000
p100	0.806000
p695	0.904000
p694	0.899000
p412	0.781000
p696	0.918000
p691	0.899000
p690	0.898000
p693	0.911000
p692	0.904000
p699	0.899000
p698	0.899000
p325	0.913000
p324	0.909000
p327	0.915000
p326	0.907000
p321	0.908000
p320	0.906000
p288	0.893000
p322	0.905000
p286	0.911000
p287	0.897000
p284	0.896000
p542	0.919000
p329	0.908000
p328	0.899000
p280	0.902000
p281	0.904000
p448	0.050000
p449	0.694000
p444	0.901000
p445	0.620000
p446	0.908000
p447	0.908000
p440	0.902000
p441	0.914000
p442	0.909000
p443	0.923000
p264	0.002000
p265	0.002000
p266	0.901000
p267	0.811000
p109	0.907000
p108	0.821000
p262	0.906000
p263	0.001000
p105	0.898000
p104	0.826000
p107	0.902000
p106	0.905000
p268	0.914000
p269	0.910000
p103	0.911000
p102	0.917000
p390	0.894000
p141	0.892000
p177	0.902000
p636	0.784000
p909	0.909000
p635	0.914000
p908	0.898000
p211	0.907000
p210	0.893000
p213	0.907000
p212	0.884000
p215	0.916000
p214	0.913000
p217	0.902000
p740	0.909000
p192	0.903000
p193	0.903000
p662	0.893000
p191	0.895000
p196	0.903000
p197	0.910000
p194	0.895000
p195	0.899000
p398	0.947000
p630	0.907000
p250	0.811000
p25	0.102000
p202	0.899000
p89	0.895000
p88	0.911000
p83	0.907000
p82	0.899000
p81	0.914000
p80	0.907000
p87	0.915000
p86	0.911000
p85	0.944000
p84	0.906000
p634	0.906000
p668	0.911000
p902	0.904000
p669	0.919000
p782	0.906000
p198	0.899000
p199	0.870000
p743	0.003000
p216	0.914000
p742	0.921000
p499	0.906000
p498	0.906000
p741	0.827000
p493	0.688000
p492	0.914000
p491	0.907000
p490	0.817000
p497	0.895000
p495	0.908000
p10	0.910000
p11	0.903000
p792	0.916000
p13	0.905000
p14	0.905000
p15	0.906000
p16	0.912000
p17	0.895000
p798	0.912000
p19	0.911000
p190	0.899000
p654	0.956000
p400	0.847000
p368	0.904000
p402	0.847000
p403	0.905000
p404	0.914000
p405	0.905000
p819	0.893000
p407	0.908000
p408	0.913000
p360	0.370000
p815	0.905000
p362	0.917000
p813	0.921000
p364	0.035000
p811	0.912000
p366	0.921000
p749	0.842000
p569	0.830000
p568	0.909000
p567	0.913000
p566	0.913000
p565	0.077000
p667	0.902000
p563	0.914000
p562	0.150000
p561	0.904000
p560	0.909000
p228	0.923000
p229	0.894000
p385	0.829000
p384	0.898000
p383	0.896000
p700	0.809000
p381	0.846000
p380	0.814000
p220	0.917000
p221	0.905000
p222	0.901000
p223	0.014000
p224	0.896000
p225	0.907000
p389	0.900000
p388	0.904000
p897	0.891000
p707	0.909000
p719	0.003000
p290	0.894000
p709	0.847000
p580	0.889000
p318	0.907000
p319	0.918000
p314	0.784000
p702	0.890000
p701	0.897000
