NODE	ntype
HOG1RD53	module
NPR11	module
HOG1RD52	module
NPR12	module
HOG1RD55	module
NPR13	module
HOG1RD54	module
NPR14	module
HOG1RD57	module
NPR15	module
HOG1RD56	module
NPR16	module
PDE2RA65	module
NPR17	module
CDC14RA40	module
CDC14IA27	module
YLR113W	source
PDE2RA68	module
PDE2RA69	module
PDE2RA66	module
PDE2IA59	module
PDE2RA67	module
NPR10	module
CDC14RD37	module
CDC14RD36	module
CDC14RD35	module
PDE2RD72	module
CDC14RD39	module
CDC14ID21	module
HOG1ID49	module
CDC14RD32	module
HOG1ID48	module
CDC14RD31	module
CDC14RD30	module
PDE2ID60	module
HOG1ID44	module
PDE2ID61	module
HOG1ID47	module
HOG1ID46	module
HOG1ID42	module
PDE2RD75	module
PDE2ID64	module
CDC14ID19	module
PDE2ID62	module
HOG1RD50	module
PDE2ID63	module
CDC14RA29	module
NPR7	module
YOR360C	source
NPR8	module
NPR9	module
CDC14RD41	module
CDC14ID28	module
CDC14ID26	module
CDC14ID25	module
CDC14ID22	module
PDE2ID58	module
PDE2RA71	module
CDC14RA38	module
PDE2RA70	module
YFR028C	source
PDE2RA76	module
PDE2RA73	module
PDE2RA74	module
CDC14IA23	module
NPI3	module
CDC14IA24	module
NPI4	module
NPI5	module
NPI6	module
CDC14IA20	module
CDC14RA33	module
NPI1	module
CDC14RA34	module
NPI2	module
CDC14IA18	module
HOG1IA43	module
HOG1IA45	module
HOG1RA51	module
