sif_style	Annotation	count	etype	matchType	matchType	filenames
YJL090C (u) YKL021C		1.0	ppi			rewired-BG-network-289_2_bgnet
YKL021C (u) YJL090C		1.0	ppi			rewired-BG-network-289_2_bgnet
YPL153C (d) YIL047C		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YDL188C (u) YLR234W		1.0	ppi			rewired-BG-network-289_2_bgnet
YLR234W (u) YDL188C		1.0	ppi			rewired-BG-network-289_2_bgnet
YER105C (u) YMR165C		1.0	ppi			rewired-BG-network-289_2_bgnet
YMR165C (u) YER105C		1.0	ppi			rewired-BG-network-289_2_bgnet
YDL108W (u) YPR178W		1.0	ppi			rewired-BG-network-289_2_bgnet
YPR178W (u) YDL108W		1.0	ppi			rewired-BG-network-289_2_bgnet
NPR12 (d) YDL195W		1.0			Constituent	NaCl_module_edges_Randomized_2
YCR028CA (u) YKL139W		1.0	ppi			rewired-BG-network-289_2_bgnet
YKL139W (u) YCR028CA		1.0	ppi			rewired-BG-network-289_2_bgnet
YGL122C (u) YHR090C		1.0	ppi			rewired-BG-network-289_2_bgnet
YHR090C (u) YGL122C		1.0	ppi			rewired-BG-network-289_2_bgnet
YLR096W (u) YNL206C		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL206C (u) YLR096W		1.0	ppi			rewired-BG-network-289_2_bgnet
YBR083W (u) YNL118C		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL118C (u) YBR083W		1.0	ppi			rewired-BG-network-289_2_bgnet
YGL179C (d) YJR058C		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YGL189C (u) YHR117W		1.0	ppi			rewired-BG-network-289_2_bgnet
YHR117W (u) YGL189C		1.0	ppi			rewired-BG-network-289_2_bgnet
YKR066C (u) YNL027W		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL027W (u) YKR066C		1.0	ppi			rewired-BG-network-289_2_bgnet
YMR231W (u) YMR290C		1.0	ppi			rewired-BG-network-289_2_bgnet
YMR290C (u) YMR231W		1.0	ppi			rewired-BG-network-289_2_bgnet
YBR112C (u) YPL042C		1.0	ppi			rewired-BG-network-289_2_bgnet
YPL042C (u) YBR112C		1.0	ppi			rewired-BG-network-289_2_bgnet
YMR216C (d) YKR039W		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YDR460W (u) YPL129W		1.0	ppi			rewired-BG-network-289_2_bgnet
YPL129W (u) YDR460W		1.0	ppi			rewired-BG-network-289_2_bgnet
YJR141W (u) YML109W		1.0	ppi			rewired-BG-network-289_2_bgnet
YML109W (u) YJR141W		1.0	ppi			rewired-BG-network-289_2_bgnet
YBR154C (u) YPR032W		1.0	ppi			rewired-BG-network-289_2_bgnet
YPR032W (u) YBR154C		1.0	ppi			rewired-BG-network-289_2_bgnet
YDL149W (u) YLR293C		1.0	ppi			rewired-BG-network-289_2_bgnet
YLR293C (u) YDL149W		1.0	ppi			rewired-BG-network-289_2_bgnet
YPL133C (u) YPL217C		1.0	ppi			rewired-BG-network-289_2_bgnet
YPL217C (u) YPL133C		1.0	ppi			rewired-BG-network-289_2_bgnet
YER155C (u) YOR177C		1.0	ppi			rewired-BG-network-289_2_bgnet
YOR177C (u) YER155C		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR510W (u) YNL131W		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL131W (u) YDR510W		1.0	ppi			rewired-BG-network-289_2_bgnet
YMR139W (d) YGR002C		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YGR235C (u) YOR151C		1.0	ppi			rewired-BG-network-289_2_bgnet
YOR151C (u) YGR235C		1.0	ppi			rewired-BG-network-289_2_bgnet
YPL031C (d) YGR276C		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YDR257C (u) YOR175C		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YOR175C (u) YDR257C		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YCR020WB (u) YDR057W		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR057W (u) YCR020WB		1.0	ppi			rewired-BG-network-289_2_bgnet
YDL145C (u) YMR044W		1.0	ppi			rewired-BG-network-289_2_bgnet
YMR044W (u) YDL145C		1.0	ppi			rewired-BG-network-289_2_bgnet
YLR096W (u) YNL147W		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL147W (u) YLR096W		1.0	ppi			rewired-BG-network-289_2_bgnet
YGL180W (d) YDR545W		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YDR536W (d) YNL263C		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YDR179C (d) NPR16		1.0			Shared_Interaction	NaCl_module_edges_Randomized_2
YBR237W (u) YLR026C		1.0	ppi			rewired-BG-network-289_2_bgnet
YLR026C (u) YBR237W		1.0	ppi			rewired-BG-network-289_2_bgnet
YGR119C (u) YMR080C		1.0	ppi			rewired-BG-network-289_2_bgnet
