#pid	gene_ids	eids	pathfinders	sif_edges
p0	YFR028C|YNL330C|YDL147W|CDC14RD31	edge11148|edge4677|edge25617	paths	YFR028C u YNL330C|YNL330C u YDL147W|YDL147W d CDC14RD31
p1	YLR113W|YNR006W|NPI1|YER165W|HOG1IA43	edge22372|edge7964|edge702|edge8532	paths	YLR113W u YNR006W|YNR006W d NPI1|NPI1 d YER165W|YER165W d HOG1IA43
p2	YLR113W|YPL203W|YPL236C|HOG1ID47	edge1447|edge23788|edge11059	paths	YLR113W u YPL203W|YPL203W u YPL236C|YPL236C d HOG1ID47
p3	YFR028C|YHR154W|YOR231W|CDC14RD30	edge20376|edge22909|edge21286	paths	YFR028C d YHR154W|YHR154W u YOR231W|YOR231W d CDC14RD30
p4	YFR028C|YPL248C|YMR001C|CDC14RD30	edge14820|edge6363|edge12546	paths	YFR028C u YPL248C|YPL248C u YMR001C|YMR001C d CDC14RD30
p5	YOR360C|YAL005C|YMR047C|PDE2RA69	edge15318|edge24410|edge13884	paths	YOR360C u YAL005C|YAL005C u YMR047C|YMR047C d PDE2RA69
p6	YFR028C|YPL201C|YDL140C|CDC14RA40	edge18947|edge6182|edge15640	paths	YFR028C u YPL201C|YPL201C u YDL140C|YDL140C d CDC14RA40
p7	YFR028C|YOR117W|NPI5|YLR096W|CDC14RA40	edge17922|edge16075|edge5229|edge26115	paths	YFR028C u YOR117W|YOR117W d NPI5|NPI5 d YLR096W|YLR096W d CDC14RA40
p8	YLR113W|YPL203W|YGL158W|HOG1ID47	edge1447|edge26263|edge26590	paths	YLR113W u YPL203W|YPL203W d YGL158W|YGL158W d HOG1ID47
p9	YLR113W|YLR340W|YFR034C|HOG1ID46	edge12083|edge2270|edge11969	paths	YLR113W d YLR340W|YLR340W u YFR034C|YFR034C d HOG1ID46
p10	YLR113W|YPL093W|YJL187C|HOG1ID42	edge20853|edge17567|edge4686	paths	YLR113W u YPL093W|YPL093W u YJL187C|YJL187C d HOG1ID42
p11	YLR113W|YDR507C|YGL191W|HOG1ID46	edge4227|edge23952|edge8182	paths	YLR113W d YDR507C|YDR507C u YGL191W|YGL191W d HOG1ID46
p12	YFR028C|YER133W|YOL018C|CDC14RD30	edge14185|edge7301|edge988	paths	YFR028C u YER133W|YER133W u YOL018C|YOL018C d CDC14RD30
p13	YLR113W|YNR006W|NPI5|YOR153W|HOG1ID42	edge22372|edge18154|edge14997|edge23083	paths	YLR113W u YNR006W|YNR006W d NPI5|NPI5 d YOR153W|YOR153W d HOG1ID42
p14	YFR028C|YOR117W|NPI1|YER165W|CDC14ID21	edge17922|edge26798|edge702|edge9211	paths	YFR028C u YOR117W|YOR117W d NPI1|NPI1 d YER165W|YER165W d CDC14ID21
p15	YFR028C|NPI1|YER002W|YMR047C|CDC14RD35	edge18360|edge18847|edge6009|edge20660	paths	YFR028C d NPI1|NPI1 d YER002W|YER002W u YMR047C|YMR047C d CDC14RD35
p16	YLR113W|YDR507C|YOL133W|HOG1ID46	edge4227|edge15329|edge1145	paths	YLR113W d YDR507C|YDR507C u YOL133W|YOL133W d HOG1ID46
p17	YOR360C|YOR310C|PDE2RA68|YHL007C|PDE2ID63	edge822|edge12067|edge21338|edge25502	paths	YOR360C u YOR310C|YOR310C d PDE2RA68|PDE2RA68 d YHL007C|YHL007C d PDE2ID63
p18	YFR028C|NPI1|YJR059W|YMR129W|CDC14RD30	edge18360|edge772|edge7165|edge15886	paths	YFR028C d NPI1|NPI1 d YJR059W|YJR059W d YMR129W|YMR129W d CDC14RD30
p19	YFR028C|YOR117W|NPR12|YER155C|CDC14RD36	edge17922|edge631|edge8534|edge4358	paths	YFR028C u YOR117W|YOR117W d NPR12|NPR12 d YER155C|YER155C d CDC14RD36
