#pid	conf	gene_ids	eids	pathfinders	sif_edges
p0	0.050000	YFR028C|YLR347C|YDR087C|CDC14RD31	edge22904|edge6059|edge23158	paths	YFR028C u YLR347C|YLR347C u YDR087C|YDR087C d CDC14RD31
p1	0.912000	YLR113W|YKR048C|YFL009W|HOG1ID42	edge17913|edge1258|edge19483	paths	YLR113W d YKR048C|YKR048C u YFL009W|YFL009W d HOG1ID42
p2	0.000000	YFR028C|YNL079C|YBL045C|CDC14RD30	edge2124|edge26076|edge24302	paths	YFR028C u YNL079C|YNL079C u YBL045C|YBL045C d CDC14RD30
p3	0.913000	YLR113W|YJL041W|YDL159W|HOG1ID47	edge6834|edge19097|edge3571	paths	YLR113W d YJL041W|YJL041W u YDL159W|YDL159W d HOG1ID47
p4	0.293000	YFR028C|YEL037C|YGR180C|CDC14RD41	edge16169|edge17175|edge1872	paths	YFR028C d YEL037C|YEL037C u YGR180C|YGR180C d CDC14RD41
p5	0.902000	YLR113W|NPI1|YGR162W|YNR017W|HOG1IA45	edge15950|edge19622|edge3544|edge21193	paths	YLR113W d NPI1|NPI1 d YGR162W|YGR162W u YNR017W|YNR017W d HOG1IA45
p6	0.345000	YLR113W|YKL023W|YER112W|HOG1ID46	edge23937|edge25341|edge3401	paths	YLR113W d YKL023W|YKL023W u YER112W|YER112W d HOG1ID46
p7	0.920000	YLR113W|YHR104W|YPL209C|HOG1RD55	edge24896|edge23931|edge9538	paths	YLR113W u YHR104W|YHR104W u YPL209C|YPL209C d HOG1RD55
p8	0.920000	YLR113W|YHR104W|YPL209C|HOG1RD56	edge24896|edge23931|edge7055	paths	YLR113W u YHR104W|YHR104W u YPL209C|YPL209C d HOG1RD56
p9	0.764000	YLR113W|YAL032C|YOR267C|HOG1ID42	edge13493|edge24262|edge682	paths	YLR113W u YAL032C|YAL032C u YOR267C|YOR267C d HOG1ID42
p10	0.903000	YLR113W|YPL213W|YGL120C|HOG1RD55	edge3208|edge23017|edge22533	paths	YLR113W u YPL213W|YPL213W u YGL120C|YGL120C d HOG1RD55
p11	0.908000	YLR113W|NPI1|YJR059W|YMR290C|HOG1ID42	edge15950|edge784|edge8660|edge16938	paths	YLR113W d NPI1|NPI1 d YJR059W|YJR059W d YMR290C|YMR290C d HOG1ID42
p12	0.761000	YFR028C|HOG1ID46|YMR205C|YGR005C|CDC14RD31	edge21680|edge15977|edge10493|edge17698	paths	YFR028C d HOG1ID46|HOG1ID46 d YMR205C|YMR205C u YGR005C|YGR005C d CDC14RD31
p13	0.051000	YFR028C|YJR089W|YFR004W|CDC14RD31	edge763|edge3922|edge26654	paths	YFR028C u YJR089W|YJR089W u YFR004W|YFR004W d CDC14RD31
p14	0.911000	YLR113W|NPI1|YJR059W|YBR130C|HOG1ID42	edge15950|edge784|edge14736|edge12381	paths	YLR113W d NPI1|NPI1 d YJR059W|YJR059W d YBR130C|YBR130C d HOG1ID42
p15	0.912000	YFR028C|YDL220C|YMR236W|CDC14RD36	edge20074|edge20315|edge26659	paths	YFR028C u YDL220C|YDL220C u YMR236W|YMR236W d CDC14RD36
p16	0.757000	YFR028C|YGR270W|YHR099W|CDC14ID25	edge13057|edge4919|edge23193	paths	YFR028C d YGR270W|YGR270W u YHR099W|YHR099W d CDC14ID25
p17	0.757000	YFR028C|YGR270W|YHR099W|CDC14ID26	edge13057|edge4919|edge18683	paths	YFR028C d YGR270W|YGR270W u YHR099W|YHR099W d CDC14ID26
p18	0.728000	YLR113W|YOL135C|YKL181W|HOG1ID42	edge9964|edge2230|edge4403	paths	YLR113W u YOL135C|YOL135C u YKL181W|YKL181W d HOG1ID42
p19	0.950000	YFR028C|YGL048C|CDC14RD35	edge23852|edge8778	paths	YFR028C d YGL048C|YGL048C d CDC14RD35
p20	0.912000	YFR028C|YDL220C|YMR236W|CDC14RD31	edge20074|edge20315|edge11003	paths	YFR028C u YDL220C|YDL220C u YMR236W|YMR236W d CDC14RD31
