#item	conf(sigma) (out of 1000 total sols)
p89	0.911000
p168	0.949000
p83	0.869000
p82	0.906000
p161	0.903000
p160	0.920000
p87	0.918000
p86	0.913000
p85	0.904000
p164	0.902000
p88	0.085000
p163	0.919000
p162	0.900000
p81	0.089000
p98	0.415000
p99	0.867000
p80	0.087000
p90	0.901000
p91	0.914000
p92	0.094000
p93	0.043000
p94	0.902000
p95	0.905000
p96	0.867000
p97	0.903000
p10	0.917000
p11	0.094000
p12	0.910000
p14	0.903000
p15	0.909000
p16	0.954000
p17	0.904000
p18	0.904000
p19	0.407000
p84	0.094000
p165	0.048000
p25	0.098000
p24	0.911000
p27	0.874000
p26	0.893000
p21	0.893000
p20	0.871000
p23	0.020000
p22	0.087000
p29	0.912000
p28	0.095000
p156	0.903000
p157	0.898000
p154	0.910000
p155	0.005000
p152	0.905000
p153	0.903000
p150	0.051000
p151	0.908000
p158	0.898000
p134	0.908000
p135	0.900000
p136	0.059000
p137	0.057000
p130	0.915000
p131	0.087000
p132	0.124000
p133	0.914000
p138	0.919000
p139	0.919000
p38	0.920000
p39	0.901000
p32	0.920000
p33	0.900000
p30	0.913000
p31	0.533000
p36	0.897000
p37	0.871000
p167	0.865000
p35	0.900000
p108	0.893000
p141	0.870000
p140	0.883000
p143	0.905000
p142	0.050000
p145	0.912000
p144	0.870000
p147	0.905000
p146	0.911000
p149	0.051000
p148	0.125000
p127	0.917000
p126	0.866000
p125	0.557000
p124	0.929000
p123	0.908000
p121	0.871000
p120	0.907000
p129	0.910000
p128	0.865000
p49	0.904000
p48	0.908000
p47	0.912000
p46	0.098000
p45	0.886000
p44	0.910000
p43	0.910000
p42	0.002000
p41	0.049000
p40	0.866000
p105	0.919000
p34	0.043000
p104	0.052000
p112	0.104000
p113	0.902000
p110	0.920000
p111	0.869000
p116	0.031000
p117	0.916000
p114	0.863000
p115	0.907000
p118	0.052000
p58	0.904000
p59	0.910000
p54	0.869000
p55	0.910000
p56	0.870000
p57	0.047000
p50	0.876000
p51	0.094000
p52	0.908000
p53	0.030000
p2	0.002000
p3	0.899000
p0	0.918000
p1	0.903000
p6	0.921000
p7	0.906000
p4	0.909000
p5	0.953000
p8	0.903000
p9	0.029000
p61	0.908000
p60	0.094000
p63	0.914000
p62	0.869000
p109	0.917000
p64	0.918000
p67	0.089000
p66	0.940000
p69	0.876000
p68	0.914000
p107	0.089000
p106	0.903000
p101	0.905000
p100	0.899000
p103	0.902000
p102	0.083000
p65	0.049000
p169	0.087000
p76	0.048000
p77	0.860000
p75	0.896000
p72	0.903000
p73	0.903000
p70	0.915000
p71	0.915000
p170	0.048000
p78	0.900000
p79	0.894000
