#item	conf(x) (out of 1000 total sols)
edge4779	0.912000
edge21679	0.914000
edge3318	0.949000
edge4982	0.031000
edge22325	0.950000
edge1419	0.002000
edge9894	0.949000
edge16507	0.898000
edge16159	0.940000
edge23942	0.929000
edge12337	0.915000
edge11999	0.907000
edge10028	0.866000
edge3406	0.043000
edge16009	0.908000
edge15696	0.914000
edge21721	0.087000
edge446	0.906000
edge5041	0.894000
edge23416	0.871000
edge86	0.919000
edge20542	0.050000
edge21281	0.912000
edge22195	0.057000
edge17134	0.916000
edge12654	0.048000
edge25447	0.910000
edge8116	0.917000
edge5387	0.533000
edge13201	0.952000
edge17971	0.901000
edge4629	0.898000
edge25512	0.899000
edge15041	0.947000
edge26835	0.898000
edge5253	0.126000
edge18591	0.867000
edge12242	0.125000
edge5452	0.958000
edge19803	0.949000
edge139	0.943000
edge3054	0.900000
edge21542	0.918000
edge16743	0.907000
edge5592	0.908000
edge11288	0.893000
edge20891	0.057000
edge20923	0.951000
edge24596	0.919000
edge8895	0.952000
edge11116	0.048000
edge7922	0.911000
edge18865	0.098000
edge13869	0.920000
edge20345	0.910000
edge22349	0.052000
edge2101	0.030000
edge13984	0.912000
edge19633	0.913000
edge19632	0.912000
edge9062	0.919000
edge20274	0.883000
edge13235	0.912000
edge19221	0.947000
edge6535	0.917000
edge24397	0.910000
edge2172	0.051000
edge22721	0.904000
edge25956	0.900000
edge7654	0.005000
edge13701	0.918000
edge2204	0.918000
edge8572	0.094000
edge23993	0.916000
edge21262	0.866000
edge18184	0.902000
edge25978	0.949000
edge24897	0.917000
edge13652	0.954000
edge26095	0.085000
edge3225	0.912000
edge21630	0.005000
edge12437	0.951000
edge26023	0.950000
edge16680	0.953000
edge15527	0.897000
edge21740	0.915000
edge5106	0.876000
edge21539	0.918000
edge5263	0.900000
edge9246	0.921000
edge6835	0.964000
edge24817	0.951000
edge7724	0.920000
edge17157	0.905000
edge8364	0.896000
edge25670	0.917000
edge20427	0.908000
edge18694	0.920000
edge8284	0.903000
edge18696	0.897000
edge24966	0.900000
edge20808	0.915000
edge25660	0.911000
edge45	0.043000
edge8519	0.956000
edge8830	0.957000
edge14273	0.030000
edge12173	0.865000
edge11299	0.089000
edge2335	0.900000
edge25562	0.087000
edge4657	0.094000
edge10112	0.886000
edge4575	0.913000
edge15496	0.910000
edge5764	0.900000
edge19282	0.905000
edge4570	0.557000
edge15064	0.898000
edge16644	0.557000
edge22860	0.909000
edge22625	0.922000
edge19162	0.949000
edge9848	0.910000
edge14797	0.954000
