Protein1,Protein2,Interaction,Directed
YGL120C,YOL041C,ppi,0
YCR059C,YDR152W,ppi,0
YDR110W,YDR225W,ppi,0
YJL164C,YGR234W,kinase_substrate,1
YCR081W,YNL025C,ppi,0
YBL075C,YPR119W,ppi,0
YGR013W,YHR086W,ppi,0
YGL048C,YMR001C,ppi,0
YJR103W,YPL204W,ppi,0
YCR063W,YKL085W,ppi,0
YLR248W,YMR178W,ppi,0
YNL021W,YPR179C,ppi,0
YDR363W,YDR510W,ppi,0
YOR061W,YKL089W,kinase_substrate,1
YBL093C,YNR010W,ppi,0
YDL166C,YDR450W,ppi,0
YBR031W,YOL061W,ppi,0
YDR453C,YML028W,ppi,0
YFL038C,YLR268W,ppi,0
YJL019W,YOR144C,ppi,0
YBR010W,YML102W,ppi,0
YGR135W,YLR199C,ppi,0
YHR170W,YIL115C,ppi,0
YER139C,YPL203W,ppi,0
YHR087W,YOL016C,ppi,0
YBR160W,YCL051W,kinase_substrate,1
YBL014C,YER148W,ppi,0
YDR497C,YNL307C,ppi,0
YMR295C,YNL307C,ppi,0
YJL165C,YDR007W,kinase_substrate,1
YDL207W,YHR174W,ppi,0
YDL134C,YGR161C,ppi,0
YDR190C,YGL150C,ppi,0
YAL026C,YDR497C,ppi,0
YJL011C,YOR207C,ppi,0
YDR418W,YHR170W,ppi,0
YKL203C,YMR068W,ppi,0
YGL095C,YOL018C,ppi,0
YJR059W,YJL051W,kinase_substrate,1
YBR128C,YLR360W,ppi,0
YFR027W,YJL074C,acetylation,1
YGL060W,YJR135C,ppi,0
YGR103W,YKL172W,ppi,0
YDL195W,YIL109C,ppi,0
TDGUCO,YDR341C,ppi,0
YMR011W,YFR053C,metabolic_pathway,1
YBR143C,YOR176W,ppi,0
YGL062W,YKL117W,ppi,0
YDR472W,YEL022W,ppi,0
YPL206C,YMR313C,metabolic_pathway,0
YBR060C,YGR103W,ppi,0
YGL048C,YIL075C,ppi,0
YOR231W,YDL166C,kinase_substrate,1
YHL007C,YBR200W,kinase_substrate,1
YML091C,YMR036C,ppi,0
YDL003W,YFL008W,ppi,0
YKL172W,YOR191W,ppi,0
YPL203W,YOR347C,kinase_substrate,1
YOL113W,YNL227C,kinase_substrate,1
YJR025C,YPL204W,ppi,0
YJL106W,YML045WA,kinase_substrate,1
YBL002W,YBL046W,ppi,0
YNL307C,YLR258W,kinase_substrate,1
YGL003C,YIR025W,ppi,0
YPL110C,YCR098C,metabolic_pathway,0
YML046W,YPL213W,ppi,0
YCL061C,YNL262W,ppi,0
YER032W,YGL003C,ppi,0
YGL120C,YMR049C,ppi,0
YMR001C,YGL003C,kinase_substrate,1
YOL113W,YEL032W,kinase_substrate,1
YER110C,YOR213C,ppi,0
YOL113W,YBL091CA,kinase_substrate,1
YJL106W,YDL181W,kinase_substrate,1
YEL056W,YLL022C,ppi,0
RDN372,YGL171W,ppi,0
YDL043C,YJL203W,ppi,0
YBR092C,YCR037C,metabolic_pathway,1
YPL031C,YKL127W,kinase_substrate,1
YLR196W,YOL077C,ppi,0
YBR059C,YCR052W,ppi,0
YCL029C,YPL155C,ppi,0
YBR169C,YDL229W,ppi,0
YDR097C,YLL006W,ppi,0
YGL180W,YCL014W,kinase_substrate,1
YDR484W,YLR262C,ppi,0
YDL188C,YMR273C,ppi,0
YOR244W,YOR117W,acetylation,1
YEL029C,YGR092W,ppi,0
YBR173C,YMR314W,ppi,0
TRCCGL,YDR341C,ppi,0
YMR237W,YOR299W,ppi,0
YDL059C,YLR357W,ppi,0
