Kinase	Kinase	Group (According to Mok)	Kinase						
yck3	YER123W	Acidophillic	yck3						
yck1	YHR135C	Acidophillic	yck1						
yck2	YNL154C	Acidophillic	yck2						
hrr25	YPL204W	Acidophillic	hrr25						
cka1	YIL035C	Acidophillic	cka1						
mrk1	YDL079C	Acidophillic	mrk1						
rim11	YMR139W	Acidophillic	rim11						
mck1	YNL307C	Acidophillic	mck1						
cdc5	YMR001C	Acidophillic	cdc5						
kin1	YDR122W	Other	kin1						
tos3	YGL179C	Other	tos3						
cdc7	YDL017W	Other	cdc7						 
kin3	YAR018C	Other	kin3						
atg1	YGL180W	Other	atg1						
ark1	YNL020C	Other	ark1						
gcn2	YDR283C	Other	gcn2						
mps1	YDL028C	Other	mps1						
cak1	YFL029C	Other	cak1						
prk1	YIL095W	Other	prk1						
cdc15	YAR019C	Other	cdc15						
akl1	YBR059C	Other	akl1						
pho85-pho80	YPL031C	Proline_directed	pho85-pho80						
pho85-pcl2	YPL031C	Proline_directed	pho85-pcl2						
cdc28	YBR160W	Proline_directed	cdc28						
kss1	YGR040W	Proline_directed	kss1						
hog1	YLR113W	Proline_directed	hog1						
fus3	YBL016W	Proline_directed	fus3						
pho85-pcl1	YPL031C	Proline_directed	pho85-pcl1						
ste20	YHL007C	R-2_directed	ste20						
ipl1	YPL209C	R-2_directed	ipl1						
skm1	YOL113W	R-2_directed	skm1						
cla4	YNL298W	R-2_directed	cla4						
rck2	YLR248W	R-3_directed	rck2						
prr1	YKL116C	R-3_directed	prr1						
sky1	YMR216C	R-3_directed	sky1						
ypk1	YKL126W	R-3_directed	ypk1						
fmp48	YGR052W	R-3_directed	fmp48						
ynr047w	YNR047W	R-3_directed	ynr047w						
kcc4	YCL024W	R-3_directed	kcc4						
snf1	YDR477W	R-3_directed	snf1						
kin4	YOR233W	R-3_directed	kin4						
ypl141c	ypl141c	R-3_directed	ypl141c						
sch9	YHR205W	R-3_directed	sch9						
tpk2	YPL203W	R-3_directed	tpk2						
ypk2	YMR104C	R-3_directed	ypk2						
ykl171w	ykl171w	R-3_directed	ykl171w						
tpk1	YJL164C	R-3_directed	tpk1						
pkh2	YOL100W	R-3_directed	pkh2						
psk2	YOL045W	R-3_directed	psk2						
rad53	YPL153C	R-3_directed	rad53						
rim15	YFL033C	R-3_directed	rim15						
tpk3	YKL166C	R-3_directed	tpk3						
ksp1	YHR082C	R-3_directed	ksp1						
gin4	YDR507C	R-3_directed	gin4						
hsl1	YKL101W	R-3_directed	hsl1						
ydl025c	ydl025c	R-3_directed	ydl025c						
vhs1	YDR247W	R-3_directed	vhs1						
yak1	YJL141C	R-3_directed	yak1						
slt2	YHR030C	R-3_directed	slt2						
mek1	YOR351C	R-3_directed	mek1						
ptk2	YJR059W	R-3_directed	ptk2						
cmk2	YOL016C	R-3_directed	cmk2						
cmk1	YFR014C	R-3_directed	cmk1						
psk1	YAL017W	Not_in_Mok	psk1
alk2	YBL009W	Not_in_Mok	alk2
tel1	YBL088C	Not_in_Mok	tel1
pkc1	YBL105C	Not_in_Mok	pkc1
ypk3	YBR028C	Not_in_Mok	ypk3
vps15	YBR097W	Not_in_Mok	vps15
mec1	YBR136W	Not_in_Mok	mec1
chk1	YBR274W	Not_in_Mok	chk1
sat4	YCR008W	Not_in_Mok	sat4
ssk22	YCR073C	Not_in_Mok	ssk22
kin82	YCR091W	Not_in_Mok	kin82
dun1	YDL101C	Not_in_Mok	dun1
kin28	YDL108W	Not_in_Mok	kin28
ste7	YDL159W	Not_in_Mok	ste7
prr2	YDL214C	Not_in_Mok	prr2
pkh3	YDR466W	Not_in_Mok	pkh3
pkh1	YDR490C	Not_in_Mok	pkh1
sps1	YDR523C	Not_in_Mok	sps1
sak1	YER129W	Not_in_Mok	sak1
alk1	YGL021W	Not_in_Mok	alk1
pkp2	YGL059W	Not_in_Mok	pkp2
scy1	YGL083W	Not_in_Mok	scy1
coq8	YGL119W	Not_in_Mok	coq8
rck1	YGL158W	Not_in_Mok	rck1
dbf2	YGR092W	Not_in_Mok	dbf2
bub1	YGR188C	Not_in_Mok	bub1
bud32	YGR262C	Not_in_Mok	bud32
ire1	YHR079C	Not_in_Mok	ire1
tra1	YHR099W	Not_in_Mok	tra1
kic1	YHR102W	Not_in_Mok	kic1
pkp1	YIL042C	Not_in_Mok	pkp1
sln1	YIL147C	Not_in_Mok	sln1
iks1	YJL057C	Not_in_Mok	iks1
bck1	YJL095W	Not_in_Mok	bck1
ime2	YJL106W	Not_in_Mok	ime2
pbs2	YJL128C	Not_in_Mok	pbs2
hal5	YJL165C	Not_in_Mok	hal5
swe1	YJL187C	Not_in_Mok	swe1
tor1	YJR066W	Not_in_Mok	tor1
elm1	YKL048C	Not_in_Mok	elm1
ctk1	YKL139W	Not_in_Mok	ctk1
kdx1	YKL161C	Not_in_Mok	kdx1
kkq8	YKL168C	Not_in_Mok	kkq8
ptk1	YKL198C	Not_in_Mok	ptk1
tor2	YKL203C	Not_in_Mok	tor2
kns1	YLL019C	Not_in_Mok	kns1
kin2	YLR096W	Not_in_Mok	kin2
mcp2	YLR253W	Not_in_Mok	mcp2
ste11	YLR362W	Not_in_Mok	ste11
tda1	YMR291W	Not_in_Mok	tda1
cbk1	YNL161W	Not_in_Mok	cbk1
npr1	YNL183C	Not_in_Mok	npr1
rio2	YNL207W	Not_in_Mok	rio2
ssk2	YNR031C	Not_in_Mok	ssk2
ygk3	YOL128C	Not_in_Mok	ygk3
cka2	YOR061W	Not_in_Mok	cka2
rio1	YOR119C	Not_in_Mok	rio1
mkk1	YOR231W	Not_in_Mok	mkk1
hrk1	YOR267C	Not_in_Mok	hrk1
sks1	YPL026C	Not_in_Mok	sks1
ssn3	YPL042C	Not_in_Mok	ssn3
ypl109c	YPL109C	Not_in_Mok	ypl109c
mkk2	YPL140C	Not_in_Mok	mkk2
ypl150w	YPL150W	Not_in_Mok	ypl150w
smk1	YPR054W	Not_in_Mok	smk1
isr1	YPR106W	Not_in_Mok	isr1
sgv1	YPR161C	Not_in_Mok	sgv1
