Kinase	Kinase	Group (According to Mok)	Kinase						
yck3	YER123W	Acidophillic	yck3						
yck1	YHR135C	Acidophillic	yck1						
yck2	YNL154C	Acidophillic	yck2						
hrr25	YPL204W	Acidophillic	hrr25						
cka1	YIL035C	Acidophillic	cka1						
mrk1	YDL079C	Acidophillic	mrk1						
rim11	YMR139W	Acidophillic	rim11						
mck1	YNL307C	Acidophillic	mck1						
cdc5	YMR001C	Acidophillic	cdc5						
kin1	YDR122W	Other	kin1						
tos3	YGL179C	Other	tos3						
cdc7	YDL017W	Other	cdc7						 
kin3	YAR018C	Other	kin3						
atg1	YGL180W	Other	atg1						
ark1	YNL020C	Other	ark1						
gcn2	YDR283C	Other	gcn2						
mps1	YDL028C	Other	mps1						
cak1	YFL029C	Other	cak1						
prk1	YIL095W	Other	prk1						
cdc15	YAR019C	Other	cdc15						
akl1	YBR059C	Other	akl1						
pho85-pho80	YPL031C	Proline_directed	pho85-pho80						
pho85-pcl2	YPL031C	Proline_directed	pho85-pcl2						
cdc28	YBR160W	Proline_directed	cdc28						
kss1	YGR040W	Proline_directed	kss1						
hog1	YLR113W	Proline_directed	hog1						
fus3	YBL016W	Proline_directed	fus3						
pho85-pcl1	YPL031C	Proline_directed	pho85-pcl1						
ste20	YHL007C	R-2_directed	ste20						
ipl1	YPL209C	R-2_directed	ipl1						
skm1	YOL113W	R-2_directed	skm1						
cla4	YNL298W	R-2_directed	cla4						
rck2	YLR248W	R-3_directed	rck2						
prr1	YKL116C	R-3_directed	prr1						
sky1	YMR216C	R-3_directed	sky1						
ypk1	YKL126W	R-3_directed	ypk1						
fmp48	YGR052W	R-3_directed	fmp48						
ynr047w	YNR047W	R-3_directed	ynr047w						
kcc4	YCL024W	R-3_directed	kcc4						
snf1	YDR477W	R-3_directed	snf1						
kin4	YOR233W	R-3_directed	kin4						
ypl141c	ypl141c	R-3_directed	ypl141c						
sch9	YHR205W	R-3_directed	sch9						
tpk2	YPL203W	R-3_directed	tpk2						
ypk2	YMR104C	R-3_directed	ypk2						
ykl171w	ykl171w	R-3_directed	ykl171w						
tpk1	YJL164C	R-3_directed	tpk1						
pkh2	YOL100W	R-3_directed	pkh2						
psk2	YOL045W	R-3_directed	psk2						
rad53	YPL153C	R-3_directed	rad53						
rim15	YFL033C	R-3_directed	rim15						
tpk3	YKL166C	R-3_directed	tpk3						
ksp1	YHR082C	R-3_directed	ksp1						
gin4	YDR507C	R-3_directed	gin4						
hsl1	YKL101W	R-3_directed	hsl1						
ydl025c	ydl025c	R-3_directed	ydl025c						
vhs1	YDR247W	R-3_directed	vhs1						
yak1	YJL141C	R-3_directed	yak1						
slt2	YHR030C	R-3_directed	slt2						
mek1	YOR351C	R-3_directed	mek1						
ptk2	YJR059W	R-3_directed	ptk2						
cmk2	YOL016C	R-3_directed	cmk2						
cmk1	YFR014C	R-3_directed	cmk1						
