ORF,Annotation,common_ name
YAL017W,Kinase,PSK1
YAR018C,Kinase,KIN3
YAR019C,Kinase,CDC15
YBL009W,Kinase,ALK2
YBL016W,Kinase,FUS3
YBL088C,Kinase,TEL1
YBL105C,Kinase,PKC1
YBR028C,Kinase,YPK3
YBR059C,Kinase,AKL1
YBR097W,Kinase,VPS15
YBR136W,Kinase,MEC1
YBR160W,Kinase,CDC28
YBR274W,Kinase,CHK1
YCL024W,Kinase,KCC4
YCR008W,Kinase,SAT4
YCR073C,Kinase,SSK22
YCR091W,Kinase,KIN82
YDL017W,Kinase,CDC7
YDL025C,Kinase,RTK1
YDL028C,Kinase,MPS1
YDL079C,Kinase,MRK1
YDL101C,Kinase,DUN1
YDL108W,Kinase,KIN28
YDL159W,Kinase,STE7
YDL214C,Kinase,PRR2
YDR122W,Kinase,KIN1
YDR247W,Kinase,VHS1
YDR283C,Kinase,GCN2
YDR466W,Kinase,PKH3
YDR477W,Kinase,SNF1
YDR490C,Kinase,PKH1
YDR507C,Kinase,GIN4
YDR523C,Kinase,SPS1
YER123W,Kinase,YCK3
YER129W,Kinase,SAK1
YFL029C,Kinase,CAK1
YFL033C,Kinase,RIM15
YFR014C,Kinase,CMK1
YGL021W,Kinase,ALK1
YGL059W,Kinase,PKP2
YGL083W,Kinase,SCY1
YGL119W,Kinase,COQ8
YGL158W,Kinase,RCK1
YGL179C,Kinase,TOS3
YGL180W,Kinase,ATG1
YGR040W,Kinase,KSS1
YGR052W,Kinase,FMP48
YGR092W,Kinase,DBF2
YGR188C,Kinase,BUB1
YGR262C,Kinase,BUD32
YHL007C,Kinase,STE20
YHR030C,Kinase,SLT2
YHR079C,Kinase,IRE1
YHR082C,Kinase,KSP1
YHR099W,Kinase,TRA1
YHR102W,Kinase,KIC1
YHR135C,Kinase,YCK1
YHR205W,Kinase,SCH9
YIL035C,Kinase,CKA1
YIL042C,Kinase,PKP1
YIL095W,Kinase,PRK1
YIL147C,Kinase,SLN1
YJL057C,Kinase,IKS1
YJL095W,Kinase,BCK1
YJL106W,Kinase,IME2
YJL128C,Kinase,PBS2
YJL141C,Kinase,YAK1
YJL164C,Kinase,TPK1
YJL165C,Kinase,HAL5
YJL187C,Kinase,SWE1
YJR059W,Kinase,PTK2
YJR066W,Kinase,TOR1
YKL048C,Kinase,ELM1
YKL101W,Kinase,HSL1
YKL116C,Kinase,PRR1
YKL126W,Kinase,YPK1
YKL139W,Kinase,CTK1
YKL161C,Kinase,KDX1
YKL166C,Kinase,TPK3
YKL168C,Kinase,KKQ8
YKL171W,Kinase,NNK1
YKL198C,Kinase,PTK1
YKL203C,Kinase,TOR2
YLL019C,Kinase,KNS1
YLR096W,Kinase,KIN2
YLR113W,Kinase,HOG1
YLR248W,Kinase,RCK2
YLR253W,Kinase,MCP2
YLR362W,Kinase,STE11
YMR001C,Kinase,CDC5
YMR104C,Kinase,YPK2
YMR139W,Kinase,RIM11
YMR216C,Kinase,SKY1
YMR291W,Kinase,YMR291W
YNL020C,Kinase,ARK1
YNL154C,Kinase,YCK2
YNL161W,Kinase,CBK1
YNL183C,Kinase,NPR1
YNL207W,Kinase,RIO2
YNL298W,Kinase,CLA4
YNL307C,Kinase,MCK1
YNR031C,Kinase,SSK2
YNR047W,Kinase,FPK1
YOL016C,Kinase,CMK2
YOL045W,Kinase,PSK2
YOL100W,Kinase,PKH2
YOL113W,Kinase,SKM1
YOL128C,Kinase,YGK3
YOR061W,Kinase,CKA2
YOR119C,Kinase,RIO1
YOR231W,Kinase,MKK1
YOR233W,Kinase,KIN4
YOR267C,Kinase,HRK1
YOR351C,Kinase,MEK1
YPL026C,Kinase,SKS1
YPL031C,Kinase,PHO85
YPL042C,Kinase,SSN3
YPL109C,Kinase,YPL109C
YPL140C,Kinase,MKK2
YPL141C,Kinase,FRK1
YPL150W,Kinase,YPL150W
YPL153C,Kinase,RAD53
YPL203W,Kinase,TPK2
YPL204W,Kinase,HRR25
YPL209C,Kinase,IPL1
YPR054W,Kinase,SMK1
YPR106W,Kinase,ISR1
YPR111W,Kinase,DBF20
YPR161C,Kinase,SGV1
YBL056W,Phosphatase,PTC3
YBR125C,Phosphatase,PTC4
YCR079W,Phosphatase,PTC6
YDL006W,Phosphatase,PTC1
YDL047W,Phosphatase,SIT4
YDL134C,Phosphatase,PPH21
YDL188C,Phosphatase,PPH22
YDL230W,Phosphatase,PTP1
YDR436W,Phosphatase,PPZ2
YER075C,Phosphatase,PTP3
YER089C,Phosphatase,PTC2
YER133W,Phosphatase,GLC7
YFR028C,Phosphatase,CDC14
YGR123C,Phosphatase,PPT1
YGR203W,Phosphatase,YCH1
YHR076W,Phosphatase,PTC7
YIL113W,Phosphatase,SDP1
YIR026C,Phosphatase,YVH1
YLR019W,Phosphatase,PSR2
YLR433C,Phosphatase,CNA1
YML016C,Phosphatase,PPZ1
YML057W,Phosphatase,CMP2
YMR036C,Phosphatase,MIH1
YNL053W,Phosphatase,MSG5
YNL099C,Phosphatase,OCA1
YNL222W,Phosphatase,SSU72
YNR032W,Phosphatase,PPG1
YOR090C,Phosphatase,PTC5
YOR208W,Phosphatase,PTP2
YPL179W,Phosphatase,PPQ1
