,Motif,AA,0,1,2,3,4,5,6,7,8,9,10,11,12,IC_0_Final,IC_1_Final,IC_2_Final,IC_3_Final,IC_4_Final,IC_5_Final,IC_6_Final,IC_7_Final,IC_8_Final,IC_9_Final,IC_10_Final,IC_11_Final,IC_12_Final
580,mrk1,A:,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.05,0.05,0.05,0.032961706,0.05,0.05,100,100.0,100.0,100.0,100.0,100.0,4.09731261,100.0,100.0,100.0,4.291923016,100,100
581,mrk1,C:,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.05,0.05,0.05,0.032961706,0.05,0.05,100,100.0,100.0,100.0,100.0,100.0,4.09731261,100.0,100.0,100.0,4.291923016,100,100
582,mrk1,D:,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.05,0.05,0.05,0.032961706,0.05,0.05,100,100.0,100.0,100.0,100.0,100.0,4.09731261,100.0,100.0,100.0,4.291923016,100,100
583,mrk1,E:,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.05,0.05,0.05,0.032961706,0.05,0.05,100,100.0,100.0,100.0,100.0,100.0,4.09731261,100.0,100.0,100.0,4.291923016,100,100
584,mrk1,F:,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.05,0.05,0.05,0.032961706,0.05,0.05,100,100.0,100.0,100.0,100.0,100.0,4.09731261,100.0,100.0,100.0,4.291923016,100,100
585,mrk1,G:,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.05,0.05,0.05,0.032961706,0.05,0.05,100,100.0,100.0,100.0,100.0,100.0,4.09731261,100.0,100.0,100.0,4.291923016,100,100
586,mrk1,H:,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.05,0.05,0.05,0.032961706,0.05,0.05,100,100.0,100.0,100.0,100.0,100.0,4.09731261,100.0,100.0,100.0,4.291923016,100,100
587,mrk1,I:,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.05,0.05,0.05,0.032961706,0.05,0.05,100,100.0,100.0,100.0,100.0,100.0,4.09731261,100.0,100.0,100.0,4.291923016,100,100
588,mrk1,K:,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.05,0.05,0.05,0.032961706,0.05,0.05,100,100.0,100.0,100.0,100.0,100.0,4.09731261,100.0,100.0,100.0,4.291923016,100,100
589,mrk1,L:,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.05,0.05,0.05,0.032961706,0.05,0.05,100,100.0,100.0,100.0,100.0,100.0,4.09731261,100.0,100.0,100.0,4.291923016,100,100
590,mrk1,M:,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.05,0.05,0.05,0.032961706,0.05,0.05,100,100.0,100.0,100.0,100.0,100.0,4.09731261,100.0,100.0,100.0,4.291923016,100,100
591,mrk1,N:,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.05,0.05,0.05,0.032961706,0.05,0.05,100,100.0,100.0,100.0,100.0,100.0,4.09731261,100.0,100.0,100.0,4.291923016,100,100
592,mrk1,P:,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.05,0.05,0.05,0.032961706,0.05,0.05,100,100.0,100.0,100.0,100.0,100.0,4.09731261,100.0,100.0,100.0,4.291923016,100,100
593,mrk1,Q:,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.05,0.05,0.05,0.032961706,0.05,0.05,100,100.0,100.0,100.0,100.0,100.0,4.09731261,100.0,100.0,100.0,4.291923016,100,100
594,mrk1,R:,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.05,0.05,0.05,0.032961706,0.05,0.05,100,100.0,100.0,100.0,100.0,100.0,4.09731261,100.0,100.0,100.0,4.291923016,100,100
595,mrk1,S:,0.05,0.05,0.05,0.05,0.05,0.05,0.275,0.05,0.05,0.05,0.032961706,0.05,0.05,100,100.0,100.0,100.0,100.0,100.0,4.09731261,100.0,100.0,100.0,4.291923016,100,100
596,mrk1,T:,0.05,0.05,0.05,0.05,0.05,0.05,0.275,0.05,0.05,0.05,0.37372758100000003,0.05,0.05,100,100.0,100.0,100.0,100.0,100.0,4.09731261,100.0,100.0,100.0,4.291923016,100,100
597,mrk1,V:,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.05,0.05,0.05,0.032961706,0.05,0.05,100,100.0,100.0,100.0,100.0,100.0,4.09731261,100.0,100.0,100.0,4.291923016,100,100
598,mrk1,W:,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.05,0.05,0.05,0.032961706,0.05,0.05,100,100.0,100.0,100.0,100.0,100.0,4.09731261,100.0,100.0,100.0,4.291923016,100,100
599,mrk1,Y:,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.05,0.05,0.05,0.032961706,0.05,0.05,100,100.0,100.0,100.0,100.0,100.0,4.09731261,100.0,100.0,100.0,4.291923016,100,100
