,Motif,AA,0,1,2,3,4,5,6,7,8,9,10,11,12,IC_0_Final,IC_1_Final,IC_2_Final,IC_3_Final,IC_4_Final,IC_5_Final,IC_6_Final,IC_7_Final,IC_8_Final,IC_9_Final,IC_10_Final,IC_11_Final,IC_12_Final
500,kss1,A:,0.05,0.049559748,0.051587302,0.050312891,0.035439901,0.070508145,0.023809524,0.040563517,0.050597508,0.062696747,0.054006530999999997,0.05,0.05,100,99.98525071,99.98567111,99.93527372,99.81852108,99.97025659,4.020435924,99.70515521,99.98261528,99.97174178,99.96393161,100,100
501,kss1,C:,0.05,0.045534591,0.045882937,0.056570712999999995,0.05402726099999999,0.051300754000000004,0.023809524,0.037648772999999996,0.046275107999999995,0.058499475,0.063300678,0.05,0.05,100,99.98525071,99.98567111,99.93527372,99.81852108,99.97025659,4.020435924,99.70515521,99.98261528,99.97174178,99.96393161,100,100
502,kss1,D:,0.05,0.053836478,0.050843254000000004,0.041051314,0.044609665,0.07196693400000001,0.023809524,0.031333495,0.05898805,0.039087092999999996,0.058528008,0.05,0.05,100,99.98525071,99.98567111,99.93527372,99.81852108,99.97025659,4.020435924,99.70515521,99.98261528,99.97174178,99.96393161,100,100
503,kss1,E:,0.05,0.038490566000000004,0.046130952,0.054317897000000004,0.031474597,0.037442256,0.023809524,0.029876122999999997,0.034070684,0.060335782000000004,0.060788747000000004,0.05,0.05,100,99.98525071,99.98567111,99.93527372,99.81852108,99.97025659,4.020435924,99.70515521,99.98261528,99.97174178,99.96393161,100,100
504,kss1,F:,0.05,0.062389937,0.044146825,0.05106383,0.028252787999999997,0.044736202,0.023809524,0.029390332999999998,0.036613272,0.054564533,0.053252952,0.05,0.05,100,99.98525071,99.98567111,99.93527372,99.81852108,99.97025659,4.020435924,99.70515521,99.98261528,99.97174178,99.96393161,100,100
505,kss1,G:,0.05,0.041509434,0.041170635,0.048060075,0.037918216,0.043277413,0.023809524,0.034976925,0.04932621400000001,0.038037775,0.055262497,0.05,0.05,100,99.98525071,99.98567111,99.93527372,99.81852108,99.97025659,4.020435924,99.70515521,99.98261528,99.97174178,99.96393161,100,100
506,kss1,H:,0.05,0.046792453,0.068700397,0.038548185,0.036679058,0.052759543,0.023809524,0.032790867,0.062293415,0.038300105,0.041446872999999995,0.05,0.05,100,99.98525071,99.98567111,99.93527372,99.81852108,99.97025659,4.020435924,99.70515521,99.98261528,99.97174178,99.96393161,100,100
507,kss1,I:,0.05,0.061132075,0.046130952,0.04155194,0.039157372999999995,0.041818624,0.023809524,0.050522225,0.054411390999999996,0.04066107,0.039437327,0.05,0.05,100,99.98525071,99.98567111,99.93527372,99.81852108,99.97025659,4.020435924,99.70515521,99.98261528,99.97174178,99.96393161,100,100
508,kss1,K:,0.05,0.041761006,0.054811507999999995,0.040801001,0.030978934,0.047410649000000006,0.023809524,0.0310906,0.03941012,0.038824764,0.067822155,0.05,0.05,100,99.98525071,99.98567111,99.93527372,99.81852108,99.97025659,4.020435924,99.70515521,99.98261528,99.97174178,99.96393161,100,100
509,kss1,L:,0.05,0.049559748,0.042906745999999996,0.042803504000000006,0.042874845,0.044249939,0.023809524,0.039591936,0.043986779000000004,0.038037775,0.032152725,0.05,0.05,100,99.98525071,99.98567111,99.93527372,99.81852108,99.97025659,4.020435924,99.70515521,99.98261528,99.97174178,99.96393161,100,100
510,kss1,M:,0.05,0.04754717,0.041914683,0.049812265,0.039900867,0.044006808,0.023809524,0.046150109,0.056191202999999995,0.050104932000000005,0.032152725,0.05,0.05,100,99.98525071,99.98567111,99.93527372,99.81852108,99.97025659,4.020435924,99.70515521,99.98261528,99.97174178,99.96393161,100,100
511,kss1,N:,0.05,0.062389937,0.057787698,0.04505632,0.041883519,0.049598832999999995,0.023809524,0.034491134,0.052123061,0.039611752,0.039437327,0.05,0.05,100,99.98525071,99.98567111,99.93527372,99.81852108,99.97025659,4.020435924,99.70515521,99.98261528,99.97174178,99.96393161,100,100
512,kss1,P:,0.05,0.056100629000000006,0.053571429000000004,0.042553191,0.17819083,0.061269147,0.023809524,0.22953607,0.057971014,0.075288562,0.057020849000000005,0.05,0.05,100,99.98525071,99.98567111,99.93527372,99.81852108,99.97025659,4.020435924,99.70515521,99.98261528,99.97174178,99.96393161,100,100
513,kss1,Q:,0.05,0.049811321,0.049603175,0.039299124,0.047583642999999995,0.047167518,0.023809524,0.045664319,0.046020849,0.055351522,0.05903039400000001,0.05,0.05,100,99.98525071,99.98567111,99.93527372,99.81852108,99.97025659,4.020435924,99.70515521,99.98261528,99.97174178,99.96393161,100,100
514,kss1,R:,0.05,0.038993711,0.045882937,0.045556945999999994,0.047583642999999995,0.07002188200000001,0.023809524,0.036677192000000004,0.050597508,0.057187827999999996,0.060788747000000004,0.05,0.05,100,99.98525071,99.98567111,99.93527372,99.81852108,99.97025659,4.020435924,99.70515521,99.98261528,99.97174178,99.96393161,100,100
515,kss1,S:,0.05,0.050314465,0.049603175,0.050062577999999996,0.06542750900000001,0.048626307,0.302380952,0.048579062,0.050851767,0.052465897000000004,0.050238634000000004,0.05,0.05,100,99.98525071,99.98567111,99.93527372,99.81852108,99.97025659,4.020435924,99.70515521,99.98261528,99.97174178,99.96393161,100,100
