Interactor_A	Edge_Type	Interactor_B	Annotation	SI	FDR_Score	Match_FDR
cdc14ia23	Constituent	YMR031C				
cdc14ia23	Constituent	YHR131C				
cdc14id25	Constituent	YBL061C				
cdc14id25	Constituent	YHR158C				
cdc14id25	Constituent	YNL180C				
cdc14id25	Constituent	YNL267W				
hog1id47	Constituent	YBR080C				
hog1id47	Constituent	YDR407C				
hog1id47	Constituent	YER105C				
hog1id47	Constituent	YGL099W				
hog1id47	Constituent	YJR076C				
hog1id47	Constituent	YLR206W				
hog1id47	Constituent	YLR260W				
hog1id47	Constituent	YHR131C				
hog1id47	Constituent	YHR158C				
hog1id47	Constituent	YNL180C				
hog1id47	Constituent	YNL267W				
npi4	Constituent	YBL047C				
npi4	Constituent	YDL146W				
npi4	Constituent	YDL225W				
npi4	Constituent	YDR093W				
npi4	Constituent	YDR490C	Kinase			
npi4	Constituent	YER087C-B				
npi4	Constituent	YER166W				
npi4	Constituent	YFL009W				
npi4	Constituent	YGL181W				
npi4	Constituent	YGR038W				
npi4	Constituent	YGR097W				
npi4	Constituent	YIR006C		Yes		
npi4	Constituent	YLL040C				
npi4	Constituent	YLR410W				
npi4	Constituent	YNL118C				
npi4	Constituent	YNL166C				
npi4	Constituent	YOL093W				
npi4	Constituent	YPL032C				
pde2id62	Constituent	YER087C-B				
pde2id62	Constituent	YGL181W				
pde2id62	Constituent	YIL036W				
pde2id62	Constituent	YMR031C				
cdc14id22	Constituent	YBR059C	Kinase			
cdc14id22	Constituent	YBR140C				
cdc14id22	Constituent	YML059C				
cdc14id22	Constituent	YLR006C				
hog1ia45	Constituent	YDL195W				
hog1ia45	Constituent	YDR033W				
hog1ia45	Constituent	YJL095W	Kinase			
hog1ia45	Constituent	YNL278W				
hog1id46	Constituent	YBL004W				
hog1id46	Constituent	YBR059C	Kinase			
hog1id46	Constituent	YDL117W				
hog1id46	Constituent	YDL224C				
hog1id46	Constituent	YDR003W				
hog1id46	Constituent	YDR227W				
hog1id46	Constituent	YER083C				
hog1id46	Constituent	YGL208W				
hog1id46	Constituent	YGR094W				
hog1id46	Constituent	YGR097W				
hog1id46	Constituent	YGR253C				
hog1id46	Constituent	YHR007C				
hog1id46	Constituent	YIL115C				
hog1id46	Constituent	YLR248W	Kinase			
hog1id46	Constituent	YLR357W				
hog1id46	Constituent	YML059C				
hog1id46	Constituent	YML081W				
hog1id46	Constituent	YMR205C				
hog1id46	Constituent	YNL321W				
hog1id46	Constituent	YOR151C				
hog1id46	Constituent	YLR006C				
hog1id46	Constituent	YLR257W				
npi3	Constituent	YAR002W				
npi3	Constituent	YBR059C	Kinase			
npi3	Constituent	YBR112C				
npi3	Constituent	YBR198C				
npi3	Constituent	YCL032W				
npi3	Constituent	YCR034W				
npi3	Constituent	YCR061W				
npi3	Constituent	YDL173W				
npi3	Constituent	YDL195W				
npi3	Constituent	YDR004W				
npi3	Constituent	YDR093W				
npi3	Constituent	YDR475C				
npi3	Constituent	YDR490C	Kinase			
npi3	Constituent	YER155C				
npi3	Constituent	YER169W				
npi3	Constituent	YFL007W				
npi3	Constituent	YGL083W	Kinase			
npi3	Constituent	YGL222C				
npi3	Constituent	YGR178C				
npi3	Constituent	YGR184C				
npi3	Constituent	YGR281W				
npi3	Constituent	YHL009C		Yes		
npi3	Constituent	YHR146W				
npi3	Constituent	YHR158C		Yes		
npi3	Constituent	YHR159W				
npi3	Constituent	YIL038C				
npi3	Constituent	YIL129C				
npi3	Constituent	YIR003W				
npi3	Constituent	YIR006C		Yes		
npi3	Constituent	YJL020C		Yes		
npi3	Constituent	YJL080C				
npi3	Constituent	YJL095W	Kinase			
npi3	Constituent	YLL021W				
npi3	Constituent	YLR006C				
npi3	Constituent	YLR371W				
npi3	Constituent	YML059C				
npi3	Constituent	YML064C				
npi3	Constituent	YML081W				
npi3	Constituent	YML100W				
npi3	Constituent	YMR011W				
npi3	Constituent	YMR109W		Yes		
npi3	Constituent	YMR261C				
npi3	Constituent	YMR311C				
npi3	Constituent	YNL078W				
npi3	Constituent	YNL166C				
npi3	Constituent	YNL278W				
npi3	Constituent	YNL293W				
npi3	Constituent	YNR053C				
npi3	Constituent	YOL070C				
npi3	Constituent	YOL081W				
npi3	Constituent	YOL100W	Kinase			
npi3	Constituent	YOR018W				
npi3	Constituent	YOR056C				
npi3	Constituent	YOR109W				
npi3	Constituent	YOR233W	Kinase			
npi3	Constituent	YOR267C	Kinase			
npi3	Constituent	YOR329C		Yes		
npi3	Constituent	YOR352W				
npi3	Constituent	YPL133C				
npi3	Constituent	YPL141C	Kinase			
npi3	Constituent	YPL150W	Kinase			
npi3	Constituent	YPL221W				
npi3	Constituent	YPL226W				
npi3	Constituent	YPR161C	Kinase			
pde2id61	Constituent	YBL085W				
pde2id61	Constituent	YCL032W				
pde2id61	Constituent	YDR389W				
pde2id61	Constituent	YJL128C	Kinase	Yes		
pde2id61	Constituent	YLL043W				
pde2id61	Constituent	YLR248W	Kinase	Yes		
pde2id61	Constituent	YLR257W				
cdc14ia27	Constituent	YDR033W				
cdc14ia27	Constituent	YPL226W				
cdc14ia27	Constituent	YDR310C				
cdc14id28	Constituent	YHR149C				
cdc14id28	Constituent	YHR158C				
hog1id49	Constituent	YDR093W				
hog1id49	Constituent	YDR145W				
hog1id49	Constituent	YDR170C				
hog1id49	Constituent	YDR385W				
hog1id49	Constituent	YDR475C				
hog1id49	Constituent	YGR162W				
hog1id49	Constituent	YLR350W				
hog1id49	Constituent	YLR433C	Phosphatase			
hog1id49	Constituent	YPL242C				
hog1id49	Constituent	YPR124W				
hog1id49	Constituent	YDR310C				
hog1id49	Constituent	YJL070C				
hog1id49	Constituent	YKL054C				
npi6	Constituent	YBR225W				
npi6	Constituent	YBR245C				
npi6	Constituent	YCL037C				
npi6	Constituent	YDL226C				
npi6	Constituent	YFL021W				
npi6	Constituent	YHR097C				
npi6	Constituent	YHR102W	Kinase			
npi6	Constituent	YKL204W				
npi6	Constituent	YKR090W				
npi6	Constituent	YLR450W				
npi6	Constituent	YML075C				
npi6	Constituent	YMR275C				
npi6	Constituent	YNL166C				
npi6	Constituent	YPL226W				
pde2id64	Constituent	YAL019W				
pde2id64	Constituent	YBL047C				
pde2id64	Constituent	YFL007W				
pde2id64	Constituent	YGL181W				
pde2id64	Constituent	YIR006C				
pde2id64	Constituent	YLL040C				
pde2id64	Constituent	YMR184W				
pde2id64	Constituent	YMR275C				
pde2id64	Constituent	YPL085W				
pde2id64	Constituent	YPR041W				
pde2id64	Constituent	YJL070C				
pde2id64	Constituent	YKL054C				
pde2id64	Constituent	YPL226W				
cdc14ia18	Constituent	YGR130C				
cdc14ia18	Constituent	YIR003W				
cdc14ia18	Constituent	YOR227W				
cdc14ia18	Constituent	YFR016C				
cdc14id19	Constituent	YFL025C				
cdc14id19	Constituent	YFR048W				
cdc14id19	Constituent	YML072C				
cdc14id19	Constituent	YHR158C				
cdc14id19	Constituent	YIR003W				
cdc14id19	Constituent	YJR059W	Kinase			
hog1id42	Constituent	YBR086C				
hog1id42	Constituent	YDL117W		Yes		
hog1id42	Constituent	YDR233C				
hog1id42	Constituent	YDR292C				
hog1id42	Constituent	YDR302W				
hog1id42	Constituent	YDR326C				
hog1id42	Constituent	YER005W				
hog1id42	Constituent	YER157W				
hog1id42	Constituent	YGR180C				
hog1id42	Constituent	YHR195W				
hog1id42	Constituent	YIR003W				
hog1id42	Constituent	YJL026W				
hog1id42	Constituent	YKL054C				
hog1id42	Constituent	YLR096W	Kinase			
hog1id42	Constituent	YLR248W	Kinase			
hog1id42	Constituent	YLR257W		Yes		
hog1id42	Constituent	YML100W				
hog1id42	Constituent	YMR205C				
hog1id42	Constituent	YMR219W				
hog1id42	Constituent	YNL321W				
hog1id42	Constituent	YOL070C				
hog1id42	Constituent	YOL087C				
hog1id42	Constituent	YOR109W				
hog1id42	Constituent	YOR264W				
hog1id42	Constituent	YPL037C				
hog1id42	Constituent	YFR016C				
hog1id42	Constituent	YHR158C		Yes		
hog1id42	Constituent	YJR059W	Kinase			
hog1id42	Constituent	YLR452C				
npi1	Constituent	YBR059C	Kinase			
npi1	Constituent	YBR068C				
npi1	Constituent	YDL173W				
npi1	Constituent	YDL223C				
npi1	Constituent	YER002W				
npi1	Constituent	YER165W				
npi1	Constituent	YGL173C				
npi1	Constituent	YGR097W				
npi1	Constituent	YGR162W		Yes		
npi1	Constituent	YHR158C				
npi1	Constituent	YJR059W	Kinase	Yes		
npi1	Constituent	YKL195W				
npi1	Constituent	YLR410W				
npi1	Constituent	YMR086W				
npi1	Constituent	YMR153W				
npi1	Constituent	YNL020C	Kinase	Yes		
npi1	Constituent	YNL321W				
npi1	Constituent	YNR012W				
pde2id58	Constituent	YKR023W				
pde2id58	Constituent	YLR452C				
