,Motif,AA,0,1,2,3,4,5,6,7,8,9,10,11,12,IC_0_Final,IC_1_Final,IC_2_Final,IC_3_Final,IC_4_Final,IC_5_Final,IC_6_Final,IC_7_Final,IC_8_Final,IC_9_Final,IC_10_Final,IC_11_Final,IC_12_Final
280,gcn2,A:,0.05,0.038904453,0.040119391000000004,0.037122557,0.042745978,0.038822876,0.025,0.03744426,0.040969721,0.043579065,0.048594108,0.05,0.05,100,99.98494345,99.98578863,99.9837301,99.95483953,99.97583717,4.096787878,99.97848682,99.97799323,99.98279234,99.99468193,100,100
281,gcn2,C:,0.05,0.051301604,0.053203229000000005,0.052975496,0.03792576,0.052726967,0.025,0.060381664,0.055176129000000004,0.055546505999999995,0.051509566,0.05,0.05,100,99.98494345,99.98578863,99.9837301,99.95483953,99.97583717,4.096787878,99.97848682,99.97799323,99.98279234,99.99468193,100,100
282,gcn2,D:,0.05,0.048128729,0.049443651,0.05725584400000001,0.068276577,0.047053625,0.025,0.039358159,0.043012219000000004,0.046111667,0.042619425,0.05,0.05,100,99.98494345,99.98578863,99.9837301,99.95483953,99.97583717,4.096787878,99.97848682,99.97799323,99.98279234,99.99468193,100,100
283,gcn2,E:,0.05,0.041541774,0.045612087999999995,0.058119085,0.09474917599999999,0.042268277,0.025,0.037296185,0.036584107000000005,0.041434292000000005,0.042317877999999996,0.05,0.05,100,99.98494345,99.98578863,99.9837301,99.95483953,99.97583717,4.096787878,99.97848682,99.97799323,99.98279234,99.99468193,100,100
284,gcn2,F:,0.05,0.054569159000000006,0.049858953,0.054146127999999995,0.055820996,0.054746184,0.025,0.071204622,0.044816524,0.051180786,0.049946764000000005,0.05,0.05,100,99.98494345,99.98578863,99.9837301,99.95483953,99.97583717,4.096787878,99.97848682,99.97799323,99.98279234,99.99468193,100,100
285,gcn2,G:,0.05,0.040376591,0.041359078,0.035997532,0.036589137,0.034654025,0.025,0.039008598,0.044016793,0.055026287,0.052208825,0.05,0.05,100,99.98494345,99.98578863,99.9837301,99.95483953,99.97583717,4.096787878,99.97848682,99.97799323,99.98279234,99.99468193,100,100
286,gcn2,H:,0.05,0.051302352999999995,0.057515954,0.05522175,0.05587426,0.0638001,0.025,0.048614423,0.059974547,0.049564047,0.049008658,0.05,0.05,100,99.98494345,99.98578863,99.9837301,99.95483953,99.97583717,4.096787878,99.97848682,99.97799323,99.98279234,99.99468193,100,100
287,gcn2,I:,0.05,0.050032229000000004,0.047179215,0.053560263,0.042950574000000005,0.070404324,0.025,0.049436626,0.062719858,0.044223393,0.055952404000000004,0.05,0.05,100,99.98494345,99.98578863,99.9837301,99.95483953,99.97583717,4.096787878,99.97848682,99.97799323,99.98279234,99.99468193,100,100
288,gcn2,K:,0.05,0.053709897,0.049158495,0.047020453,0.046048575999999994,0.047662918,0.025,0.04916513,0.051907611,0.047628343,0.053857243,0.05,0.05,100,99.98494345,99.98578863,99.9837301,99.95483953,99.97583717,4.096787878,99.97848682,99.97799323,99.98279234,99.99468193,100,100
289,gcn2,L:,0.05,0.054451810999999996,0.046303976,0.044561682000000005,0.039723747999999996,0.064659343,0.025,0.055382747,0.052474451,0.047092931,0.04926645599999999,0.05,0.05,100,99.98494345,99.98578863,99.9837301,99.95483953,99.97583717,4.096787878,99.97848682,99.97799323,99.98279234,99.99468193,100,100
290,gcn2,M:,0.05,0.051789561,0.05035681,0.051357712,0.045984153,0.056163429,0.025,0.051809340999999995,0.043706953,0.046551794,0.04593088099999999,0.05,0.05,100,99.98494345,99.98578863,99.9837301,99.95483953,99.97583717,4.096787878,99.97848682,99.97799323,99.98279234,99.99468193,100,100
291,gcn2,N:,0.05,0.043527381,0.050054258,0.050440304000000005,0.04370746599999999,0.049146012,0.025,0.053742451,0.042611040999999995,0.047044162,0.047402169,0.05,0.05,100,99.98494345,99.98578863,99.9837301,99.95483953,99.97583717,4.096787878,99.97848682,99.97799323,99.98279234,99.99468193,100,100
292,gcn2,P:,0.05,0.041032423,0.038416482,0.032960323,0.033623747999999995,0.035681513,0.025,0.04044330000000001,0.038202054,0.043954502,0.045743217999999995,0.05,0.05,100,99.98494345,99.98578863,99.9837301,99.95483953,99.97583717,4.096787878,99.97848682,99.97799323,99.98279234,99.99468193,100,100
293,gcn2,Q:,0.05,0.047940874,0.054462471,0.051506255,0.043211083,0.045112118,0.025,0.05013269099999999,0.043983727,0.046343875,0.050887737,0.05,0.05,100,99.98494345,99.98578863,99.9837301,99.95483953,99.97583717,4.096787878,99.97848682,99.97799323,99.98279234,99.99468193,100,100
294,gcn2,R:,0.05,0.055137128,0.055789579000000006,0.052459649000000004,0.04616896400000001,0.040853007000000004,0.025,0.053911914000000005,0.067668674,0.056249932999999995,0.057915765,0.05,0.05,100,99.98494345,99.98578863,99.9837301,99.95483953,99.97583717,4.096787878,99.97848682,99.97799323,99.98279234,99.99468193,100,100
295,gcn2,S:,0.05,0.051625085999999994,0.052222647999999997,0.051141387999999996,0.050822913,0.048820515,0.265,0.052906808,0.058254982000000004,0.081052728,0.055748066,0.05,0.05,100,99.98494345,99.98578863,99.9837301,99.95483953,99.97583717,4.096787878,99.97848682,99.97799323,99.98279234,99.99468193,100,100
296,gcn2,T:,0.05,0.045945704000000004,0.044708927,0.048822187,0.049948377999999995,0.049966082,0.285,0.053483462999999995,0.052616172999999995,0.049463342,0.050137601,0.05,0.05,100,99.98494345,99.98578863,99.9837301,99.95483953,99.97583717,4.096787878,99.97848682,99.97799323,99.98279234,99.99468193,100,100
297,gcn2,V:,0.05,0.051009667,0.045207099,0.046997227,0.047988607,0.048378001,0.025,0.040848108,0.047560205,0.045094892000000004,0.048641730999999994,0.05,0.05,100,99.98494345,99.98578863,99.9837301,99.95483953,99.97583717,4.096787878,99.97848682,99.97799323,99.98279234,99.99468193,100,100
298,gcn2,W:,0.05,0.073285878,0.070359223,0.059130793,0.061143273,0.052942935,0.025,0.05572175099999999,0.049053757999999996,0.050551918,0.046079832,0.05,0.05,100,99.98494345,99.98578863,99.9837301,99.95483953,99.97583717,4.096787878,99.97848682,99.97799323,99.98279234,99.99468193,100,100
299,gcn2,Y:,0.05,0.054387698,0.058668472,0.059203374,0.056696634,0.056137749,0.025,0.059707759000000006,0.064690475,0.052305536,0.056231674,0.05,0.05,100,99.98494345,99.98578863,99.9837301,99.95483953,99.97583717,4.096787878,99.97848682,99.97799323,99.98279234,99.99468193,100,100
