#pid	gene_ids	eids	pathfinders	sif_edges
p0	YLR113W|YER151C|HOG1ID27|YLR248W|HOG1ID31	edge10952|edge7199|edge24450|edge7061	paths	YLR113W d YER151C|YER151C d HOG1ID27|HOG1ID27 d YLR248W|YLR248W d HOG1ID31
p1	YLR113W|NPR66|YNL243W|PDE2RA58|YJR059W|HOG1ID27	edge22071|edge8877|edge9106|edge19159|edge6075	paths	YLR113W d NPR66|NPR66 d YNL243W|YNL243W d PDE2RA58|PDE2RA58 d YJR059W|YJR059W d HOG1ID27
p2	YLR113W|YLR248W|NPR76|YBL007C|HOG1ID32	edge12768|edge15247|edge25856|edge956	paths	YLR113W d YLR248W|YLR248W d NPR76|NPR76 d YBL007C|YBL007C d HOG1ID32
p3	YOR360C|YPL203W|NPR67|YDR507C|PDE2RA52	edge22774|edge17065|edge12389|edge14283	paths	YOR360C d YPL203W|YPL203W d NPR67|NPR67 d YDR507C|YDR507C d PDE2RA52
p4	YLR113W|NPR66|YNL243W|PDE2RA58|YJR059W|HOG1ID28	edge22071|edge8877|edge9106|edge19159|edge1593	paths	YLR113W d NPR66|NPR66 d YNL243W|YNL243W d PDE2RA58|PDE2RA58 d YJR059W|YJR059W d HOG1ID28
p5	YFR028C|HOG1RD38|YBL085W|YGR052W|CDC14RD19	edge26845|edge17052|edge3702|edge21148	paths	YFR028C d HOG1RD38|HOG1RD38 d YBL085W|YBL085W u YGR052W|YGR052W d CDC14RD19
p6	YLR113W|YIL035C|YJL076W|HOG1RD33	edge114|edge10777|edge11997	paths	YLR113W u YIL035C|YIL035C u YJL076W|YJL076W d HOG1RD33
p7	YFR028C|YLR096W|PDE2RA52|YDR507C|CDC14RD23	edge9729|edge20343|edge11481|edge23009	paths	YFR028C u YLR096W|YLR096W d PDE2RA52|PDE2RA52 d YDR507C|YDR507C d CDC14RD23
p8	YLR113W|PDE2RA52|YBL085W|YDR162C|HOG1RD38	edge26596|edge22208|edge3577|edge9433	paths	YLR113W d PDE2RA52|PDE2RA52 d YBL085W|YBL085W u YDR162C|YDR162C d HOG1RD38
p9	YFR028C|YJL187C|NPI65|YHL007C|CDC14RD19	edge26121|edge22691|edge7987|edge17303	paths	YFR028C u YJL187C|YJL187C d NPI65|NPI65 d YHL007C|YHL007C d CDC14RD19
p10	YLR113W|YLR248W|YBL007C|HOG1ID32	edge12768|edge21867|edge956	paths	YLR113W d YLR248W|YLR248W d YBL007C|YBL007C d HOG1ID32
p11	YFR028C|YJL187C|NPI65|YHL007C|CDC14RD15	edge26121|edge22691|edge7987|edge11434	paths	YFR028C u YJL187C|YJL187C d NPI65|NPI65 d YHL007C|YHL007C d CDC14RD15
p12	YLR113W|PDE2RA52|YDR507C|NPI61|YNL078W|HOG1ID32	edge26596|edge11481|edge20955|edge23664|edge7006	paths	YLR113W d PDE2RA52|PDE2RA52 d YDR507C|YDR507C d NPI61|NPI61 d YNL078W|YNL078W d HOG1ID32
p13	YFR028C|HOG1RD38|YBL085W|NPI65|YHL007C|CDC14RD15	edge26845|edge17052|edge3835|edge7987|edge11434	paths	YFR028C d HOG1RD38|HOG1RD38 d YBL085W|YBL085W d NPI65|NPI65 d YHL007C|YHL007C d CDC14RD15
p14	YLR113W|PDE2RA52|YDR507C|YPL153C|HOG1RD33	edge26596|edge11481|edge15389|edge17867	paths	YLR113W d PDE2RA52|PDE2RA52 d YDR507C|YDR507C u YPL153C|YPL153C d HOG1RD33
p15	YFR028C|YJL187C|HOG1ID29|YLR096W|CDC14RD21	edge26121|edge5332|edge19181|edge4527	paths	YFR028C u YJL187C|YJL187C d HOG1ID29|HOG1ID29 d YLR096W|YLR096W d CDC14RD21
p16	YFR028C|YDR247W|YER133W|CDC14RD24	edge13359|edge7149|edge17490	paths	YFR028C u YDR247W|YDR247W u YER133W|YER133W d CDC14RD24
p17	YFR028C|NPR66|YNL243W|NPI63|YJR059W|CDC14RD19	edge20541|edge8877|edge16308|edge6361|edge15351	paths	YFR028C d NPR66|NPR66 d YNL243W|YNL243W d NPI63|NPI63 d YJR059W|YJR059W d CDC14RD19
p18	YFR028C|NPR66|YHR082C|YHR030C|CDC14RD19	edge20541|edge16635|edge8923|edge15221	paths	YFR028C d NPR66|NPR66 d YHR082C|YHR082C d YHR030C|YHR030C d CDC14RD19
p19	YLR113W|YIR006C|YDL029W|HOG1ID32	edge10082|edge7163|edge15237	paths	YLR113W d YIR006C|YIR006C u YDL029W|YDL029W d HOG1ID32
p20	YFR028C|YER177W|NPR73|YPR032W|CDC14RD20	edge25958|edge17693|edge452|edge1128	paths	YFR028C u YER177W|YER177W d NPR73|NPR73 d YPR032W|YPR032W d CDC14RD20
p21	YFR028C|NPR66|YHR082C|YHR030C|CDC14RD20	edge20541|edge16635|edge8923|edge25993	paths	YFR028C d NPR66|NPR66 d YHR082C|YHR082C d YHR030C|YHR030C d CDC14RD20
p22	YFR028C|YER177W|YLL013C|CDC14ID9	edge25958|edge7158|edge19971	paths	YFR028C u YER177W|YER177W u YLL013C|YLL013C d CDC14ID9
p23	YFR028C|HOG1RD38|YBL085W|NPI65|YHL007C|CDC14RD19	edge26845|edge17052|edge3835|edge7987|edge17303	paths	YFR028C d HOG1RD38|HOG1RD38 d YBL085W|YBL085W d NPI65|NPI65 d YHL007C|YHL007C d CDC14RD19
p24	YFR028C|NPR66|YHR082C|YER133W|CDC14RD24	edge20541|edge16635|edge20935|edge17490	paths	YFR028C d NPR66|NPR66 d YHR082C|YHR082C d YER133W|YER133W d CDC14RD24
p25	YFR028C|NPR74|YHR102W|YHR030C|CDC14RD20	edge3342|edge6591|edge21089|edge25993	paths	YFR028C d NPR74|NPR74 d YHR102W|YHR102W u YHR030C|YHR030C d CDC14RD20
p26	YFR028C|YBL016W|NPI63|YJR059W|CDC14RD20	edge8622|edge21213|edge6361|edge3077	paths	YFR028C u YBL016W|YBL016W d NPI63|NPI63 d YJR059W|YJR059W d CDC14RD20
p27	YFR028C|YPL209C|YLR055C|CDC14RD19	edge4662|edge4676|edge18877	paths	YFR028C u YPL209C|YPL209C u YLR055C|YLR055C d CDC14RD19
p28	YFR028C|YJL194W|YPR119W|CDC14RD15	edge7959|edge21513|edge25060	paths	YFR028C d YJL194W|YJL194W u YPR119W|YPR119W d CDC14RD15
p29	YLR113W|YDL140C|YJL164C|HOG1RD37	edge25100|edge8081|edge7821	paths	YLR113W d YDL140C|YDL140C u YJL164C|YJL164C d HOG1RD37
p30	YLR113W|NPR66|YHR082C|YGR052W|HOG1ID32	edge22071|edge16635|edge25412|edge1294	paths	YLR113W d NPR66|NPR66 d YHR082C|YHR082C u YGR052W|YGR052W d HOG1ID32
