,Motif,AA,0,1,2,3,4,5,6,7,8,9,10,11,12,IC_0_Final,IC_1_Final,IC_2_Final,IC_3_Final,IC_4_Final,IC_5_Final,IC_6_Final,IC_7_Final,IC_8_Final,IC_9_Final,IC_10_Final,IC_11_Final,IC_12_Final
80,cdc15,A:,0.05,0.04023926,0.04855643,0.042895442,0.035929714,0.038589318,0.025,0.036902287,0.044524053,0.035309278,0.047521717000000005,0.05,0.05,100,99.98442157,99.97326596,99.94197888,99.89166305,99.88832173,3.949811453,99.95010245,99.77733826,99.87982269,99.87798515,100,100
81,cdc15,C:,0.05,0.050842849,0.045669290999999994,0.039410188,0.041174928,0.030155891,0.025,0.043918919,0.034288638999999996,0.040979381,0.040623402999999995,0.05,0.05,100,99.98442157,99.97326596,99.94197888,99.89166305,99.88832173,3.949811453,99.95010245,99.77733826,99.87982269,99.87798515,100,100
82,cdc15,D:,0.05,0.042686243,0.048818898,0.047184987000000005,0.061893522,0.042167135,0.025,0.031444906,0.042221085,0.040721649,0.042156362,0.05,0.05,100,99.98442157,99.97326596,99.94197888,99.89166305,99.88832173,3.949811453,99.95010245,99.77733826,99.87982269,99.87798515,100,100
83,cdc15,E:,0.05,0.052746058,0.044356955,0.044772118,0.054812484,0.04932277,0.025,0.036382536,0.032497441,0.036082473999999996,0.038579458,0.05,0.05,100,99.98442157,99.97326596,99.94197888,99.89166305,99.88832173,3.949811453,99.95010245,99.77733826,99.87982269,99.87798515,100,100
84,cdc15,F:,0.05,0.036704731000000004,0.038582677,0.038337802000000004,0.029897717999999997,0.031178123999999998,0.025,0.054313929000000004,0.037359263,0.034793814,0.032192131,0.05,0.05,100,99.98442157,99.97326596,99.94197888,99.89166305,99.88832173,3.949811453,99.95010245,99.77733826,99.87982269,99.87798515,100,100
85,cdc15,G:,0.05,0.050570962000000004,0.060104987,0.054423592,0.073695253,0.09711219,0.025,0.037162162,0.052712385,0.046391753,0.046755238,0.05,0.05,100,99.98442157,99.97326596,99.94197888,99.89166305,99.88832173,3.949811453,99.95010245,99.77733826,99.87982269,99.87798515,100,100
86,cdc15,H:,0.05,0.050299076,0.052755906,0.057104558,0.037241018,0.042167135,0.025,0.053794179000000004,0.041197543999999996,0.055412370999999995,0.046755238,0.05,0.05,100,99.98442157,99.97326596,99.94197888,99.89166305,99.88832173,3.949811453,99.95010245,99.77733826,99.87982269,99.87798515,100,100
87,cdc15,I:,0.05,0.041326808,0.036745407,0.033780161,0.026226068999999998,0.02555584,0.025,0.075363825,0.026867962999999998,0.035051546,0.032192131,0.05,0.05,100,99.98442157,99.97326596,99.94197888,99.89166305,99.88832173,3.949811453,99.95010245,99.77733826,99.87982269,99.87798515,100,100
88,cdc15,K:,0.05,0.046220772,0.05459317599999999,0.078820375,0.040650407,0.069511883,0.025,0.053794179000000004,0.132804504,0.121134021,0.11957077199999999,0.05,0.05,100,99.98442157,99.97326596,99.94197888,99.89166305,99.88832173,3.949811453,99.95010245,99.77733826,99.87982269,99.87798515,100,100
89,cdc15,L:,0.05,0.052202284,0.039895013,0.03538874,0.02675059,0.033733708,0.025,0.054573805,0.031218014,0.033505155,0.034491569,0.05,0.05,100,99.98442157,99.97326596,99.94197888,99.89166305,99.88832173,3.949811453,99.95010245,99.77733826,99.87982269,99.87798515,100,100
90,cdc15,M:,0.05,0.049211528,0.046194226,0.039142091000000004,0.029110936,0.038078201,0.025,0.068087318,0.043756397,0.038659794,0.036024527,0.05,0.05,100,99.98442157,99.97326596,99.94197888,99.89166305,99.88832173,3.949811453,99.95010245,99.77733826,99.87982269,99.87798515,100,100
91,cdc15,N:,0.05,0.053561718,0.066404199,0.05844504,0.073695253,0.07487861,0.025,0.047297297,0.061156602000000004,0.05180412400000001,0.053398058,0.05,0.05,100,99.98442157,99.97326596,99.94197888,99.89166305,99.88832173,3.949811453,99.95010245,99.77733826,99.87982269,99.87798515,100,100
92,cdc15,P:,0.05,0.061718325,0.068766404,0.057372654,0.065827432,0.070023,0.025,0.030405405,0.048106447999999996,0.061082474000000005,0.053398058,0.05,0.05,100,99.98442157,99.97326596,99.94197888,99.89166305,99.88832173,3.949811453,99.95010245,99.77733826,99.87982269,99.87798515,100,100
93,cdc15,Q:,0.05,0.053561718,0.047769029000000005,0.061126005,0.056648308,0.070023,0.025,0.051455300999999995,0.03863869,0.049484535999999996,0.047266224,0.05,0.05,100,99.98442157,99.97326596,99.94197888,99.89166305,99.88832173,3.949811453,99.95010245,99.77733826,99.87982269,99.87798515,100,100
94,cdc15,R:,0.05,0.066612289,0.071391076,0.09222520099999999,0.062680304,0.085356504,0.025,0.07926195400000001,0.153275333,0.106185567,0.112927951,0.05,0.05,100,99.98442157,99.97326596,99.94197888,99.89166305,99.88832173,3.949811453,99.95010245,99.77733826,99.87982269,99.87798515,100,100
95,cdc15,S:,0.05,0.054377379,0.052493437999999996,0.053619303,0.073432992,0.05111167900000001,0.11275,0.049116424000000006,0.036847492,0.051546392,0.05109862,0.05,0.05,100,99.98442157,99.97326596,99.94197888,99.89166305,99.88832173,3.949811453,99.95010245,99.77733826,99.87982269,99.87798515,100,100
96,cdc15,T:,0.05,0.054377379,0.052493437999999996,0.053619303,0.030159979,0.05111167900000001,0.43725,0.051975052,0.051177073,0.051546392,0.05109862,0.05,0.05,100,99.98442157,99.97326596,99.94197888,99.89166305,99.88832173,3.949811453,99.95010245,99.77733826,99.87982269,99.87798515,100,100
97,cdc15,V:,0.05,0.045133225,0.040682415,0.034048257,0.027275111,0.027600307,0.025,0.048856549000000006,0.029938588,0.038917526,0.039090445,0.05,0.05,100,99.98442157,99.97326596,99.94197888,99.89166305,99.88832173,3.949811453,99.95010245,99.77733826,99.87982269,99.87798515,100,100
98,cdc15,W:,0.05,0.04023926,0.042519685,0.039946381,0.061369001,0.032455916,0.025,0.035343035,0.027635619,0.034793814,0.040878896,0.05,0.05,100,99.98442157,99.97326596,99.94197888,99.89166305,99.88832173,3.949811453,99.95010245,99.77733826,99.87982269,99.87798515,100,100
99,cdc15,Y:,0.05,0.057368135,0.041207349,0.038337802000000004,0.09152898,0.03986711,0.025,0.060550936,0.033776868,0.036597937999999997,0.033980582999999995,0.05,0.05,100,99.98442157,99.97326596,99.94197888,99.89166305,99.88832173,3.949811453,99.95010245,99.77733826,99.87982269,99.87798515,100,100
